C:\ICPMH\1\METHODS\103015JF.M.B\B10-F1_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  02:41:56 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
21.644,140.00,533.34,850.02,12604.47,2100.13,27321.28,36038.27,0.00,0.00,0.00
21.982,80.00,400.00,700.01,9602.59,1300.05,24667.35,32698.17,66.67,266.67,80.00
22.320,60.00,733.35,825.02,14005.52,1933.44,24617.28,34267.93,0.00,66.67,0.00
22.658,80.00,666.68,425.01,12304.26,1800.09,22614.58,31596.08,100.00,133.33,0.00
22.996,360.00,633.34,575.01,12904.68,1133.37,22564.51,33800.33,0.00,133.33,40.00
23.334,160.00,700.01,275.00,8201.89,2066.79,26620.20,36238.69,66.67,66.67,60.00
23.672,200.00,600.01,700.01,13405.05,2533.52,25318.27,33132.35,100.00,100.00,40.00
24.010,200.00,566.68,850.02,11803.92,2166.80,24617.28,32831.76,200.00,166.67,40.00
24.348,120.00,500.01,1100.03,11003.41,1700.08,25668.78,32130.42,0.00,66.67,0.00
24.686,140.00,466.67,1150.04,11803.92,1766.76,22614.58,32965.36,133.33,0.00,40.00
25.024,80.00,366.67,750.02,11003.41,1933.44,24467.06,35938.05,33.33,0.00,0.00
25.362,120.00,700.01,275.00,10202.93,1300.05,24467.06,33933.93,0.00,133.33,20.00
25.700,160.00,366.67,975.03,11303.60,1966.78,25869.08,35069.57,100.00,66.67,0.00
26.038,180.00,633.34,525.01,12604.47,1800.09,28172.62,32931.96,0.00,200.00,80.00
26.376,300.00,13771.99,3700.38,12704.54,10169.61,197911.09,46931.54,5567.58,157563.35,1840.10
26.714,360.00,330945.48,39593.98,21012.42,92007.32,1870625.04,101268.25,24684.64,403008.18,2440.18
27.052,440.01,586738.42,87313.61,26119.18,167260.27,2962266.86,168937.62,52113.38,720516.68,3900.47
27.391,460.01,685678.86,95882.53,32129.02,263328.41,3841022.35,199803.91,65559.97,780141.10,3860.46
27.729,400.00,780461.54,111447.78,27120.68,341525.89,5569665.36,265767.10,83471.83,890702.36,2940.27
28.067,580.01,975634.85,109032.89,23815.95,409013.39,7390158.76,263058.68,82031.50,1044320.40,2760.23
28.405,600.01,877699.95,118014.91,16807.95,395883.96,6028664.20,285077.02,94663.79,1086168.19,3140.30
28.743,380.00,804182.31,113284.33,12304.26,410992.16,6429045.07,281145.58,94462.68,1068991.23,3180.31
29.081,460.01,869162.91,120707.88,11403.66,377961.69,5909242.71,277214.95,89871.12,1127013.31,3280.33
29.418,420.00,920304.38,112328.29,10603.16,515257.76,6100573.96,296673.51,143942.35,1100447.81,2640.21
29.757,340.00,930479.64,124886.54,10403.04,386409.45,6049101.70,272269.08,95937.58,1030369.81,2220.15
30.095,600.01,802962.39,117385.77,12904.68,390805.25,6383811.86,272743.27,86486.90,1116908.49,2700.22
30.433,360.00,851017.66,116957.95,10403.04,418772.96,7080604.85,271862.64,91245.11,1038866.30,2280.16
30.771,360.00,836835.76,116555.34,11603.79,427615.86,6677914.21,270812.70,89871.12,1027396.96,2660.22
31.109,560.01,833169.68,112906.94,10603.16,404578.98,6758354.06,269424.16,83270.84,1048146.38,2920.26
31.447,220.00,760248.45,115196.52,11303.60,426659.61,6459024.75,279112.34,87089.99,995612.72,2280.16
31.785,160.00,743600.80,105260.29,11103.47,445725.01,6962617.34,250301.03,84074.81,896461.48,2520.19
32.123,340.00,659069.03,92338.88,13805.36,391964.01,6516810.69,289992.68,86989.47,894213.89,2380.17
32.461,340.00,608724.43,89298.43,8101.85,427137.74,6295835.30,228327.41,69609.40,884278.34,2720.23
32.799,400.00,572554.57,81460.96,9102.33,431304.47,5869907.55,216405.90,69375.12,856117.92,1640.08
33.137,340.00,516582.21,78196.38,11103.47,399565.99,5896572.01,236031.84,66965.45,788341.62,1760.10
33.475,400.00,561167.40,72949.17,10503.10,409218.08,6461750.14,245836.40,77208.91,931372.87,2300.16
33.813,280.00,520184.81,78196.38,10503.10,405158.80,6495299.36,240223.44,73894.17,853034.65,1960.12
34.151,300.00,509619.22,77543.53,9902.76,399906.98,6921636.87,243875.04,70312.30,846204.19,2020.13
34.489,320.00,486691.35,70012.40,12104.12,385387.38,6336213.42,238972.61,71651.23,781362.19,1700.09
34.827,180.00,440478.62,63287.31,15306.59,410412.18,6651200.15,203615.55,54019.33,734429.18,1440.06
35.165,400.00,419788.00,64541.79,14105.60,395031.75,6706186.09,202063.81,73592.86,759499.95,2000.12
35.503,320.00,411054.53,57342.21,12904.68,360942.20,6033966.15,220457.57,64388.83,753925.60,1500.07
35.841,560.01,422620.48,57016.16,11203.53,372786.04,6080807.17,219714.72,63953.85,809960.63,1620.08
36.179,260.00,419924.49,55486.35,11003.41,373705.31,6781920.46,219005.60,71450.38,796231.79,1700.09
36.517,520.01,421391.81,56063.14,10903.34,422459.78,6811304.06,212962.70,61979.85,775362.26,1580.08
36.855,340.00,402529.79,53129.16,10903.34,399668.27,6523192.72,217553.78,74095.05,803531.53,1480.07
37.193,280.00,374631.19,50471.45,10803.28,417578.33,6185092.72,228259.84,67668.23,727262.71,1980.12
37.532,100.00,395269.96,45232.39,10703.22,396565.73,6683594.68,205201.16,67266.64,705816.23,1660.08
37.870,200.00,358708.44,51875.47,12904.68,399565.99,6779722.81,208642.78,67333.57,810205.23,1300.05
