C:\ICPMH\1\METHODS\103015JF.M.B\STD4.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  03:35:15 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
18.939,660.01,16340.82,2200.14,1107781.47,37272.89,673703.09,40347.97,2366.83,41684.60,7241.61
19.277,440.01,18276.04,2575.19,2767375.26,81723.26,1439339.68,41517.45,2900.25,42820.77,5761.02
19.615,260.00,19043.50,2600.19,3275993.04,109205.54,1869942.03,40448.20,4934.05,48268.73,3680.42
19.953,540.01,14706.07,2525.18,3961628.60,121015.99,1984086.57,43054.61,6501.25,53116.55,4160.53
20.292,280.00,14239.02,1800.09,4242249.31,133270.99,1959756.49,46062.50,5367.52,55490.82,4300.57
20.630,360.00,14839.51,2375.16,4090943.84,137335.52,2297961.97,43188.28,4733.99,57096.14,3840.45
20.968,300.00,14239.02,1650.08,4196122.36,120781.03,2164783.06,43255.12,4167.18,58066.10,3800.44
21.306,240.00,13371.68,2025.12,4091491.89,134009.95,2175324.66,42653.60,5934.37,60374.16,3920.47
21.644,400.00,13038.10,1675.08,3992421.57,135991.76,2238605.13,42319.43,5000.74,56627.91,3700.42
21.982,360.00,14405.82,1425.06,4145759.47,129811.87,2212288.53,44458.22,5400.86,56594.46,3860.46
22.320,360.00,13304.97,1900.10,4317148.53,132700.02,2147859.42,45995.65,4533.94,58066.10,3720.42
22.658,500.01,14172.30,2200.14,4106243.45,129946.19,2127130.32,45160.08,5467.55,55591.16,4000.49
22.996,200.00,13771.99,2300.15,4316360.64,134043.53,2167806.49,46162.77,5167.46,53952.52,3560.39
23.334,200.00,12270.89,2025.12,3850650.09,126118.41,1997539.69,44023.76,4834.02,54119.72,3100.29
23.672,500.01,13505.12,2200.14,4093638.37,126017.69,1869718.60,42052.10,4967.39,57530.95,3380.35
24.010,140.00,12304.25,15456.71,4068291.50,128401.55,2133394.38,42386.26,6301.17,52481.24,3300.33
24.348,260.00,12471.03,2175.13,4049977.43,124070.54,1970912.74,43956.91,5667.61,53618.13,3080.29
24.686,220.00,13238.25,1725.08,4213911.03,127931.49,2068679.73,44157.44,5667.61,55825.25,2920.26
25.024,200.00,12070.76,2250.14,3701936.41,124271.98,1989313.91,43722.98,4633.97,59103.01,3720.42
25.362,180.00,13004.75,1775.09,3939752.43,122828.51,2051979.73,44725.60,5134.11,54454.13,3280.33
25.700,180.00,11870.62,2275.15,3868849.70,117290.81,1924853.95,43823.24,4834.02,49639.36,2780.24
26.038,280.00,14172.30,1675.08,3852191.49,121385.20,1842948.67,41651.11,3533.70,53685.01,3120.30
26.376,400.00,11837.26,2125.13,3796861.80,119539.25,2071094.77,44057.18,4167.18,55658.03,3340.34
26.714,240.00,11370.29,1425.06,3706526.25,129341.75,1888573.09,46664.14,5334.17,53517.82,2880.25
27.052,260.00,12004.04,2075.12,3740653.21,115277.53,1872419.18,41016.23,5700.96,50307.99,3100.29
27.390,180.00,11236.88,1650.08,3835636.02,112962.54,1859673.67,45126.65,4300.55,48034.73,3740.43
27.728,180.00,10636.51,2000.11,3433737.97,114975.56,1808039.88,40682.09,4567.28,47165.63,2680.22
28.066,60.00,12571.10,1800.09,3454084.06,114606.50,1764588.52,41049.64,5134.11,48569.59,2360.17
28.404,180.00,10769.92,1400.06,3512941.48,113331.59,1791799.26,43422.21,3900.45,47967.88,3080.29
28.742,160.00,12771.24,1400.06,3302721.56,102096.23,1820965.47,43856.66,3100.28,45293.85,3060.29
29.080,340.00,11336.94,1600.07,3519107.11,105952.35,1885288.91,40080.66,4433.91,49806.51,3320.34
29.418,320.00,10369.69,2050.12,3468664.14,109004.28,1723875.04,43789.82,4367.23,47065.35,2840.25
29.756,260.00,10703.21,2650.20,3445806.33,112358.68,1728028.36,43756.40,4633.97,48068.17,3460.37
30.094,160.00,10603.15,1800.09,3513854.77,108903.66,1829011.37,44257.70,4600.63,49171.32,2380.17
30.433,260.00,10836.63,1375.05,3244971.56,113566.43,1808474.45,43656.14,3833.77,49238.18,3400.35
30.771,180.00,10836.63,1600.07,3328513.75,106991.96,1731498.67,43589.30,5134.11,44592.00,2700.22
31.109,620.01,10302.98,1625.07,3296909.84,99581.85,1600461.75,46095.92,5200.80,47800.74,2480.19
31.447,320.00,11270.23,2050.12,3289534.45,104007.43,1692653.94,41116.47,4400.57,44625.42,2420.18
