C:\ICPMH\1\DATA\15J30l00.B\C4-F_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  01:10:04 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
18.940,560.01,1774124.52,247914.39,26119.18,552189.53,8614936.13,184565.99,466057.95,1397760.58,7641.79
19.278,660.01,1755836.63,236713.43,17608.72,575900.66,9189848.64,193868.93,455510.17,1322167.48,6101.14
19.616,540.01,1490226.60,210259.45,14906.25,605885.76,9399643.18,196262.94,460920.26,1336640.52,5901.07
19.954,720.01,1377709.15,176899.61,14005.52,581859.26,9827514.28,186554.24,456811.18,1299689.22,4740.69
20.292,520.01,1121209.40,145063.65,15206.50,637234.26,10425496.33,182274.69,443258.15,1277778.28,4940.75
20.630,420.00,931883.68,122092.26,13204.90,650404.64,9441691.62,193734.10,445618.89,1344854.59,3720.42
20.968,300.00,768873.72,100281.68,12404.33,594195.91,9963995.54,183555.10,411710.10,1300444.04,4520.63
21.306,520.01,660210.11,86107.76,11303.60,638893.05,9799397.09,172472.95,419805.19,1231066.17,4440.60
21.644,440.01,574344.09,73476.33,12204.19,604505.94,10062756.47,184936.66,422401.90,1240162.27,3980.49
21.982,560.01,474297.02,64366.16,9502.54,597988.16,9228780.68,175537.50,417721.27,1171093.39,3620.40
22.320,760.02,425385.07,50872.59,12204.19,584167.40,9899058.03,181769.32,427186.34,1235506.15,4040.50
22.659,640.01,388421.82,54408.02,9502.54,609715.05,9382658.02,174257.74,427425.60,1326846.38,3480.37
22.997,560.01,339062.67,49719.33,8902.23,607920.98,9642415.84,174493.46,426195.16,1156720.34,3500.38
23.335,340.00,312008.37,41197.62,10503.10,595781.72,9487886.93,167994.99,408636.99,1179123.07,3120.30
23.673,340.00,284181.87,34783.95,9502.54,580722.41,9728008.81,172843.35,423666.19,1242239.87,3240.32
24.011,420.00,246966.61,35810.98,9602.59,591576.25,9603397.09,168432.64,392597.63,1159715.26,4340.58
24.349,320.00,288551.24,30375.89,8602.08,581962.45,9541768.18,171900.52,389937.18,1151801.20,3500.38
24.687,700.01,221636.72,27871.80,7101.42,571975.34,9606247.09,165537.67,390210.03,1127618.25,3760.43
25.025,580.01,209727.22,26644.93,5000.70,565056.39,9297170.52,166109.88,375857.63,1294298.73,2320.17
25.363,620.01,206995.56,28147.24,8602.08,584064.08,9955558.82,176345.82,393484.51,1128579.32,4280.56
25.701,440.01,203320.25,27946.92,8602.08,574316.61,9328478.33,168836.61,396861.96,1142964.74,3260.33
26.039,460.01,215158.08,39669.15,9402.49,553496.50,8875476.76,164527.90,406110.65,1153084.40,3280.33
26.377,660.01,207096.72,27295.91,7401.54,587957.50,9098947.86,164494.24,398533.86,1084144.43,3080.29
26.715,640.01,213235.13,28823.32,7001.38,548991.48,9013746.30,169408.94,413793.24,1182014.48,3300.33
27.053,440.01,220219.36,31327.54,8001.80,534796.30,9254892.39,170890.38,389596.17,1152050.81,3440.36
27.391,600.01,232135.86,30801.62,7101.42,550951.57,9135650.99,162441.26,386561.14,1133705.36,3660.41
27.729,360.00,248149.55,32379.42,7801.71,541978.40,9036946.30,167725.65,392392.94,1141789.22,3240.32
28.067,660.01,250380.39,32654.92,5600.88,539572.60,8711256.44,168701.97,383492.59,1089293.06,3540.38
28.405,300.00,266748.77,33656.79,7001.38,516939.46,8404079.88,167456.37,396247.86,1141219.30,3780.44
28.743,820.02,264515.83,34884.15,7401.54,635575.73,8989993.95,170755.72,377595.61,1131711.74,4220.55
29.081,500.01,272839.96,38391.35,6501.19,531910.53,9458075.21,191913.58,385367.75,1139402.89,4380.59
29.418,600.01,298987.96,39293.32,11103.47,585648.84,8573340.82,169307.96,393859.77,1106916.56,4520.63
29.757,640.01,301157.33,42876.57,7901.76,531704.44,9890204.91,160287.58,394132.66,1157183.62,4660.67
30.095,460.01,415045.45,41874.20,6301.12,535655.29,8535265.82,166177.20,371462.25,1110151.72,3160.31
30.433,280.00,333288.52,46686.14,9002.28,539125.83,8348032.22,167254.40,388607.17,1092241.04,3780.44
30.771,600.01,356090.01,46435.48,7601.63,548957.11,8297615.03,165403.03,387515.93,1207238.31,3680.42
31.109,760.02,377558.63,49995.11,8301.94,505890.93,8483570.50,175537.50,407134.77,1115735.05,4380.59
31.447,260.00,452986.40,52978.72,8702.13,508429.47,8629743.16,156081.94,383390.31,1070516.76,4140.53
31.785,600.01,386139.66,62910.97,6901.34,540844.22,9095272.86,151843.70,378618.07,1210098.86,4360.58
32.123,480.01,401166.32,52126.22,6801.30,537029.67,8260875.18,167456.37,405598.64,1098209.01,4140.53
32.461,620.01,467076.74,54458.17,10202.93,582065.90,8499693.16,167658.35,367885.39,1132174.37,4000.49
32.800,320.00,396292.36,57618.10,7701.67,500986.50,9017490.05,161970.12,389255.15,1122173.59,3840.45
33.138,260.00,380384.48,54759.09,8301.94,624695.20,8255840.03,157057.52,381515.31,1161747.68,4600.65
33.476,420.00,380520.74,52652.76,7901.76,487035.07,8339204.09,164258.65,345828.00,1134132.71,4800.71
33.814,620.01,375890.60,59925.70,5200.76,482033.02,8197302.53,168802.95,347562.96,1148807.71,3880.46
34.152,680.01,340353.56,46159.77,5600.88,509012.67,8180223.62,170149.65,365944.02,1205236.22,4660.67
34.490,480.01,343207.56,44981.76,8301.94,496323.35,8550873.63,169341.61,367715.11,1195086.35,4340.58
34.828,460.01,329587.34,51248.66,7601.63,505342.17,8266940.03,166513.79,367817.29,1214211.62,4040.50
35.166,340.00,323442.88,43553.22,6501.19,518930.29,8065731.43,172169.89,373813.06,1186228.02,4660.67
35.504,680.01,331047.31,41523.37,7601.63,508772.50,8306697.84,161095.19,335625.82,1198695.34,4220.55
35.842,480.01,363164.04,39518.82,7301.50,505719.51,7826584.55,175200.72,349672.34,1197301.72,4660.67
36.180,500.01,305327.42,40044.99,6901.34,499717.78,8234930.65,183723.54,346032.07,1228918.26,4320.57
36.518,600.01,322424.71,43778.77,7701.67,530811.31,8247458.78,183959.44,407237.25,1259121.51,4540.63
36.856,560.01,326803.36,59800.28,6501.19,512512.41,8241896.28,184026.84,330798.90,1483359.80,4560.64
37.194,460.01,347285.42,46184.83,7101.42,547100.40,7964804.87,182072.55,321251.11,1310901.33,4900.74
37.532,340.00,343173.61,51223.59,7601.63,545553.37,8293586.12,190767.42,311946.30,1295161.10,5360.88
37.870,420.00,331794.38,42801.40,6801.30,536445.55,8780081.45,201760.24,306039.95,1333363.31,4860.73
