C:\ICPMH\1\DATA\15J30l00.B\LN4_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  12:12:28 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
18.940,200.00,433.34,400.00,6401.15,1466.73,21863.63,32564.58,200.00,0.00,40.00
19.278,40.00,833.35,475.01,6601.23,1033.36,24016.44,33566.53,0.00,100.00,0.00
19.616,200.00,433.34,375.00,6301.12,1033.36,27020.81,32965.36,33.33,133.33,40.00
19.954,240.00,533.34,325.00,6601.23,1366.72,24417.00,33833.73,33.33,0.00,40.00
20.292,40.00,800.02,475.01,6601.23,1366.72,22164.01,35269.99,100.00,0.00,0.00
20.630,120.00,500.01,450.01,4400.55,1400.06,22214.07,32731.57,66.67,33.33,0.00
20.969,180.00,366.67,400.00,7201.46,1300.05,24016.44,32798.36,33.33,0.00,0.00
21.307,180.00,500.01,400.00,6301.12,1133.37,22664.65,35537.21,0.00,133.33,0.00
21.645,120.00,433.34,525.01,4700.62,1966.78,23966.37,33098.95,33.33,0.00,40.00
21.983,100.00,400.00,375.00,6301.12,1966.78,22264.13,32597.98,200.00,66.67,0.00
22.321,120.00,400.00,425.01,8101.85,1900.10,25017.84,34568.54,33.33,166.67,20.00
22.659,60.00,366.67,575.01,6801.30,966.69,25468.49,35704.23,33.33,166.67,0.00
22.997,220.00,233.33,350.00,6701.26,1400.06,24216.72,34234.53,166.67,66.67,0.00
23.335,100.00,500.01,300.00,8802.18,1600.07,29224.35,34601.95,133.33,166.67,40.00
23.673,120.00,700.01,300.00,7101.42,1266.71,25117.99,34635.35,66.67,66.67,20.00
24.011,120.00,566.68,250.00,7401.54,1133.37,26620.20,32698.17,133.33,66.67,0.00
24.349,220.00,333.34,450.01,7701.67,1533.40,22764.77,33299.34,66.67,66.67,20.00
24.687,100.00,233.33,275.00,6101.05,1200.04,21913.69,35904.65,0.00,200.00,40.00
25.025,160.00,366.67,500.01,8101.85,1466.73,25468.49,36505.93,0.00,133.33,0.00
25.363,220.00,566.68,650.01,6601.23,1600.07,27221.12,34768.95,33.33,100.00,0.00
25.701,120.00,466.67,275.00,7401.54,1633.41,23315.50,35269.99,200.00,166.67,0.00
26.039,60.00,466.67,425.01,6601.23,733.35,26520.04,34434.94,0.00,66.67,20.00
26.377,200.00,466.67,250.00,7101.42,1233.38,26820.50,33332.74,33.33,0.00,0.00
26.715,140.00,433.34,375.00,6301.12,1200.04,25768.93,33299.34,66.67,0.00,0.00
27.053,100.00,400.00,500.01,6201.08,2066.79,25368.34,33366.14,0.00,100.00,0.00
27.391,40.00,400.00,400.00,5700.91,1266.71,24767.49,35036.17,0.00,100.00,40.00
27.729,200.00,133.33,475.01,4700.62,1233.38,26570.12,32364.20,0.00,100.00,40.00
28.067,80.00,466.67,375.00,7001.38,1033.36,22764.77,34301.34,33.33,0.00,0.00
28.405,140.00,333.34,300.00,5300.79,1066.70,22814.84,35570.61,33.33,0.00,0.00
28.743,80.00,333.34,675.01,6201.08,1066.70,22013.82,32497.79,66.67,33.33,0.00
29.081,280.00,500.01,675.01,7501.58,1966.78,26119.45,35069.57,0.00,166.67,0.00
29.418,140.00,433.34,275.00,7601.63,1300.05,24016.44,34468.34,0.00,133.33,20.00
29.757,140.00,300.00,275.00,8001.80,933.36,22464.38,34034.13,0.00,0.00,0.00
30.095,200.00,566.68,225.00,7401.54,1233.38,24517.14,33366.14,66.67,200.00,0.00
30.433,140.00,333.34,175.00,6301.12,1200.04,22214.07,33432.94,0.00,0.00,0.00
30.771,200.00,600.01,625.01,7101.42,966.69,26419.89,37775.38,33.33,33.33,0.00
31.110,120.00,333.34,350.00,6101.05,1833.43,24417.00,33900.53,0.00,100.00,0.00
31.448,120.00,866.69,650.01,7101.42,1333.38,23766.10,34000.73,0.00,0.00,0.00
31.786,140.00,500.01,375.00,6401.15,1666.75,24316.86,35503.81,100.00,0.00,0.00
32.124,220.00,733.35,450.01,6301.12,1766.76,23265.43,34601.95,0.00,100.00,0.00
32.462,180.00,200.00,550.01,7001.38,1166.71,26119.45,33766.93,100.00,0.00,0.00
32.800,120.00,533.34,375.00,7401.54,1900.10,25618.71,31328.92,0.00,0.00,0.00
33.138,160.00,433.34,400.00,7401.54,1266.71,24767.49,31829.86,0.00,166.67,0.00
33.476,120.00,300.00,400.00,6501.19,1266.71,23165.30,34935.96,0.00,33.33,0.00
33.814,100.00,600.01,225.00,7601.63,1666.75,24366.93,33065.55,66.67,300.00,0.00
34.152,20.00,466.67,400.00,6201.08,1300.05,21863.63,34234.53,66.67,33.33,0.00
34.490,280.00,633.34,450.01,7601.63,1266.71,25568.64,33232.55,200.00,33.33,0.00
34.828,140.00,533.34,600.01,8301.94,1533.40,21613.32,35537.21,0.00,66.67,20.00
35.166,180.00,366.67,325.00,6601.23,1866.77,22814.84,31696.27,0.00,66.67,0.00
35.504,180.00,366.67,250.00,7001.38,1000.03,22664.65,34969.37,33.33,166.67,0.00
35.842,180.00,233.33,275.00,6301.12,1400.06,25067.92,34000.73,100.00,200.00,0.00
36.180,100.00,366.67,650.01,5600.88,1533.40,25017.84,33733.53,33.33,33.33,0.00
36.518,60.00,433.34,650.01,8301.94,1366.72,24867.63,33800.33,33.33,66.67,0.00
36.856,260.00,400.00,550.01,5900.98,1433.39,23415.63,34234.53,0.00,0.00,40.00
37.194,360.00,633.34,225.00,7801.71,1433.39,25618.71,34334.74,0.00,133.33,0.00
37.532,80.00,133.33,650.01,6601.23,1100.03,24216.72,30393.89,66.67,100.00,0.00
37.870,140.00,6767.95,10277.97,6501.19,12838.03,219516.04,53183.30,7968.54,78146.65,420.01
38.208,180.00,484157.04,37188.80,8001.80,177695.48,2238959.03,80289.70,37775.41,479702.88,540.01
38.546,160.00,687167.98,96083.61,13004.75,346386.47,5940228.26,145051.26,77309.35,967306.66,1480.07
38.884,280.00,1036215.78,123829.21,8602.08,555044.15,8236550.97,179040.52,108680.88,1172056.54,1700.09
39.222,220.00,1140695.60,155097.75,9602.59,603781.65,10239461.17,179714.28,123179.61,1276557.84,1380.06
39.560,640.01,1272703.02,172304.87,7201.46,724491.42,11618947.13,208440.32,124220.49,1566110.45,1420.06
39.898,480.01,1306893.78,185360.06,9502.54,645736.86,10814013.52,193329.51,154131.40,1507913.18,1280.05
40.236,660.01,1424750.81,247204.60,6301.12,789160.43,11930947.92,209081.48,153290.50,1693073.61,1240.05
40.574,440.01,1269336.75,172128.18,6701.26,645391.23,11203474.47,222585.11,128922.09,1671152.77,1340.06
40.912,460.01,1269332.97,167913.20,9302.43,673484.85,12376977.62,222179.86,138228.37,1916116.71,700.02
41.251,640.01,1233262.53,167231.85,7601.63,686924.62,10510909.61,228124.70,142732.16,1745601.86,1080.04
41.589,320.00,1239096.51,171522.38,7801.71,686162.32,10391115.86,211005.12,130131.29,1693966.96,1040.03
41.927,240.00,1011721.18,163951.55,7401.54,643731.79,10127651.01,223564.56,139841.54,1561002.12,1100.04
42.265,360.00,963676.39,144736.03,7501.58,629910.11,11365856.50,201355.49,126906.95,1452799.90,700.02
42.602,480.01,803659.52,116404.35,6401.15,639376.84,10560501.02,188239.38,128989.28,1722858.89,740.02
42.941,300.00,747526.71,86660.43,8101.85,609577.03,9186496.30,201051.88,125496.51,1733474.78,740.02
43.279,220.00,588942.66,79929.05,6301.12,658290.84,11700355.73,186318.31,118043.22,1534134.54,520.01
43.617,500.01,527426.41,83545.59,7201.46,673415.57,11698424.48,198994.52,126067.40,1469341.44,680.01
43.955,380.00,524646.07,71141.89,7201.46,584994.28,10789093.99,191778.72,120023.74,1595031.03,1020.03
44.293,420.00,511196.76,70890.88,7401.54,605575.21,9669726.00,202839.67,118546.72,1513857.85,940.03
44.631,520.01,457807.37,60602.98,7501.58,646186.41,9229972.86,184970.33,125026.40,1555470.87,620.01
44.969,300.00,361837.44,58295.30,5700.91,632569.94,9056527.55,192115.81,113176.84,1483055.63,760.02
45.307,320.00,399939.14,58571.19,7601.63,653620.98,10426694.76,191070.79,109083.47,1508526.21,900.02
45.645,360.00,468342.62,66875.39,8502.03,675043.11,10012562.72,195892.00,123347.50,1433958.37,760.02
45.983,400.00,565363.62,78773.91,7001.38,559034.71,9699518.97,203784.23,119956.59,1368138.83,620.01
46.321,460.01,546728.72,79326.36,4600.60,662961.93,10209555.70,181567.19,109049.90,1333327.37,1080.04
46.659,480.01,612035.04,81511.20,7901.76,647949.69,9095508.80,181803.02,118479.58,1352819.95,1040.03
46.997,180.00,599554.57,82088.84,7401.54,628010.37,10274711.17,196802.45,123918.28,1351306.02,800.02
47.335,360.00,576478.01,75710.66,6701.26,637752.62,9344240.83,190228.06,108714.42,1482095.74,920.03
47.673,180.00,524062.58,73877.98,7801.71,583237.19,9683179.12,197476.89,116969.15,1422216.18,960.03
48.011,360.00,532747.93,70163.01,9002.28,624626.19,10478483.83,199264.33,116801.31,1391725.68,940.03
48.349,420.00,565604.37,65269.44,8702.13,580929.05,8828908.79,182443.18,114754.08,1372623.08,720.02
48.687,680.01,573483.80,81034.02,8101.85,538129.28,10255670.54,181735.65,116801.31,1325946.64,460.01
49.025,360.00,617761.08,83118.59,6401.15,582858.22,9728325.22,236234.64,117908.95,1545928.94,820.02
49.363,380.00,812688.89,82390.22,6401.15,556145.06,8527686.13,192621.52,128384.71,1411044.30,700.02
49.701,360.00,707334.59,100507.95,6501.19,551192.33,9358879.90,196128.05,117573.31,1472767.61,920.03
50.039,500.01,719160.95,87790.95,6101.05,575762.90,9794591.63,182645.35,106097.91,1512028.42,780.02
50.377,980.03,662423.45,86710.67,5800.95,573869.02,12074140.11,188138.25,114082.88,1383297.56,980.03
50.715,480.01,562474.36,75158.34,6701.26,596540.12,9416119.74,183184.46,109016.37,1318964.61,800.02
51.053,480.01,497551.96,69786.52,6201.08,553152.55,9400978.34,177827.85,125328.62,1284097.29,640.01
51.392,620.01,418150.14,50847.51,7501.58,546515.96,9758633.81,205471.08,110861.61,1287221.77,920.03
51.730,700.01,306310.75,40270.50,7101.42,581583.61,9193257.24,203952.90,116902.01,1344350.03,760.02
52.068,540.01,264076.03,33581.64,8201.89,536514.30,8106848.62,207832.91,118580.27,1160677.89,1060.03
52.406,620.01,258292.18,34758.91,6101.05,530261.70,8894883.79,182780.15,128082.43,1232749.12,620.01
52.744,680.01,231460.50,29624.63,6201.08,585132.04,9298883.80,182645.35,113210.39,1330626.72,780.02
53.082,840.02,185628.70,27020.49,6901.34,533250.30,8965520.51,204189.05,107976.39,1460426.73,660.01
53.420,360.00,192231.51,27320.95,6701.26,506439.79,9027218.17,190565.14,109486.05,1294540.39,860.02
53.758,480.01,190715.34,27721.57,7001.38,509561.60,9443945.52,192351.83,130971.05,1327026.72,700.02
54.096,700.01,234938.90,26519.74,8101.85,495192.10,8712492.38,185273.64,109620.24,1256790.91,840.02
54.434,860.02,186100.26,27471.18,6401.15,527204.93,9050300.20,201422.94,115995.82,1270492.48,760.02
54.772,820.02,181183.27,26995.45,8401.99,507743.27,8336342.37,181600.87,112505.73,1222118.00,1000.03
55.110,920.02,205950.20,29374.22,7701.67,568636.02,7573413.45,189924.68,107976.39,1369519.43,1020.03
55.448,900.02,221096.78,28222.36,7601.63,530467.85,7390295.48,180859.69,114284.24,1445111.23,760.02
55.786,860.02,219578.15,28047.08,5800.95,501603.79,8779137.70,178131.01,115425.28,1346379.59,940.03
56.124,540.01,240580.12,31227.37,6601.23,554149.95,7896737.68,191576.45,111801.08,1446451.20,840.02
56.462,920.02,243249.34,34533.46,6801.30,575453.01,9010598.64,176446.88,107171.31,1382190.40,820.02
56.800,840.02,251969.26,38591.79,6501.19,534383.96,8978185.36,182443.18,105158.74,1308856.93,680.01
57.138,920.02,282624.03,36412.20,6401.15,516699.26,8758886.13,173584.20,108378.95,1483397.82,720.02
57.476,880.02,336922.60,48165.08,6501.19,498243.34,8240834.56,179849.03,109687.34,1323318.26,640.01
57.814,1000.03,338892.81,43503.10,7101.42,502392.56,8154906.43,177322.60,104253.19,1227200.03,900.02
58.152,660.01,353268.04,46836.53,7501.58,509664.53,12536100.28,179377.36,109519.59,1235828.41,700.02
58.490,800.02,421460.13,53931.57,7601.63,544934.62,7790458.77,183285.53,103750.11,1356100.94,1000.03
58.828,880.02,469916.61,57191.72,5500.85,513679.11,8644617.38,225624.91,107271.94,1304038.83,800.02
59.166,620.01,481691.51,80657.32,5100.73,544040.83,9092118.95,185307.33,104454.41,1286539.35,1000.03
59.504,840.02,607759.06,77367.76,8401.99,495226.38,8063906.43,175773.25,108244.76,1244067.09,1000.03
59.842,380.00,657305.68,87363.85,7101.42,488954.05,7373557.98,173314.82,103984.87,1291065.39,480.01
60.180,800.02,729398.13,101061.06,6401.15,516356.03,7156475.16,182780.15,101436.14,1202483.75,760.02
60.518,640.01,795505.55,111774.83,5400.82,470184.52,7957038.46,167658.35,100933.16,1178944.69,800.02
60.856,640.01,805158.29,121664.35,7501.58,453794.64,7445275.95,173247.45,110626.74,1157290.65,660.01
61.194,500.01,934445.98,120431.00,6201.08,536548.64,8015351.74,162845.12,95300.67,1228130.89,660.01
61.533,580.01,919567.66,135287.14,7501.58,484157.07,8038011.90,175301.75,105896.67,1309072.56,840.02
61.871,760.02,1103338.18,132717.90,5800.95,458994.02,7952053.30,186486.82,106164.99,1189120.86,680.01
62.209,640.01,947087.98,145315.70,6801.30,463134.03,8351999.41,184902.93,101838.55,1219971.25,880.02
62.547,680.01,916200.74,121085.43,6201.08,448289.11,7456481.42,168196.98,101033.74,1274081.15,640.01
62.885,740.02,877489.93,126825.17,9302.43,490222.05,7487590.79,180489.10,106030.82,1180122.55,520.01
63.223,620.01,785196.31,108580.14,7101.42,458241.35,7104736.10,179208.97,110257.68,1277060.18,900.02
63.561,600.01,685297.93,93469.75,6401.15,450135.49,7991717.37,171092.40,94194.52,1197837.66,740.02
63.899,600.01,688657.18,90529.60,9002.28,470321.49,7330063.45,174224.04,99960.75,1200911.09,680.01
64.237,580.01,636918.11,86434.32,7701.67,471999.07,7258618.91,168163.30,100262.53,1167026.33,940.03
64.575,620.01,480185.04,72371.82,7401.54,505479.37,7661104.86,175301.75,101369.09,1185478.02,760.02
64.913,500.01,430642.52,62986.24,5600.88,546378.46,7004466.56,169981.32,97647.32,1151337.92,540.01
65.251,480.01,415181.91,56263.78,5600.88,429801.60,7041120.47,171530.13,92619.20,1292897.55,700.02
65.589,640.01,346129.99,51725.04,7501.58,455128.53,7462919.70,166682.12,108513.14,1176731.54,700.02
65.927,640.01,356566.06,48816.85,6901.34,422084.22,7062867.35,166177.20,99558.39,1179765.65,580.01
66.265,740.02,352214.10,48440.82,8201.89,519788.49,7446119.70,177356.29,96775.68,1079387.59,500.01
