C:\ICPMH\1\DATA\15J30l00.B\E9-F_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  02:12:04 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
18.940,100.00,366.67,375.00,6401.15,833.35,20011.42,37341.08,0.00,133.33,20.00
19.278,180.00,666.68,250.00,6601.23,800.02,18609.88,37741.97,33.33,100.00,0.00
19.616,0.00,300.00,550.01,4500.57,833.35,16657.91,38176.27,166.67,233.33,0.00
19.954,140.00,666.68,300.00,7001.38,1166.71,21212.83,35002.77,66.67,33.33,60.00
20.292,80.00,1266.71,325.00,7701.67,1666.75,18259.51,38944.68,33.33,166.67,0.00
20.630,140.00,800.02,550.01,6001.01,600.01,18559.82,38610.59,66.67,66.67,0.00
20.968,180.00,466.67,275.00,8001.80,1200.04,17708.94,34902.56,33.33,66.67,0.00
21.306,160.00,666.68,375.00,6601.23,1400.06,27471.52,37808.79,0.00,133.33,0.00
21.644,260.00,766.68,475.01,4600.60,1333.38,17458.69,38142.87,0.00,133.33,0.00
21.982,20.00,500.01,525.01,6201.08,933.36,18059.30,35203.18,66.67,0.00,0.00
22.320,120.00,433.34,300.00,5200.76,1700.08,23165.30,38176.27,0.00,0.00,0.00
22.658,180.00,533.34,425.01,7201.46,1166.71,20011.42,36004.87,100.00,0.00,20.00
22.996,140.00,533.34,300.00,5400.82,933.36,20562.05,38911.28,66.67,100.00,0.00
23.334,240.00,500.01,275.00,6201.08,933.36,18459.71,36004.87,33.33,133.33,20.00
23.672,160.00,333.34,500.01,6701.26,1300.05,19661.02,38877.87,133.33,133.33,60.00
24.010,100.00,433.34,500.01,6601.23,866.69,16758.01,35102.98,66.67,66.67,0.00
24.348,160.00,533.34,200.00,6201.08,1600.07,19811.19,38610.59,66.67,200.00,20.00
24.686,60.00,300.00,450.01,7401.54,1100.03,18860.14,37073.83,100.00,133.33,0.00
25.024,80.00,566.68,525.01,7901.76,1033.36,18509.77,37875.60,66.67,5367.52,140.00
25.362,100.00,70673.24,13179.88,11903.99,42985.93,978205.10,87257.34,22314.69,269461.38,1580.08
25.700,340.00,431974.13,69560.65,10202.93,236077.90,3286627.81,216102.06,58032.58,753228.86,3040.28
26.038,540.01,1132513.96,106165.64,10002.81,313577.90,5114999.72,278028.10,103280.58,999993.32,5080.79
26.376,460.01,884832.44,123476.76,7401.54,364174.62,6372748.97,324204.17,87559.06,1102900.02,4880.73
26.714,600.01,1002640.71,134758.16,7801.71,398986.37,6643054.84,281925.01,88463.73,1055588.24,5540.94
27.052,260.00,984256.92,143879.10,8802.18,430518.89,7282297.04,322539.53,93356.57,1118473.72,5961.09
27.390,580.01,936482.25,119147.41,6401.15,465974.46,7611208.76,306343.24,94864.90,1199839.09,4840.72
27.728,400.00,794320.98,111347.15,9102.33,458172.93,7486380.64,287958.47,79586.53,990067.86,3680.42
28.066,300.00,626284.32,84474.97,7701.67,440973.81,7143947.03,273217.49,76472.23,976054.71,3520.38
28.404,500.01,527083.12,67778.79,6101.05,446955.71,7409733.76,247121.54,82165.46,913504.19,3620.40
28.742,400.00,460201.21,58245.14,5700.91,452289.89,7203403.29,237147.25,77309.35,880698.85,3440.36
29.081,280.00,390091.02,52602.61,6901.34,430723.81,6977355.62,238397.95,74028.09,932217.66,2900.26
29.418,400.00,355375.98,49819.62,8101.85,462449.68,7549381.42,245261.51,77007.99,896075.22,2940.27
29.757,420.00,330300.33,46836.53,8802.18,447331.78,7171213.44,235727.67,69006.95,826463.69,3720.42
30.095,280.00,305598.67,39268.27,9402.49,427718.30,7017895.47,235761.48,67567.84,784397.87,2600.21
30.433,200.00,286485.00,37714.91,7901.76,417236.99,6576843.90,231739.93,66430.01,784712.00,2680.22
30.771,300.00,273415.34,37514.49,9302.43,414199.62,6790525.15,227922.01,71416.90,807549.43,2540.20
31.109,140.00,265869.10,35911.19,6201.08,375850.40,7300387.66,221335.57,61846.03,787678.47,2780.24
31.447,420.00,254707.80,44355.19,7101.42,386136.92,6498266.94,215156.79,62715.89,786421.96,2380.17
31.785,480.01,240242.24,34909.20,6401.15,388999.06,6028118.10,204560.16,62548.61,740937.13,2380.17
32.123,300.00,226902.43,33982.41,7401.54,387125.01,5995903.26,212827.69,66664.26,733628.92,2480.19
32.461,320.00,226396.05,30676.41,5700.91,443708.18,6700009.52,225726.26,64522.65,731332.63,2140.14
32.799,520.01,242134.28,30325.81,7401.54,380890.73,5906629.04,206651.97,61377.67,821637.06,2620.21
33.137,380.00,219780.64,28597.96,6201.08,378438.55,6008847.79,209283.96,60808.95,716310.30,2460.19
33.475,460.01,208985.21,26970.42,5700.91,367475.76,6624225.15,213570.25,65325.73,730497.74,2340.17
33.813,540.01,200623.28,28122.20,7101.42,366590.89,7290187.66,217722.58,57898.79,736795.46,2180.15
34.151,260.00,200319.88,25418.13,7401.54,373807.50,6094763.03,215426.84,62782.81,758106.20,1780.10
34.489,460.01,195567.55,26695.00,7601.63,365229.63,6083991.93,208406.58,63953.85,722220.26,2400.18
34.827,100.00,190647.94,25017.57,7101.42,423347.50,5566257.16,241711.06,61210.40,735681.85,2540.20
35.165,360.00,186437.08,25468.20,6101.05,362371.20,5926886.46,207934.17,63719.63,685402.49,2240.15
35.503,280.00,171790.94,23865.99,6701.26,365059.42,5716874.74,209553.96,54955.67,688282.50,2020.13
35.841,300.00,179701.73,23165.06,7201.46,352302.51,5943847.40,225624.91,62749.35,707761.67,2240.15
36.179,80.00,211008.88,23240.16,8201.89,356961.99,8306971.28,208001.65,55825.18,699703.47,2240.15
36.517,240.00,157997.48,22263.91,5700.91,353390.76,5668673.95,199601.57,60240.27,677389.40,1800.10
36.855,420.00,164018.22,21913.48,7801.71,346556.45,5662677.08,200545.95,59437.44,676869.09,2200.15
37.193,300.00,162033.48,21638.14,7001.38,345060.72,5606418.09,208305.38,58199.81,662760.24,1780.10
37.531,520.01,159040.06,20011.24,5900.98,326952.09,6073158.73,196667.60,54821.91,734150.80,1820.10
37.869,440.01,162302.59,22664.42,7501.58,337006.36,5567641.53,193464.36,58868.79,658775.80,2520.19
38.207,480.01,163143.57,31628.07,7001.38,323726.44,5420258.32,201928.86,54554.39,669726.58,2240.15
38.545,340.00,157795.72,21362.81,7301.50,341831.71,5455520.83,190194.34,58902.24,633573.84,1720.09
38.883,260.00,202645.97,19360.52,8602.08,324880.83,5330270.04,196633.86,62883.18,641497.41,1860.11
39.222,420.00,149457.62,22389.07,6601.23,335069.80,6224229.44,190295.46,54119.65,656870.52,1960.12
39.560,160.00,156820.48,22414.10,6501.19,378915.34,5367171.60,191913.58,57530.87,624098.00,2340.17
39.898,400.00,141324.97,19260.42,5600.88,332827.68,5486785.67,220119.91,56193.06,807619.35,1760.10
40.236,360.00,150163.50,20611.93,4900.68,330823.71,5635807.94,196802.45,53651.50,652333.35,1860.11
40.574,320.00,147071.21,19836.05,6601.23,330551.99,5466509.50,190497.71,55122.88,661062.45,1840.10
40.912,200.00,145861.30,20561.87,5800.95,344652.81,5314848.95,217317.42,60240.27,669795.91,2100.14
41.250,320.00,145054.77,21437.90,4900.68,310558.24,5133320.43,193160.94,66262.69,645962.45,1920.11
41.588,220.00,141425.77,19760.96,5600.88,305978.82,5008429.41,197375.74,55624.52,711583.67,1520.07
41.926,260.00,135815.72,18559.67,5700.91,312933.21,4980709.88,188138.25,49472.14,636445.26,2020.13
