C:\ICPMH\1\DATA\12G13l01.B\414_8.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  03:56:36 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,50.00,0.00,0.00,100.00,16707.96,2550.19,0.00,0.00
0.482,200.00,0.00,200.00,333.34,15907.21,2000.11,0.00,0.00
0.718,150.00,66.67,400.00,366.67,18009.25,2500.18,0.00,0.00
0.954,100.00,0.00,0.00,566.68,17859.09,3100.28,0.00,0.00
1.190,100.00,0.00,200.00,366.67,14856.29,2700.21,0.00,0.00
1.426,50.00,66.67,400.00,466.67,17558.79,3200.29,0.00,0.00
1.662,400.00,0.00,400.00,133.33,18009.25,3550.36,0.00,0.00
1.898,100.00,66.67,700.01,500.01,18810.09,1850.10,0.00,0.00
2.134,100.00,33.33,900.02,233.33,15807.13,2200.14,0.00,0.00
2.370,100.00,66.67,200.00,566.68,16407.67,2400.17,0.00,0.00
2.606,0.00,33.33,300.00,266.67,19711.08,2700.21,0.00,0.00
2.842,100.00,0.00,300.00,433.34,16858.10,2350.16,0.00,0.00
3.078,100.00,0.00,800.02,400.00,20111.53,1800.09,0.00,0.00
3.314,100.00,0.00,300.00,233.33,17758.99,3300.31,0.00,0.00
3.550,50.00,33.33,0.00,166.67,15757.08,2350.16,0.00,0.00
3.786,200.00,66.67,300.00,366.67,16808.06,2550.19,0.00,0.00
4.022,50.00,0.00,700.01,433.34,16357.63,1950.11,0.00,0.00
4.258,150.00,66.67,900.02,366.67,17608.84,2850.23,0.00,0.00
4.494,100.00,133.33,0.00,366.67,17959.20,2600.19,0.00,0.00
4.730,100.00,0.00,200.00,233.33,17809.04,2900.24,0.00,0.00
4.966,0.00,0.00,200.00,533.34,19060.36,3400.33,0.00,0.00
5.202,300.00,33.33,200.00,366.67,17308.54,2250.15,0.00,0.00
5.438,50.00,0.00,4600.60,666.68,17408.64,7001.41,1500.07,3100.30
5.674,124382.69,15440.03,377364.32,2700.21,71796.75,67531.00,12471.26,9069.19
5.911,244972.71,40011.58,1433490.85,11837.33,253368.10,199691.09,101704.65,11220.53
6.147,252527.06,39477.06,845256.46,32129.40,521648.55,225250.84,113579.82,14890.14
6.383,196123.58,25151.09,452077.60,51375.12,802091.72,176592.96,131340.97,7018.18
6.619,154870.21,20178.10,178693.85,56658.02,1043832.84,141322.48,145522.92,4800.71
6.855,231038.41,17074.85,201131.71,66726.67,1238972.10,103105.04,164899.40,1766.76
7.091,200117.63,16874.66,100181.58,74591.59,1169751.98,75915.50,209117.27,733.35
7.327,110743.13,14972.96,51574.73,81723.26,1384086.85,61307.98,206620.20,750.02
7.563,99476.96,14205.67,41748.98,85474.40,1298846.90,51426.00,230120.48,500.01
7.799,287856.84,15073.05,16507.66,87551.28,1438315.36,38342.26,219683.18,583.34
8.035,104606.22,12437.68,8802.18,83967.16,1386034.02,26019.47,216711.92,366.67
8.271,102644.84,14605.99,11503.72,79714.05,1351645.15,22114.07,204966.95,750.02
8.507,104455.31,12604.46,4200.50,83062.87,1360163.41,19310.73,219109.15,500.01
8.743,106064.79,13872.07,5400.82,81287.91,1288226.40,14005.64,213133.57,333.34
8.979,130224.20,18709.83,4200.50,75562.40,1282384.79,15456.87,233668.59,366.67
9.215,136924.15,18042.47,3800.41,80283.30,1348376.79,10603.23,208341.10,350.00
9.450,141257.77,20311.58,8401.99,82326.06,1328261.55,8952.31,234074.16,233.33
9.687,165919.01,22514.23,3000.25,79446.17,1291419.95,10303.05,223735.76,300.00
9.923,156938.19,23215.13,1700.08,80517.70,1253877.66,8502.08,227181.16,216.67
10.159,172733.32,23715.79,3000.25,84268.59,1294963.99,7501.62,206282.78,316.67
10.395,173490.62,24617.01,2500.18,76098.03,1343287.73,5700.94,211985.93,283.34
10.631,171168.33,22247.23,1300.05,73386.51,1331483.92,7151.47,202706.63,133.33
10.867,168593.95,22914.74,1400.06,82527.00,1335027.96,7801.75,212390.97,350.00
11.103,180257.29,21379.50,1200.04,90164.46,1311627.18,7951.82,227079.84,116.67
11.339,154164.13,23448.77,2200.14,83062.87,1351984.01,5700.94,213538.63,233.33
11.575,145441.23,18643.09,1900.10,80048.90,1289007.55,8201.94,213437.34,183.33
11.811,149424.01,17975.74,900.02,75395.01,1196765.75,5500.87,207463.76,316.67
12.047,154264.99,18542.99,1700.08,77169.36,1268989.97,6751.31,209319.73,166.67
12.283,148415.63,18676.46,1900.10,73353.05,1353006.48,8402.03,218535.13,283.34
12.519,126950.70,18542.99,2600.19,77604.61,1382541.73,6251.12,206620.20,266.67
12.755,149827.38,17975.74,1400.06,79412.68,1189930.40,4900.69,205473.02,250.00
12.991,148667.70,16908.03,1300.05,83263.81,1396034.21,4850.68,211074.66,150.00
13.226,124684.78,16674.47,2000.11,78173.79,1207851.49,5300.81,215564.05,183.33
13.463,111749.37,15573.48,2100.12,75595.88,1304608.04,5550.89,207328.78,283.34
13.699,113007.27,14972.96,2500.18,79044.35,1485019.27,4900.69,195118.23,83.33
13.935,111095.30,12370.96,2800.22,79379.20,1458545.44,4550.60,220763.76,250.00
14.171,108328.35,11303.59,800.02,85675.38,1413581.97,5550.89,210399.68,300.00
14.407,103952.39,13638.55,3100.27,71947.23,1271029.03,5350.82,196433.31,133.33
14.643,90830.95,10803.28,1200.04,77102.41,1283217.70,4500.58,185915.53,250.00
14.880,99074.71,12971.39,1400.06,85608.39,1271419.66,5450.85,188948.85,350.00
15.116,95605.84,12137.47,1100.03,77939.42,1256605.99,5150.76,202807.85,116.67
15.352,72396.81,10369.69,1200.04,84837.99,1244520.83,5000.72,196871.72,133.33
15.588,85504.70,10603.16,700.01,81053.49,1321822.59,5050.73,193702.10,166.67
15.824,70338.58,10636.51,1300.05,78609.07,1274779.81,5850.99,182242.55,183.33
16.060,63713.72,10136.22,1500.06,91002.09,1262964.58,5800.97,190566.85,133.33
16.296,72246.19,9102.33,700.01,77001.98,1343190.07,4350.54,185645.92,166.67
16.532,66423.59,8902.23,400.00,76600.21,1383862.82,4300.53,189858.92,100.00
16.768,62308.77,10102.87,1300.05,76265.42,1446678.55,4650.62,196298.43,300.00
17.004,62961.05,7334.85,900.02,82660.97,1366498.96,6251.12,176852.49,366.67
17.240,48666.38,7601.62,800.02,84570.04,1283435.97,4800.66,188847.71,300.00
17.476,58495.87,6501.19,600.01,81020.01,1309892.51,4150.50,191173.59,183.33
17.712,51223.53,6534.53,400.00,83196.83,1237358.13,5850.99,182242.55,116.67
17.948,53429.99,6601.22,800.02,79714.05,1370347.39,4100.48,187027.67,283.34
18.184,59699.86,6467.84,100.00,81957.68,1252826.49,4150.50,186859.15,250.00
18.420,47563.41,7234.80,1400.06,77001.98,1340921.22,5000.72,186252.53,166.67
18.656,46861.56,4700.62,600.01,79513.14,1311851.20,4700.64,202841.57,366.67
18.892,46861.56,5834.29,200.00,81455.35,1395781.48,5150.76,190600.54,216.67
19.128,46109.60,6467.84,800.02,82091.64,1270127.27,4850.68,192117.53,383.34
19.364,43152.20,5434.16,800.02,80216.33,1406396.32,3900.44,194983.37,183.33
19.600,36437.23,4934.02,500.01,73821.67,1233722.20,5100.75,224647.68,100.00
19.836,37439.30,6034.36,900.02,77068.93,1322856.57,4750.65,189724.13,183.33
20.072,34984.31,5367.48,600.01,88321.80,1306865.46,5100.75,195320.56,383.34
20.308,36487.33,4033.79,900.02,79412.68,1283154.52,5250.79,208273.64,216.67
20.544,31577.96,4600.59,500.01,82794.93,1832423.87,5250.79,189656.66,333.34
20.780,30776.56,4600.59,700.01,76098.03,1332580.99,4750.65,189387.03,183.33
21.016,30976.91,3967.11,400.00,73620.83,1294039.19,5050.73,195860.05,266.67
21.252,37790.04,4600.59,300.00,82192.11,1209718.29,5050.73,183994.68,300.00
21.488,33782.00,3833.75,900.02,74357.27,1287548.56,6001.04,200008.16,266.67
21.724,34934.22,4867.33,600.01,74491.16,1299260.48,6701.29,189589.25,450.01
21.960,29123.79,4533.91,1400.06,81053.49,1237306.38,5000.72,190903.93,233.33
22.196,30926.82,3667.04,600.01,75796.74,1358606.77,5500.87,179917.88,266.67
22.432,31026.99,4100.47,600.01,82560.49,1435891.44,6051.05,199603.41,450.01
22.668,31177.26,5034.05,1200.04,72348.89,1344218.19,5150.76,192319.83,200.00
22.904,30976.91,4433.89,1500.06,79647.07,1337423.17,6651.27,200075.61,216.67
23.140,31628.05,3633.70,300.00,71846.84,1367280.11,4350.54,200783.92,300.00
23.376,31928.58,4100.47,400.00,85139.44,1226456.08,5300.81,209218.49,100.00
23.612,33832.10,3700.38,500.01,79211.78,1263286.26,4650.62,186050.33,166.67
23.848,32830.23,5367.48,200.00,76499.77,1229259.11,4750.65,195084.53,200.00
24.085,34082.57,3733.72,300.00,71512.14,1313964.97,4700.64,174090.74,300.00
24.321,31678.14,4633.94,0.00,75696.31,1274044.56,5450.85,182006.71,150.00
24.557,35034.42,6567.88,500.01,82861.92,1192124.64,3700.39,212019.67,250.00
