C:\ICPMH\1\DATA\12G13l01.B\424_13.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  05:36:52 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,300.00,66.67,500.01,600.01,16657.91,3500.35,0.00,0.00
0.482,300.00,0.00,300.00,233.33,19961.36,2550.19,0.00,0.00
0.718,400.00,33.33,300.00,233.33,18309.56,2500.18,0.00,0.00
0.954,200.00,0.00,300.00,300.00,19060.36,1600.07,0.00,0.00
1.190,250.00,0.00,1000.03,133.33,15707.04,2750.22,0.00,0.00
1.426,200.00,66.67,400.00,366.67,18259.51,2400.17,0.00,0.00
1.662,0.00,66.67,400.00,466.67,15807.13,2000.11,0.00,0.00
1.898,150.00,0.00,400.00,466.67,16607.86,2200.14,0.00,0.00
2.134,0.00,0.00,600.01,533.34,16257.54,2250.15,0.00,0.00
2.370,50.00,0.00,300.00,233.33,16858.10,2200.14,0.00,0.00
2.606,100.00,0.00,600.01,300.00,17108.35,3050.27,66.67,0.00
2.842,150.00,0.00,200.00,233.33,16457.72,2100.13,0.00,0.00
3.078,400.00,33.33,200.00,566.68,16207.49,3950.45,0.00,0.00
3.315,50.00,66.67,200.00,333.34,16607.86,2300.15,0.00,0.00
3.551,200.00,0.00,700.01,366.67,16157.44,2100.13,0.00,0.00
3.787,250.00,0.00,500.01,400.00,16207.49,3200.29,0.00,0.00
4.023,0.00,0.00,500.01,566.68,16157.44,2900.24,0.00,0.00
4.259,100.00,66.67,0.00,233.33,16958.20,2450.17,0.00,0.00
4.495,100.00,66.67,200.00,200.00,17008.25,2400.17,66.67,0.00
4.731,100.00,0.00,500.01,233.33,19310.63,2150.13,0.00,0.00
4.967,100.00,0.00,800.02,433.34,17508.74,3100.28,0.00,0.00
5.203,450.01,0.00,800.02,300.00,17308.54,2450.17,0.00,0.00
5.439,200.00,100.00,500.01,633.34,18760.03,2800.23,0.00,0.00
5.674,900.02,0.00,400.00,466.67,23565.83,14856.35,3233.64,1083.37
5.911,45508.05,11903.98,78774.20,8935.61,172999.58,181897.27,29091.65,4767.36
6.147,114214.93,13905.43,377262.12,33465.23,545869.69,272723.93,92150.17,4033.83
6.383,197235.78,18342.78,177077.81,55989.21,1176001.39,257138.95,166245.79,2733.56
6.619,187683.41,26452.97,469007.92,78039.89,1317233.23,187759.16,211310.93,1933.45
6.855,200724.39,34333.08,197895.71,88723.81,1436999.93,125300.22,214213.73,1283.38
7.091,231291.66,29190.58,127052.53,97570.60,1619817.91,104664.32,215091.41,1050.03
