C:\ICPMH\1\DATA\12G13l01.B\412_19.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  03:16:32 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,200.00,0.00,400.00,266.67,18359.61,3200.29,0.00,0.00
0.482,50.00,0.00,600.01,500.01,17408.64,2300.15,0.00,0.00
0.718,100.00,0.00,300.00,166.67,19961.36,2550.19,0.00,0.00
0.954,0.00,66.67,800.02,766.68,17058.30,2600.19,0.00,0.00
1.190,0.00,0.00,100.00,233.33,18209.45,2650.20,0.00,0.00
1.426,100.00,66.67,700.01,266.67,20662.17,2400.17,0.00,0.00
1.662,300.00,0.00,300.00,433.34,18109.35,2150.13,0.00,0.00
1.898,200.00,100.00,800.02,200.00,17608.84,1900.10,0.00,33.33
2.134,100.00,0.00,200.00,500.01,19811.19,3150.29,0.00,0.00
2.370,200.00,66.67,700.01,200.00,18009.25,1900.10,0.00,0.00
2.606,250.00,0.00,300.00,200.00,16707.96,2150.13,0.00,0.00
2.842,50.00,0.00,900.02,533.34,17508.74,2150.13,0.00,0.00
3.078,300.00,0.00,200.00,533.34,17458.69,2550.19,0.00,0.00
3.314,100.00,33.33,600.01,200.00,16707.96,2950.25,0.00,0.00
3.550,300.00,0.00,500.01,500.01,18860.14,2500.18,0.00,0.00
3.786,0.00,0.00,500.01,500.01,19961.36,2750.22,0.00,0.00
4.022,150.00,0.00,700.01,466.67,16707.96,2050.12,0.00,0.00
4.258,0.00,66.67,300.00,200.00,18259.51,2700.21,0.00,0.00
4.494,250.00,0.00,300.00,200.00,19661.02,2950.25,0.00,0.00
4.730,200.00,66.67,200.00,566.68,17358.59,2600.19,0.00,0.00
4.966,250.00,366.67,3500.34,1133.37,24617.28,12454.46,2900.25,6951.48
5.202,45457.92,8368.63,221572.69,9169.06,144442.70,98327.47,29826.26,2750.23
5.438,130576.75,21412.87,188797.50,33765.80,506771.54,179724.83,91312.31,5317.53
5.674,134153.20,23181.75,205379.86,54651.67,910446.99,142431.46,131508.92,4267.23
5.910,201836.86,17408.51,83696.62,65287.94,1114862.62,97472.66,167424.01,1433.40
6.146,142618.57,17808.91,56289.01,76667.18,2390377.98,85007.46,185174.13,1783.43
6.382,127907.51,20044.61,45257.55,81254.42,1423180.11,55839.60,182074.06,900.03
6.618,153508.50,21479.62,26920.37,81790.23,1330392.61,44206.17,220054.58,533.34
6.854,144130.67,22280.60,16107.30,84302.09,1539408.53,39194.16,230593.49,1100.04
7.090,126598.21,20545.18,11503.72,92074.34,1518833.82,28673.64,221135.23,466.67
7.327,145592.47,17441.88,9902.76,90063.94,1600414.88,25368.51,235121.86,583.34
7.563,157543.51,21079.14,4900.68,94286.05,1735822.30,17358.67,227282.56,233.33
7.799,181924.11,24183.08,5500.85,97034.31,1423375.32,22314.32,221439.17,383.34
8.035,160923.50,20912.28,2600.19,91839.78,1510723.37,17108.42,241747.56,233.33
8.271,178641.14,22514.23,5900.98,92342.43,1624315.37,10953.45,234952.87,383.34
8.507,152348.61,23115.00,2400.16,93280.69,1657940.47,12654.61,243843.95,466.67
8.743,163849.99,21779.98,1800.09,109708.66,1564072.98,7701.71,224309.95,383.34
8.979,157039.07,25184.47,600.01,93012.60,1537202.87,10002.88,230154.27,516.67
9.215,168593.95,21546.37,800.02,95760.66,1526415.76,10052.91,233499.63,416.67
9.450,141963.36,21613.11,500.01,87316.77,1524273.28,6951.39,239448.52,450.01
9.687,156585.10,21746.61,800.02,97134.86,1570454.53,6501.22,233533.40,350.00
9.923,142820.14,20545.18,1200.04,88958.33,1561821.42,6301.14,235831.63,483.34
10.159,139090.85,19577.43,1100.03,94017.94,1606072.69,6751.31,224917.91,300.00
10.395,145037.95,17541.97,0.00,94017.94,1504514.19,7751.73,236406.21,116.67
10.631,146701.52,20578.56,1500.06,86345.31,1528713.32,6451.20,237893.51,216.67
10.867,136118.01,18442.88,800.02,97470.05,1633660.78,6401.18,230897.63,400.00
11.103,152802.47,19310.47,300.00,90968.59,1706614.49,7551.64,222047.06,450.01
11.339,161327.13,19644.17,400.00,99414.25,1499321.62,6501.22,220358.53,300.00
11.575,152348.61,20278.21,700.01,88790.81,1447953.65,5000.72,232316.83,350.00
11.811,150079.46,20411.70,400.00,96833.20,1467574.94,5700.94,217252.07,316.67
12.047,138486.16,21512.99,900.02,89963.43,1436069.47,6051.05,236034.41,366.67
12.283,142164.97,21713.23,300.00,86412.32,1492859.70,5350.82,236169.63,516.67
12.519,151693.05,20077.99,1600.07,94621.18,1587962.05,5650.92,226100.22,400.00
12.755,140602.64,19510.69,800.02,94956.31,1525088.90,4900.69,215327.72,250.00
12.991,146449.45,18576.36,600.01,94956.31,1450216.73,4250.52,217420.90,350.00
13.226,136420.33,18042.47,200.00,93582.29,1595699.16,6101.07,219244.21,316.67
13.463,107724.71,17341.78,900.02,92275.40,1600311.46,7451.60,221000.15,383.34
13.699,123526.76,17808.91,800.02,93213.67,1505927.18,7401.58,231032.77,266.67
13.935,119298.09,15239.86,500.01,92711.02,1653385.39,7001.41,218231.24,466.67
14.171,109384.77,14939.60,1000.03,88120.79,1318766.83,8151.91,236271.02,483.34
14.407,112453.80,26252.68,600.01,87283.28,1302097.98,8001.84,218163.73,316.67
14.643,127454.28,14138.95,300.00,91605.23,1718406.68,8301.98,217387.13,433.34
14.879,104857.68,15173.13,1400.06,85842.86,1441302.18,8452.06,230154.27,166.67
15.115,102292.82,15273.22,1200.04,83866.67,1471819.66,8301.98,236068.20,383.34
15.351,111145.63,14572.63,300.00,91002.09,1583005.02,8402.03,210095.92,450.01
15.587,86409.05,13972.15,400.00,89561.38,1454553.45,6551.24,223060.26,566.68
15.823,94198.38,14072.23,700.01,87115.78,1476822.69,7201.49,228802.82,316.67
16.059,87363.69,11003.40,600.01,86144.33,1553682.26,8051.87,224715.24,450.01
16.295,75409.25,11637.14,900.02,86948.28,1504209.70,4850.68,230694.93,400.00
16.532,87162.69,11803.91,900.02,81153.95,1452433.92,6201.11,184837.13,200.00
16.768,85554.93,10536.45,1500.06,99749.47,1528070.05,5800.97,221236.53,216.67
17.004,89373.62,11570.43,600.01,95224.42,1543394.86,4350.54,218096.16,466.67
17.240,85605.17,9802.70,300.00,92979.09,1426959.60,4950.71,200918.85,250.00
17.476,86057.34,10669.86,800.02,83699.20,1450647.59,4750.65,221810.67,416.67
17.712,78020.46,9736.00,700.01,94453.62,1452726.89,4850.68,205000.69,400.00
17.948,87062.20,9936.11,900.02,85172.93,1494904.53,4700.64,201492.26,233.33
18.184,74405.04,8668.78,900.02,91538.21,1353253.45,3550.36,199974.42,333.34
18.420,67025.86,7368.19,200.00,84302.09,1440635.87,5000.72,195050.82,400.00
18.656,59549.35,6367.81,0.00,87115.78,1334867.12,6001.04,212222.21,200.00
18.892,43653.42,6267.77,600.01,102029.20,1413593.49,4100.48,202976.49,400.00
19.128,52527.33,6067.70,500.01,103370.34,1426844.66,4200.51,189757.82,383.34
19.364,48415.70,6867.99,600.01,89795.91,1515743.59,4200.51,191982.67,250.00
19.600,52427.02,8568.73,400.00,84603.53,1502038.51,4500.58,208442.34,466.67
19.836,47112.21,5767.60,400.00,76834.56,1444955.31,5150.76,197208.91,300.00
20.072,45508.05,5367.48,600.01,94017.94,1393460.97,4500.58,261978.62,300.00
20.308,43503.05,6501.19,0.00,99414.25,1458350.23,5100.75,222317.23,350.00
20.544,46661.02,5534.19,200.00,91002.09,1602959.41,6401.18,218400.09,450.01
20.780,39593.95,6234.42,500.01,97503.55,1479614.19,5400.84,215428.99,516.67
