C:\ICPMH\1\DATA\12G13l01.B\412_9.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  02:24:48 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,150.00,33.33,400.00,300.00,18209.45,3900.44,0.00,0.00
0.482,200.00,0.00,200.00,233.33,17558.79,3150.29,0.00,0.00
0.718,50.00,0.00,200.00,400.00,18860.14,3050.27,0.00,0.00
0.954,250.00,33.33,700.01,466.67,19110.41,2900.24,0.00,0.00
1.190,150.00,0.00,500.01,333.34,17558.79,3400.33,0.00,0.00
1.426,150.00,0.00,1100.03,566.68,15957.26,2900.24,0.00,0.00
1.662,400.00,0.00,600.01,266.67,17408.64,3650.38,0.00,0.00
1.898,0.00,66.67,300.00,433.34,18409.66,2850.23,0.00,0.00
2.134,100.00,33.33,1700.08,466.67,16808.06,2150.13,0.00,0.00
2.370,150.00,33.33,0.00,200.00,16908.15,2950.25,0.00,0.00
2.606,350.00,100.00,0.00,400.00,16707.96,2350.16,0.00,0.00
2.842,150.00,66.67,0.00,200.00,17458.69,3100.28,0.00,0.00
3.078,50.00,66.67,300.00,566.68,19360.69,2200.14,0.00,0.00
3.314,250.00,66.67,200.00,466.67,18860.14,2200.14,0.00,0.00
3.550,150.00,0.00,100.00,433.34,15757.08,2500.18,0.00,0.00
3.786,200.00,33.33,200.00,333.34,18009.25,2650.20,0.00,0.00
4.023,150.00,0.00,500.01,166.67,18709.98,2350.16,0.00,0.00
4.259,200.00,0.00,200.00,466.67,17408.64,2850.23,0.00,0.00
4.495,450.01,0.00,400.00,333.34,19761.13,3600.37,0.00,0.00
4.731,250.00,133.33,800.02,566.68,17208.44,3050.27,0.00,0.00
4.967,0.00,100.00,1200.04,766.68,19811.19,5850.99,1966.78,1766.76
5.203,51574.55,8968.93,709380.39,5067.40,93850.58,125048.44,14939.92,9402.71
5.439,197336.88,34132.69,692223.36,13705.35,251643.51,218566.26,53785.33,5884.40
5.674,245023.39,50772.30,563803.33,22748.07,381967.03,203889.43,81696.70,8685.65
5.911,254048.49,47931.11,618684.58,46661.98,862669.16,239489.36,122709.91,8952.46
6.147,144584.30,24917.43,561017.20,59199.72,1083643.09,147775.82,152248.38,4450.61
6.383,219088.87,33965.71,1400700.91,76767.61,1339571.42,133007.21,203921.08,16808.67
6.619,111296.57,87849.56,430043.81,70575.02,1244762.04,100137.78,176684.09,3933.81
6.855,129065.81,13638.55,53580.65,74189.89,1297135.19,65774.28,204056.06,1683.42
7.091,108529.56,12904.68,89625.43,110010.55,1395557.55,42201.19,202639.16,2400.18
7.327,113762.06,12604.46,59599.78,99313.67,1657814.10,40697.61,215732.83,866.69
7.563,74153.99,11336.94,8702.13,101425.70,1446443.00,36939.23,213437.34,616.68
7.799,73250.28,9502.54,7201.46,108568.26,1545583.34,36588.49,220729.99,283.34
8.035,77719.14,7534.93,19210.38,93079.62,1463146.32,21613.44,231235.52,683.35
8.271,65419.89,9669.29,9102.33,95257.94,1708136.56,24016.59,218602.67,2550.20
8.507,69535.44,9969.46,4400.55,103504.46,1728826.21,21162.88,247800.82,400.00
8.743,66072.29,8902.23,4000.45,99514.81,1544784.90,14055.68,241713.74,433.34
8.979,68531.56,9169.03,1900.10,97101.34,1503514.68,18309.64,234378.29,400.00
9.215,65018.43,8835.53,900.02,83330.80,1489258.33,10403.11,228464.96,366.67
9.450,73551.50,8468.68,500.01,91236.65,1607410.97,10002.88,246583.22,250.00
9.687,61857.20,9169.03,76564.58,110983.30,1546117.52,9352.52,247428.77,283.34
9.923,53931.51,7534.93,900.02,90365.49,1646423.86,9052.36,236507.62,233.33
10.159,51173.39,7268.15,600.01,106690.13,1644166.44,7551.64,208543.58,833.35
