C:\ICPMH\1\DATA\12G13l01.B\414_5.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  03:42:44 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,150.00,33.33,900.02,300.00,16407.67,2600.19,0.00,0.00
0.482,100.00,66.67,300.00,400.00,16307.58,2800.23,0.00,0.00
0.718,150.00,0.00,600.01,733.35,17708.94,2900.24,0.00,0.00
0.954,150.00,0.00,800.02,466.67,19410.75,2450.17,0.00,0.00
1.190,50.00,133.33,200.00,833.35,18860.14,2100.13,0.00,0.00
1.426,50.00,0.00,800.02,366.67,14756.21,2300.15,0.00,0.00
1.662,150.00,0.00,100.00,566.68,17258.49,2700.21,0.00,0.00
1.898,200.00,66.67,500.01,400.00,17058.30,1850.10,0.00,0.00
2.134,100.00,0.00,500.01,466.67,16858.10,2200.14,0.00,0.00
2.370,300.00,0.00,400.00,400.00,16357.63,2150.13,0.00,0.00
2.606,0.00,33.33,100.00,266.67,16257.54,3300.31,0.00,0.00
2.842,200.00,0.00,400.00,433.34,18309.56,2600.19,0.00,0.00
3.078,0.00,33.33,500.01,200.00,16758.01,2300.15,0.00,0.00
3.314,100.00,0.00,600.01,366.67,18509.77,2800.23,0.00,0.00
3.550,100.00,0.00,800.02,66.67,19310.63,2100.13,0.00,0.00
3.786,300.00,66.67,600.01,400.00,17508.74,2850.23,0.00,0.00
4.022,200.00,0.00,400.00,300.00,20512.00,2950.25,0.00,0.00
4.258,250.00,66.67,800.02,400.00,16557.82,3100.28,0.00,0.00
4.494,250.00,0.00,200.00,300.00,16858.10,3350.32,0.00,0.00
4.730,50.00,0.00,800.02,133.33,17458.69,2100.13,0.00,0.00
4.966,300.00,0.00,700.01,500.01,18109.35,2000.11,0.00,0.00
5.202,300.00,0.00,400.00,500.01,17809.04,2150.13,0.00,0.00
5.438,100.00,33.33,0.00,433.34,16557.82,2000.11,0.00,0.00
5.674,0.00,66.67,1300.05,533.34,17909.14,2750.22,66.67,0.00
5.910,50.00,0.00,600.01,366.67,18659.93,3050.27,0.00,0.00
6.146,0.00,0.00,100.00,266.67,17558.79,2350.16,0.00,0.00
6.382,0.00,33.33,400.00,366.67,17458.69,2700.21,0.00,0.00
6.618,2100.12,333.34,30726.54,1033.36,27671.83,51626.60,3900.45,3617.07
6.854,75258.63,12771.25,311608.01,6801.32,143132.05,245826.98,36439.18,4633.99
7.091,147054.42,27454.49,528750.21,28990.60,553297.18,358511.34,81663.21,4517.29
7.327,187733.93,24817.29,109737.76,45826.45,821196.60,328323.30,122542.01,2683.55
7.563,190765.87,28689.77,108429.75,58129.49,943318.67,231177.96,165942.86,3367.01
7.799,176318.17,21746.61,212867.24,71177.45,1123754.32,179320.68,196568.18,1783.43
8.035,179600.71,20578.56,61907.63,78073.36,1289541.73,130740.09,212289.73,1600.08
8.271,164304.17,21880.11,37740.03,81991.16,1430785.09,80285.08,201964.52,616.68
8.507,174550.91,24049.57,30526.20,90030.45,1464082.65,56190.72,246042.10,616.68
8.743,199864.81,26119.15,17909.02,92509.96,1481096.13,62863.53,239516.15,550.01
8.979,245124.79,30492.76,5200.76,92677.51,1594119.57,40396.91,239414.74,366.67
9.215,240360.53,34667.06,10102.87,85105.94,1683185.00,31929.32,248612.60,650.01
9.450,231899.44,30793.28,4000.45,89326.85,1365275.52,27371.55,236913.22,416.67
9.687,235141.56,27187.41,3100.27,98073.38,1555686.85,16657.98,253010.36,450.01
9.923,214382.13,27120.64,3300.31,97671.15,1589788.61,19811.29,231573.43,383.34
10.159,205933.35,29223.97,4600.60,98542.68,1495737.44,17608.92,215867.89,483.34
10.395,200673.83,27855.11,4200.50,91337.18,1459177.28,13805.48,235933.03,350.00
10.631,194506.00,26953.72,2400.16,88958.33,1538702.09,12054.18,246887.62,450.01
10.867,204719.49,23615.65,2100.12,96062.31,1705373.87,10653.26,241713.74,400.00
11.103,202291.96,24216.46,1600.07,103772.69,1578944.08,9702.71,252469.03,416.67
11.339,184550.93,27120.64,3600.37,107126.10,1653247.50,11103.55,269393.64,466.67
11.575,175308.28,21646.49,4100.47,97302.45,1711175.23,8352.01,251014.31,183.33
11.811,166070.41,25050.95,3100.27,102833.87,1714868.59,9252.46,249931.83,383.34
12.047,153004.19,21546.37,2700.21,100285.86,1587008.53,10203.00,260929.24,466.67
12.283,149877.77,19677.54,2600.19,101191.03,1615710.97,13104.94,237555.49,316.67
12.519,154618.03,20378.32,2500.18,102733.28,1806432.46,9602.65,270341.92,333.34
12.755,138385.39,21045.77,1900.10,104275.68,1822601.80,8802.23,259846.12,250.00
12.991,141812.17,18142.58,2500.18,96028.80,1626297.01,5400.84,267327.95,200.00
13.226,125037.23,14105.59,2300.15,103973.88,1662518.20,8201.94,259676.88,333.34
13.463,134153.20,15039.69,2400.16,99380.72,1813991.64,8051.87,269867.76,283.34
13.699,128763.65,17275.05,2500.18,108065.18,1718963.91,7301.53,256732.44,300.00
