C:\ICPMH\1\DATA\12G13l01.B\424_5.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  04:54:48 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,200.00,0.00,100.00,600.01,17458.69,1850.10,0.00,0.00
0.482,200.00,0.00,500.01,800.02,16958.20,1950.11,0.00,0.00
0.718,250.00,33.33,600.01,433.34,17809.04,3050.27,0.00,0.00
0.954,50.00,0.00,500.01,266.67,17859.09,2550.19,0.00,0.00
1.191,0.00,33.33,300.00,166.67,15456.81,1900.10,0.00,0.00
1.427,50.00,33.33,700.01,333.34,16707.96,2550.19,0.00,0.00
1.663,50.00,0.00,700.01,100.00,18509.77,2550.19,0.00,0.00
1.898,300.00,0.00,1000.03,433.34,17458.69,2750.22,0.00,0.00
2.135,200.00,33.33,900.02,566.68,15506.86,1850.10,0.00,0.00
2.371,100.00,0.00,400.00,233.33,17758.99,3100.28,0.00,0.00
2.607,100.00,66.67,200.00,400.00,15456.81,3000.26,0.00,0.00
2.843,100.00,0.00,100.00,500.01,16758.01,1900.10,0.00,0.00
3.079,200.00,33.33,300.00,300.00,16457.72,3500.35,0.00,0.00
3.315,150.00,0.00,500.01,200.00,17258.49,2450.17,0.00,0.00
3.551,150.00,0.00,100.00,266.67,17508.74,2450.17,0.00,0.00
3.787,200.00,66.67,400.00,533.34,14756.21,3250.30,0.00,0.00
4.023,100.00,0.00,600.01,400.00,17308.54,2550.19,0.00,0.00
4.259,350.00,0.00,500.01,200.00,17658.89,2150.13,0.00,0.00
4.495,150.00,0.00,0.00,366.67,17108.35,1850.10,0.00,0.00
4.731,150.00,0.00,700.01,100.00,16808.06,2050.12,0.00,0.00
4.967,300.00,0.00,800.02,666.68,14956.38,2450.17,0.00,0.00
5.203,100.00,0.00,200.00,300.00,15106.51,2400.17,0.00,0.00
5.439,250.00,0.00,400.00,300.00,17208.44,2100.13,0.00,0.00
5.674,100.00,66.67,600.01,366.67,18009.25,3300.31,0.00,0.00
5.911,150.00,0.00,300.00,133.33,17458.69,2300.15,0.00,0.00
6.147,400.00,33.33,300.00,466.67,17608.84,2600.19,0.00,0.00
6.383,400.00,0.00,200.00,300.00,18309.56,2550.19,0.00,33.33
6.619,50.00,0.00,1100.03,300.00,17508.74,2250.15,0.00,0.00
6.855,50.00,66.67,600.01,500.01,22614.58,8802.23,2100.13,200.00
7.091,17058.16,5067.39,18809.95,4133.82,101392.41,87570.16,19945.08,416.67
7.327,82540.76,12204.18,55085.25,14906.33,287234.36,180432.11,63385.14,1050.03
7.563,185207.69,23348.64,46360.39,33064.47,574668.57,228138.12,119755.51,1016.70
7.799,219240.73,32997.22,36737.93,52010.32,836757.25,231025.91,165505.28,766.68
8.035,279932.04,33698.53,28623.03,63447.87,1031112.03,194280.25,189757.82,950.03
8.271,278713.14,39510.47,25618.45,76533.26,1214640.85,154029.79,197242.65,1083.37
8.507,305700.42,38708.70,16407.57,77604.61,1212716.63,122329.18,207632.48,766.68
8.743,292532.09,37706.56,15506.76,71712.95,1246680.50,100892.10,208307.38,666.68
8.979,276021.76,37172.10,18910.06,73620.83,1221757.55,93500.92,190769.06,733.35
9.215,269777.18,37606.34,14906.25,82928.88,1305234.11,80787.40,208611.04,883.36
9.450,257852.54,35702.43,12704.54,79379.20,1254233.82,72249.92,190297.14,550.01
9.687,249484.67,32930.43,12404.33,70575.02,1190257.84,50924.53,187398.43,416.67
9.923,208310.72,27454.49,10503.10,68399.76,1152100.90,50623.65,188443.25,566.68
