C:\ICPMH\1\DATA\12G13l01.B\414_3.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  03:33:51 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
15.351,129871.65,18476.25,200.00,96732.64,1584527.18,3900.44,252638.22,333.34
15.587,111497.81,14505.91,500.01,97805.23,1516243.30,4350.54,214652.58,366.67
15.823,101488.24,13605.20,600.01,94956.31,1705195.74,5350.82,242018.02,183.33
16.059,94550.22,12004.05,600.01,96732.64,1669054.92,4550.60,228667.66,450.01
16.295,88619.86,13304.97,800.02,101392.18,1681381.29,4950.71,231505.86,350.00
16.532,96108.53,12904.68,400.00,101995.66,1723329.34,2450.17,223972.19,333.34
16.768,87765.65,12337.61,900.02,92644.00,1496512.83,5050.73,245839.18,383.34
17.004,90227.90,10202.92,1100.03,98576.21,1629048.38,4800.66,229444.75,216.67
17.240,79878.68,11537.07,100.00,93180.16,1557312.44,4500.58,253078.07,350.00
17.476,83344.48,12270.89,600.01,94487.13,1510545.35,4900.69,227856.82,366.67
17.712,80983.64,9102.33,200.00,109608.03,1672374.84,3850.43,230694.93,333.34
17.948,83294.25,10869.99,700.01,102900.92,1489987.73,3900.44,217555.96,150.00
18.184,74656.09,11236.88,400.00,91772.76,1501268.88,3450.34,219548.10,616.68
18.420,86911.48,8335.28,3000.25,88288.28,1713610.59,3950.45,228262.23,283.34
18.656,75559.90,9702.64,600.01,92878.56,1486403.55,4000.46,229816.40,250.00
18.892,76413.52,8935.58,400.00,82225.60,1531539.39,3950.45,217319.58,250.00
19.128,67226.59,11403.65,1100.03,86814.28,1434064.88,3250.30,222452.32,216.67
19.364,75258.63,10436.39,800.02,92107.85,1507989.29,3900.44,223972.19,300.00
19.600,69585.63,9969.46,1100.03,93649.31,1716293.01,4800.66,227079.84,333.34
19.836,77216.97,9836.05,600.01,98743.79,1664695.15,4650.62,223769.49,400.00
20.072,76614.38,9135.68,800.02,95157.39,1669232.85,5050.73,221911.95,283.34
20.308,72898.83,8868.88,900.02,90399.00,1660634.22,4600.61,238332.96,333.34
20.544,71041.36,11136.82,200.00,94587.66,1496599.06,4650.62,219987.07,350.00
20.780,72145.78,10236.28,600.01,100956.34,1590523.86,5550.89,219615.63,450.01
21.016,74405.04,8468.68,300.00,91337.18,1646504.14,4450.57,236609.04,366.67
21.252,68581.75,10202.92,600.01,91973.81,1566910.48,3500.35,237555.49,483.34
21.488,72447.00,9269.08,1200.04,101023.40,1636015.76,5350.82,236609.04,233.33
21.724,75810.96,10002.81,500.01,98777.32,1627830.70,5000.72,246684.67,283.34
21.960,69686.02,10169.57,600.01,98509.16,1526582.36,4500.58,220662.44,566.68
22.196,73953.17,9068.98,800.02,98944.92,1649875.82,6201.11,243843.95,350.00
22.432,73250.28,9235.73,700.01,102230.36,1576382.26,3850.43,210602.17,366.67
22.668,69786.42,9235.73,800.02,94587.66,1536370.05,4600.61,242322.34,383.34
22.904,64717.33,9369.13,200.00,98073.38,1624338.32,5000.72,224749.04,350.00
23.140,68280.60,9402.48,1400.06,99447.77,1559173.47,4800.66,218872.78,433.34
23.376,69384.85,9002.28,400.00,99548.33,1504502.67,5250.79,251454.11,283.34
23.612,68682.14,8868.88,700.01,98341.55,1485708.53,4500.58,235459.84,400.00
23.848,65771.19,8668.78,2200.14,93716.33,1602161.07,6551.24,212998.54,150.00
24.084,118140.42,9369.13,700.01,95827.69,1579397.79,5550.89,220662.44,433.34
24.320,76212.67,10202.92,1400.06,99682.42,1471934.60,5800.97,213943.67,350.00
24.556,74756.51,7835.06,1000.03,97302.45,1456081.28,5850.99,284233.37,383.34
24.792,65821.37,8401.98,1300.05,88288.28,1643178.55,4300.53,228160.89,366.67
25.028,65721.00,9269.08,1500.06,99079.01,1452112.24,7151.47,227417.65,333.34
25.264,70238.19,9068.98,700.01,100285.86,1462480.11,5550.89,227856.82,416.67
25.501,67176.41,8668.78,1800.09,93749.85,1515680.40,5150.76,213032.30,333.34
25.737,70388.77,8001.80,2400.16,98408.60,1527093.59,6401.18,224580.13,400.00
25.973,72396.81,9602.59,1400.06,95794.18,1429061.85,5500.87,220662.44,550.01
26.209,71593.56,9068.98,1200.04,96531.55,1535278.65,7201.49,230323.21,450.01
26.445,64566.79,7401.54,1100.03,93716.33,1916308.25,6651.27,222249.71,266.67
26.681,66323.23,8401.98,1100.03,91035.61,1591506.09,6751.31,201256.12,200.00
26.917,62057.89,7901.75,2400.16,96766.16,1573636.66,6801.33,224141.04,416.67
27.153,56389.09,7935.10,1100.03,88221.28,1457075.03,7151.47,208712.31,200.00
27.389,98521.66,7101.42,1400.06,91035.61,1515783.73,6301.14,214517.55,450.01
27.625,49919.84,6968.03,2000.11,90767.56,1432921.81,7901.80,198389.26,500.01
27.861,59198.18,6601.22,1600.07,84402.57,1575807.85,6751.31,198591.62,233.33
28.097,52928.51,6567.88,3300.31,83565.24,1389015.17,6151.09,228498.74,416.67
28.333,50371.11,12704.53,1800.09,85005.46,1416115.07,5800.97,198153.21,300.00
28.569,51825.26,6167.73,1700.08,87651.77,1397918.29,4450.57,218433.83,716.68
28.805,48515.96,5900.98,2200.14,82660.97,1427924.54,5800.97,207699.94,416.67
29.041,56840.53,6401.15,3200.29,90130.96,1511929.62,7201.49,205877.90,416.67
29.277,44806.27,6134.39,3000.25,86211.33,1306762.04,5700.94,188476.96,350.00
29.513,53028.81,6634.57,1200.04,90432.51,1473272.88,5700.94,202166.92,433.34
29.749,48716.51,6101.05,1400.06,85306.92,1441078.16,5800.97,188847.71,450.01
29.985,54633.65,6834.65,2700.21,81589.30,1387975.52,6051.05,199940.69,200.00
30.221,48566.11,6667.92,3500.34,83900.17,1381749.05,5951.02,200918.85,400.00
30.457,48967.19,7234.80,1900.10,88958.33,1443938.61,4200.51,204224.73,233.33
30.693,48866.93,6867.99,2600.19,81488.84,1362937.73,4300.53,186623.25,133.33
30.929,54733.95,7134.76,3900.43,80283.30,1418200.13,6101.07,203212.67,400.00
31.165,52828.21,6267.77,1800.09,92644.00,1387194.37,4250.52,195286.85,466.67
31.401,60552.74,6567.88,1600.07,81388.38,1753823.87,3800.42,202774.09,283.34
