C:\ICPMH\1\DATA\12G13l01.B\424_3.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  04:46:04 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,0.00,0.00,700.01,266.67,17158.40,2750.22,0.00,0.00
0.482,0.00,0.00,200.00,333.34,18059.30,2750.22,0.00,0.00
0.718,50.00,0.00,600.01,300.00,19110.41,2050.12,0.00,0.00
0.954,150.00,0.00,500.01,433.34,17608.84,2550.19,0.00,0.00
1.190,300.00,66.67,100.00,266.67,19560.91,1550.07,0.00,0.00
1.426,0.00,33.33,500.01,466.67,16057.35,2500.18,0.00,0.00
1.662,150.00,0.00,500.01,200.00,18059.30,2850.23,0.00,16.67
1.898,100.00,66.67,200.00,233.33,19410.75,2350.16,0.00,0.00
2.134,200.00,66.67,400.00,333.34,17608.84,2250.15,0.00,0.00
2.371,150.00,100.00,100.00,333.34,16908.15,3000.26,0.00,0.00
2.607,200.00,0.00,400.00,566.68,15757.08,3100.28,1100.04,83.33
2.843,11653.81,3033.59,90429.48,4433.89,225035.33,110399.67,33332.79,3250.32
3.079,101136.24,18509.62,330239.92,27187.72,446567.15,342390.97,62615.61,4934.08
3.315,236002.86,26686.66,261306.99,56022.65,682587.17,515279.70,136817.43,4700.68
3.551,190968.00,31327.54,153863.15,75127.20,905605.68,537436.10,173956.03,3500.38
3.787,168341.57,30993.63,120607.86,77001.98,1373902.86,528673.25,190398.28,3700.42
4.023,237320.20,27020.49,392179.92,81823.72,1495019.47,390540.78,222925.15,2550.20
4.259,158754.18,22747.86,27821.76,94922.80,1514698.18,348255.84,222384.75,1700.09
4.495,160368.52,36437.25,16507.66,102900.92,1622356.68,274146.08,215732.83,2116.80
4.731,172026.53,19043.51,36637.73,96095.82,1573573.47,225453.42,232958.91,5034.11
4.967,131735.24,18409.52,5700.91,108467.65,1665235.19,166948.32,216779.42,1816.77
5.203,123325.37,16274.10,9502.54,96632.10,1477092.61,153474.92,226167.75,1033.37
5.439,109435.07,15940.47,3800.41,93783.36,1638772.89,107582.07,248308.16,1033.37
5.674,103198.02,12737.89,3400.33,102129.79,1742697.89,95461.56,234614.90,883.36
5.911,101840.25,15540.11,4800.65,105348.72,1741709.80,79481.39,243674.88,900.03
6.147,97214.50,13538.48,2800.22,105281.66,1700951.01,70191.50,244959.90,883.36
6.383,99225.54,13571.84,3100.27,105717.60,1768643.20,55287.84,236811.82,833.35
6.619,83043.09,10036.16,2900.24,102498.58,1635717.13,48367.23,232654.79,683.35
6.855,70740.16,10336.33,1900.10,99984.13,1602723.96,38693.04,235561.24,600.01
7.091,78874.21,10036.16,3600.37,111452.95,1676780.51,38191.93,242964.82,1266.72
7.327,87313.44,10536.45,3200.29,109574.50,1832245.74,32981.28,235527.45,900.03
7.563,88217.87,11236.88,3800.41,101962.14,1702806.29,29575.15,244824.63,750.02
7.799,67929.26,9235.73,2900.24,106824.28,1657848.47,28873.98,248274.34,816.69
8.035,68581.75,8168.54,1800.09,108937.21,1876973.87,25268.36,238941.48,800.02
8.271,66473.78,8668.78,4200.50,116586.14,1685178.16,21012.70,241612.28,783.35
8.507,62710.18,7634.97,4900.68,108836.59,1821269.18,20512.10,230120.48,666.68
8.743,54382.87,7368.19,4700.62,108601.81,1594734.12,54435.15,250777.51,766.68
8.979,55536.42,8101.84,5000.70,108735.96,1706597.30,14556.09,245974.47,1016.70
9.215,50020.12,7168.11,3500.34,113230.94,1730578.16,14756.27,265025.48,533.34
9.450,54533.34,6734.61,4700.62,106388.30,1735156.09,15757.14,233702.40,783.35
9.687,50521.54,6001.01,8301.94,98274.51,1697349.45,14005.64,247158.22,800.02
9.923,44655.90,6968.03,4100.47,107092.57,1719739.30,13955.60,224411.25,433.34
10.159,43352.68,6667.92,4600.60,103504.46,1642087.15,9902.82,228802.82,450.01
10.395,49619.00,6401.15,3500.34,101425.70,1606802.18,13205.02,230424.60,616.68
10.631,44355.14,6167.73,5400.82,94654.69,1674890.66,13805.48,228971.77,466.67
10.867,39543.84,4333.86,7501.58,105818.20,1606342.61,11703.94,237623.08,483.34
11.103,42500.64,6401.15,7701.67,103940.37,1721226.99,11904.08,206012.86,3133.64
11.340,43553.17,5700.91,6201.08,96699.13,1622431.38,11954.11,225188.14,433.34
11.576,40345.63,5934.32,10603.16,94487.13,1507225.33,26169.69,222992.68,766.68
11.812,35585.51,5267.45,22414.13,96967.27,1569610.19,12604.57,215226.45,800.02
12.048,33230.96,5234.10,4400.55,101056.91,1507351.69,10753.33,227248.74,300.00
12.284,35034.42,5200.76,6701.26,97872.28,1677716.64,9902.82,212053.41,750.02
12.520,36487.33,4200.50,8001.80,92074.34,1529017.81,14155.77,228059.53,866.69
12.756,38541.65,4500.57,7301.50,97436.53,1527443.98,12404.43,228059.53,1100.04
12.992,33731.90,4667.28,7701.67,91169.63,1554652.96,9652.68,236947.04,883.36
13.228,34834.02,3933.77,9002.28,93783.36,1501469.86,10152.97,218940.30,400.00
13.464,36687.73,4067.13,9302.43,89695.40,1449004.82,9302.49,206147.82,533.34
