C:\ICPMH\1\DATA\12G13l01.B\424_19.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  06:02:34 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,200.00,0.00,700.01,466.67,15256.64,1650.08,0.00,0.00
0.482,100.00,0.00,1100.03,466.67,18559.82,2500.18,0.00,0.00
0.718,300.00,0.00,600.01,400.00,16657.91,2600.19,0.00,0.00
0.954,250.00,0.00,300.00,366.67,16257.54,2300.15,0.00,0.00
1.190,150.00,33.33,400.00,600.01,16007.30,2300.15,0.00,16.67
1.426,100.00,0.00,800.02,333.34,17859.09,2200.14,0.00,0.00
1.662,0.00,0.00,200.00,300.00,15707.04,2500.18,0.00,0.00
1.898,50.00,0.00,500.01,533.34,15206.60,3150.29,0.00,0.00
2.134,200.00,0.00,500.01,233.33,17408.64,2900.24,0.00,0.00
2.370,150.00,0.00,400.00,333.34,16357.63,2500.18,0.00,0.00
2.606,200.00,0.00,600.01,133.33,16307.58,2400.17,0.00,0.00
2.842,200.00,0.00,200.00,200.00,15857.17,3200.29,0.00,0.00
3.078,200.00,33.33,200.00,433.34,15857.17,2450.17,0.00,0.00
3.314,100.00,0.00,600.01,300.00,14405.92,2150.13,0.00,0.00
3.550,200.00,33.33,600.01,400.00,16507.77,2100.13,0.00,0.00
3.786,150.00,0.00,400.00,233.33,15056.47,2450.17,0.00,0.00
4.022,300.00,133.33,500.01,433.34,17608.84,2700.21,0.00,0.00
4.258,100.00,33.33,600.01,300.00,19360.69,2300.15,0.00,0.00
4.494,100.00,66.67,1000.03,466.67,14355.88,2450.17,0.00,0.00
4.730,200.00,0.00,400.00,633.34,17408.64,3300.31,0.00,0.00
4.966,200.00,100.00,900.02,600.01,16908.15,2100.13,0.00,0.00
5.202,150.00,0.00,700.01,466.67,17308.54,1950.11,0.00,0.00
5.438,200.00,0.00,700.01,400.00,15306.68,3250.30,0.00,0.00
5.674,150.00,0.00,200.00,300.00,18960.25,2500.18,0.00,100.00
5.910,5450.83,600.01,64817.99,1566.74,50572.85,106827.43,9936.25,3667.08
6.146,76162.45,12571.10,214486.55,16874.78,263414.58,263432.18,49973.67,6534.64
6.382,175005.33,27220.80,145291.47,39778.38,600565.44,241212.99,97010.55,4717.35
6.618,195870.82,28322.51,219649.03,46227.50,975722.39,230671.25,144379.87,2883.59
6.854,234330.96,36270.24,99779.32,64819.54,1231459.11,125300.22,196298.43,2333.50
7.090,273838.46,37572.95,170413.11,83900.17,1403650.71,76015.93,200885.10,1366.72
7.326,263890.02,38808.93,21913.50,84134.62,1464346.81,59401.37,214315.00,48070.83
7.562,276072.52,34967.64,14405.84,94855.77,1608881.48,41750.11,222823.82,850.02
7.798,214331.52,35669.04,18209.32,96565.04,1539977.18,38091.72,242051.83,600.01
8.034,227037.46,27654.80,11703.85,94822.26,1426655.11,31678.86,216340.53,500.01
8.271,205832.21,25050.95,13705.28,93314.19,1585905.70,22013.94,261030.77,483.34
8.507,169502.51,20244.84,5700.91,94084.96,1643126.79,20912.58,243438.17,766.68
8.743,139292.41,19844.39,3600.37,93046.12,1865951.21,18059.38,244215.96,566.68
8.979,144332.28,18776.57,5600.88,104711.60,1696080.12,11603.87,236102.01,416.67
9.215,159208.19,17608.70,5100.73,96833.20,1701054.33,11553.84,257037.05,666.68
9.450,149726.53,18643.09,2600.19,103403.88,1641030.31,11954.11,264923.93,266.67
9.687,141408.98,18509.62,4700.62,100855.76,1584004.43,12004.15,271324.13,500.01
9.923,136218.78,19911.13,8802.18,110580.78,1866031.68,11153.58,276032.69,416.67
10.159,134505.83,15206.49,3700.39,99782.99,1752583.24,10603.23,273119.31,633.35
10.395,129116.16,16040.56,4500.57,107763.32,1559822.50,9502.60,244892.29,616.68
10.631,129166.53,17608.70,4300.52,100788.72,1633810.10,10052.91,275355.12,550.01
10.867,96762.06,16741.20,3600.37,100688.15,1705637.93,8902.28,249018.51,600.01
11.103,96762.06,12637.82,3100.27,85139.44,1463674.84,8201.94,229039.31,516.67
11.339,96611.24,13038.11,2300.15,92979.09,1757505.70,6251.12,212796.02,666.68
11.575,113762.06,13538.48,4300.52,106790.74,1609863.61,6251.12,274203.33,516.67
11.811,127001.04,14706.07,6501.19,108199.33,1658049.45,6851.35,262350.98,683.35
12.047,123123.99,17775.54,3600.37,83096.36,1514686.65,6351.16,259744.54,400.00
12.283,135412.67,14806.16,3200.29,109574.50,1884326.02,5400.84,290708.70,650.01
12.519,121815.04,17341.78,3400.33,119774.17,1884940.67,6801.33,259338.38,733.35
12.755,128108.95,15606.84,5300.79,113130.29,1694322.50,5750.95,258086.14,366.67
12.991,118039.75,14639.35,4800.65,116149.92,1817501.02,7401.58,270341.92,450.01
13.226,101136.24,15807.01,4800.65,115311.09,1874021.33,4650.62,289793.17,683.35
13.463,92841.27,14038.87,4300.52,105449.33,1963029.34,6301.14,261030.77,816.69
13.699,87966.63,11403.65,4000.45,102666.23,1878920.94,7001.41,265330.20,583.34
13.935,85203.26,11537.07,7601.63,120244.03,1828184.81,7151.47,240902.28,766.68
14.171,72195.99,10369.69,4600.60,104979.85,1648663.90,5700.94,252638.22,566.68
14.407,71995.17,10936.69,4400.55,99246.63,1684741.64,7551.64,267835.86,566.68
14.643,66473.78,8935.58,5200.76,96967.27,1915343.21,5100.75,266989.31,650.01
14.879,62660.00,6801.30,5200.76,100487.00,1662409.22,7551.64,275964.92,800.02
