C:\ICPMH\1\DATA\12G13l01.B\424_18.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  05:58:21 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,450.01,0.00,200.00,333.34,17408.64,2050.12,0.00,0.00
0.482,200.00,0.00,500.01,500.01,18109.35,2200.14,0.00,0.00
0.718,150.00,33.33,100.00,366.67,17708.94,2650.20,0.00,0.00
0.954,450.01,33.33,0.00,300.00,16858.10,1950.11,0.00,0.00
1.190,400.00,33.33,700.01,466.67,16457.72,2200.14,0.00,0.00
1.426,100.00,0.00,1100.03,233.33,17258.49,2150.13,0.00,0.00
1.662,100.00,0.00,600.01,300.00,16507.77,2550.19,0.00,33.33
1.898,150.00,0.00,300.00,166.67,16257.54,2850.23,66.67,0.00
2.134,450.01,0.00,400.00,366.67,15156.55,2600.19,0.00,0.00
2.370,150.00,0.00,0.00,233.33,14656.13,3800.42,0.00,0.00
2.607,250.00,0.00,500.01,200.00,14956.38,1950.11,0.00,0.00
2.843,300.00,66.67,200.00,166.67,17008.25,2300.15,0.00,0.00
3.079,300.00,0.00,300.00,266.67,17909.14,2700.21,0.00,0.00
3.315,200.00,0.00,200.00,533.34,16607.86,2000.11,0.00,0.00
3.551,100.00,0.00,600.01,300.00,15106.51,2500.18,0.00,0.00
3.787,0.00,0.00,0.00,1033.36,16958.20,2450.17,0.00,0.00
4.023,350.00,33.33,100.00,366.67,20061.48,2050.12,0.00,0.00
4.259,100.00,0.00,200.00,433.34,15807.13,2250.15,0.00,16.67
4.495,0.00,0.00,500.01,266.67,16407.67,2700.21,0.00,0.00
4.731,550.01,33.33,400.00,166.67,17508.74,2100.13,0.00,0.00
4.967,100.00,0.00,100.00,200.00,18810.09,2800.23,0.00,0.00
5.203,50.00,0.00,200.00,400.00,17458.69,2000.11,0.00,0.00
5.439,100.00,0.00,400.00,266.67,17558.79,1400.06,0.00,0.00
5.674,200.00,33.33,400.00,666.68,16607.86,1800.09,0.00,0.00
5.911,100.00,0.00,600.01,233.33,16707.96,2900.24,0.00,0.00
