C:\ICPMH\1\DATA\12G13l01.B\424_15.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  05:45:32 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,100.00,66.67,500.01,700.01,15857.17,2650.20,0.00,0.00
0.482,200.00,33.33,100.00,200.00,18559.82,3050.27,0.00,0.00
0.718,250.00,0.00,200.00,166.67,16257.54,2500.18,0.00,0.00
0.954,150.00,0.00,0.00,300.00,15506.86,1850.10,0.00,0.00
1.190,300.00,66.67,600.01,366.67,14205.75,1650.08,0.00,0.00
1.426,150.00,0.00,500.01,833.35,17058.30,2600.19,0.00,0.00
1.662,200.00,66.67,700.01,433.34,18509.77,2950.25,0.00,0.00
1.898,150.00,66.67,100.00,333.34,18359.61,3500.35,0.00,0.00
2.134,100.00,66.67,600.01,366.67,17458.69,2300.15,0.00,0.00
2.370,0.00,0.00,300.00,333.34,17458.69,3100.28,0.00,0.00
2.606,400.00,66.67,0.00,500.01,17408.64,2200.14,0.00,0.00
2.842,250.00,33.33,700.01,333.34,17208.44,3250.30,0.00,33.33
3.078,400.00,0.00,1200.04,333.34,18209.45,2450.17,0.00,0.00
3.314,0.00,33.33,700.01,300.00,16307.58,2250.15,0.00,0.00
3.550,450.01,0.00,900.02,500.01,16107.40,2300.15,0.00,0.00
3.786,600.01,0.00,200.00,600.01,15807.13,2500.18,0.00,0.00
4.022,50.00,0.00,0.00,533.34,16157.44,2950.25,0.00,0.00
4.258,50.00,66.67,100.00,633.34,17758.99,2350.16,0.00,0.00
4.494,250.00,0.00,400.00,600.01,15406.77,2450.17,0.00,0.00
4.730,100.00,0.00,600.01,566.68,18409.66,2350.16,0.00,0.00
4.966,200.00,133.33,500.01,133.33,16207.49,2850.23,0.00,0.00
5.202,250.00,0.00,600.01,600.01,17058.30,2550.19,0.00,0.00
5.438,150.00,0.00,300.00,266.67,17008.25,2550.19,0.00,0.00
5.674,50.00,0.00,600.01,466.67,16157.44,1650.08,0.00,0.00
5.910,2400.16,633.34,42450.63,700.01,38091.35,39043.82,8135.29,1466.73
6.146,70187.98,12671.17,274706.82,8001.83,182192.02,137743.90,50809.48,2883.59
6.382,266630.35,41849.13,208212.58,30292.80,581953.09,198629.02,124825.29,4167.20
6.618,244263.09,38508.28,250249.57,51910.03,861619.45,187809.70,155780.28,6234.53
6.855,290753.30,42283.49,137026.21,67864.35,1027032.64,168412.35,202740.35,2316.83
7.091,280643.15,40679.76,73652.31,76164.99,1302833.23,153374.03,229782.61,2016.79
7.327,286789.85,37506.13,50070.43,76265.42,1421175.42,119459.30,231167.96,1316.72
7.563,272416.90,36838.08,38842.40,84570.04,1452870.44,104966.15,243843.95,1283.38
7.799,250752.25,36938.29,238894.88,92644.00,1545801.60,93802.55,225728.59,1200.04
8.035,235445.54,31728.25,16107.30,95827.69,1537289.10,81440.44,219413.03,716.68
8.271,217823.49,30092.08,5700.91,94017.94,1662179.33,71998.88,230323.21,1050.03
8.507,197235.78,24450.11,9002.28,95190.91,1505283.82,56541.86,257341.61,883.36
8.743,196730.20,22247.23,6401.15,99682.42,1560546.23,45509.53,254093.10,616.68
8.979,160318.07,22147.11,10503.10,93783.36,1599168.49,41950.59,218872.78,633.35
9.215,146600.67,19443.95,4400.55,95526.06,1495559.41,34884.99,209555.96,683.35
9.450,142215.37,19043.51,5200.76,89092.34,1435265.27,27021.00,209555.96,483.34
9.687,141408.98,20945.65,1800.09,89192.85,1470601.99,26069.55,209927.15,400.00
9.923,149474.43,18576.36,2100.12,98978.45,1534957.07,26670.45,209690.94,683.35
10.159,132289.31,17375.14,3500.34,89996.93,1320616.44,22364.39,221911.95,350.00
10.395,146852.76,16507.65,2100.12,95257.94,1717079.92,18960.34,238265.35,383.34
10.631,137528.78,19010.15,2800.22,85273.43,1467551.99,15206.65,210703.41,500.01
10.867,139191.63,18843.30,1900.10,87651.77,1626544.08,15907.28,220358.53,783.35
11.103,142668.97,16340.83,1700.08,86847.79,1482721.71,15907.28,206890.13,316.67
11.339,133548.66,18175.94,2000.11,85641.89,1525772.50,13405.17,205810.42,416.67
11.575,120707.53,17208.31,2000.11,88321.80,1495961.46,12754.68,195455.42,683.35
11.811,131584.13,18609.72,2200.14,93046.12,1448746.32,10403.11,196028.67,466.67
12.047,139745.93,17842.27,1400.06,93314.19,1484054.33,8852.26,184163.17,533.34
12.283,125238.66,15873.74,2400.16,88690.29,1504542.90,8602.13,210062.16,233.33
12.519,125137.94,18209.31,2700.21,85340.41,1574900.33,10253.03,194140.42,250.00
12.755,132591.57,17508.61,1400.06,90097.45,1496340.56,9552.63,211344.67,500.01
12.991,130324.93,16474.29,1500.06,97503.55,1470538.80,8802.23,210264.65,366.67
13.226,134354.69,20878.90,900.02,88589.81,1367877.47,8251.96,209792.19,583.34
13.463,155475.44,21846.73,1800.09,88087.29,1375172.30,8402.03,188443.25,450.01
13.699,142719.35,20278.21,1600.07,87651.77,1391117.41,7601.66,188342.11,350.00
13.935,151188.79,20745.41,1200.04,78943.90,1289846.12,6251.12,191038.77,283.34
14.171,150734.96,20545.18,1600.07,79580.10,1260081.08,6151.09,193567.27,800.02
14.407,148667.70,21679.86,1200.04,96062.31,1545548.86,7201.49,206282.78,450.01
14.643,141862.56,20611.93,1100.03,72750.55,1298243.78,5800.97,188510.65,316.67
14.879,149424.01,17842.27,1600.07,80350.27,1479263.80,5100.75,197478.72,366.67
15.115,129720.54,18009.10,1100.03,79914.95,1312281.96,4600.61,179749.43,400.00
15.351,139846.73,18943.41,700.01,86512.81,1442496.91,5600.90,194882.23,350.00
15.587,144584.30,17108.22,1500.06,74959.82,1445495.25,5300.81,200176.78,400.00
15.824,137931.88,19677.54,1200.04,88020.28,1367119.27,5901.00,201053.76,433.34
16.060,137679.95,19010.15,1000.03,86445.81,1281235.97,5200.78,215901.63,266.67
16.296,156988.64,17275.05,900.02,86043.85,1250339.38,5250.79,194578.75,250.00
16.532,139242.02,20478.44,1100.03,75127.20,1401106.18,5350.82,180962.26,450.01
16.768,146096.56,21512.99,2000.11,82460.03,1350122.98,5250.79,200952.59,600.01
17.004,133649.42,16541.02,900.02,92208.38,1296738.90,5750.95,195691.46,650.01
17.240,296649.30,20044.61,800.02,72750.55,1373874.15,5300.81,177862.99,466.67
17.476,147558.54,21312.75,300.00,76164.99,1227731.28,4700.64,169948.99,683.35
17.712,154315.45,20645.30,1300.05,76198.48,1227984.01,6551.24,201458.52,666.68
17.948,146096.56,21212.63,600.01,81656.28,1290874.35,6001.04,195994.94,750.02
18.184,158300.15,20511.81,1100.03,89058.84,1259058.72,6851.35,175168.44,550.01
18.420,155677.21,22380.73,1500.06,73620.83,1224480.20,6051.05,171800.85,433.34
