C:\ICPMH\1\DATA\12G13l01.B\412_6.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  02:11:50 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
0.246,300.00,0.00,500.01,233.33,18009.25,2650.20,0.00,0.00
0.482,0.00,0.00,400.00,400.00,20562.05,2250.15,0.00,0.00
0.718,0.00,0.00,100.00,366.67,16107.40,3750.40,0.00,0.00
0.954,100.00,66.67,600.01,400.00,18309.56,2000.11,0.00,0.00
1.190,500.01,0.00,400.00,266.67,19160.47,2000.11,0.00,0.00
1.426,150.00,0.00,200.00,200.00,18960.25,1400.06,0.00,0.00
1.662,100.00,0.00,200.00,366.67,14856.29,2550.19,0.00,0.00
1.898,100.00,0.00,600.01,566.68,19110.41,2150.13,0.00,0.00
2.134,300.00,33.33,200.00,366.67,17658.89,2400.17,0.00,0.00
2.370,100.00,66.67,300.00,266.67,18209.45,2000.11,0.00,0.00
2.606,300.00,0.00,400.00,366.67,17458.69,2650.20,0.00,0.00
2.842,100.00,66.67,500.01,333.34,18960.25,2250.15,0.00,0.00
3.078,150.00,0.00,400.00,400.00,19060.36,2700.21,0.00,0.00
3.314,150.00,0.00,500.01,200.00,16357.63,3400.33,0.00,0.00
3.550,200.00,0.00,500.01,266.67,16157.44,2450.17,0.00,0.00
3.786,400.00,0.00,0.00,466.67,18359.61,3400.33,0.00,0.00
4.022,150.00,0.00,700.01,766.68,16457.72,2800.23,0.00,0.00
4.258,150.00,33.33,400.00,500.01,19661.02,2600.19,0.00,0.00
4.494,50.00,33.33,1600.07,366.67,17809.04,2700.21,0.00,0.00
4.730,300.00,33.33,1000.03,500.01,20061.48,13305.09,1200.04,166.67
4.967,39644.06,3900.43,36236.91,7868.43,136781.63,149288.68,33332.79,1266.72
5.203,77668.94,12837.96,53480.35,18676.60,463241.61,204243.55,76639.80,1500.07
5.439,128612.56,14205.67,43854.04,47363.86,735827.70,215680.55,115425.58,700.02
5.674,148314.80,17642.07,54282.78,64351.15,1380008.72,172956.63,164394.50,566.68
5.911,187784.45,26586.51,52978.85,76064.56,1473473.96,133561.43,211783.42,666.68
6.147,230886.46,29223.97,12104.12,86512.81,1464949.94,115633.55,226877.15,516.67
6.383,260338.29,29557.85,10903.34,84971.97,1422950.32,47163.93,217218.33,400.00
6.619,332320.71,35435.23,6901.34,88891.31,1466523.76,41800.22,255175.85,350.00
6.855,254809.19,38708.70,5200.76,99850.04,1774398.67,19260.67,234750.07,250.00
7.091,364541.73,44021.03,3800.41,106254.16,1889047.50,30376.53,290335.68,350.00
7.327,301581.04,43152.24,2900.24,91370.67,1657963.32,14956.44,241916.59,233.33
7.563,355613.97,41915.96,800.02,103537.99,1717200.62,17408.72,252469.03,200.00
7.799,344651.69,40445.90,2100.12,92174.87,1730922.69,13455.21,277150.72,133.33
8.035,290448.40,42316.91,1200.04,106924.88,1777437.15,18009.33,270037.10,300.00
8.271,338994.69,38374.65,900.02,104141.55,1547030.80,12554.54,250946.69,233.33
8.507,284910.02,49903.19,1400.06,100419.94,1556111.95,8352.01,245433.36,350.00
8.743,339606.16,45992.68,700.01,92744.53,1431974.06,5800.97,242863.32,133.33
8.979,295886.80,44188.10,1200.04,100252.33,1494956.28,6451.20,261030.77,233.33
9.215,270589.36,39811.14,200.00,89393.87,1670157.65,6701.29,286945.25,166.67
9.450,301275.96,38307.85,1000.03,102833.87,1672914.88,7051.43,263603.52,316.67
9.687,239499.00,37071.90,700.01,110949.77,1597255.70,6151.09,267260.23,116.67
9.923,282674.91,34867.45,1300.05,95760.66,1558771.32,4750.65,244520.27,266.67
10.159,274803.08,31227.37,500.01,97972.84,1713392.23,5450.85,296677.61,233.33
10.395,300462.41,36804.68,1200.04,110849.12,1457729.82,4700.64,260760.02,400.00
10.631,241982.23,40579.53,1600.07,99112.54,1683397.50,4700.64,243336.76,133.33
10.867,243452.06,32062.18,900.02,97101.34,1709411.76,5300.81,261403.15,283.34
11.103,208715.48,29824.97,1200.04,97134.86,1553515.66,5400.84,224749.04,33.33
11.339,186723.38,20611.93,600.01,100319.37,1609272.01,6451.20,233026.50,250.00
11.575,171622.67,20778.79,900.02,99581.85,1603872.69,5450.85,230863.84,233.33
11.811,137428.01,19210.36,500.01,102465.06,1621408.92,3850.43,262283.26,216.67
12.047,144483.50,16507.65,1600.07,96866.72,1933166.64,3100.28,240902.28,150.00
12.283,131735.24,17742.17,700.01,104879.27,1673236.56,4550.60,235933.03,350.00
12.519,162992.19,23682.41,1300.05,101626.87,1503193.10,5300.81,239279.51,283.34
12.755,139443.58,19777.65,1200.04,99514.81,1666941.05,4500.58,241646.12,150.00
12.991,133044.94,18009.10,1000.03,105248.12,1707033.83,4700.64,269901.62,183.33
13.226,140804.20,17408.51,1400.06,94420.10,1700479.92,4450.57,253957.75,350.00
13.463,108227.74,15473.39,1100.03,94721.71,1827357.66,5100.75,222857.61,216.67
13.699,107976.22,13438.40,1000.03,109339.70,1622477.28,4750.65,213336.11,166.67
13.935,102695.13,14772.79,900.02,90968.59,1549201.99,4800.66,213471.08,283.34
14.172,112806.01,14372.47,1100.03,96531.55,1557323.86,4500.58,239583.78,233.33
14.408,105964.17,13338.33,1300.05,110513.69,1616015.37,5650.92,234817.66,200.00
14.644,110491.56,14239.03,300.00,102599.17,1809178.17,5050.73,252333.73,316.67
14.880,110592.18,15706.93,1900.10,106656.59,1833601.41,5600.90,230289.44,233.33
15.116,110743.13,12004.05,900.02,102163.31,1573906.68,5500.87,252638.22,200.00
