,50%,95%
Mg/Ca,0.2348632812499993,2.9842209365722714
Sr/Ca,0.016845703124999126,0.21404495283105682
Ba/Ca,0.0001018524169912994,0.0012941576631656886
Al/Ca,0.047656249999999144,0.6055300694583146
Mn/Ca,0.02524414062499913,0.32075721917002403
