Item,Value,Uncertainty,Uncertainty Type,Unit,Source,SRM
Zr,0.0024157496257525336,3.287324128035194e-05,SE,mol/molCa,GeoReM,NIST610
Ag,9.611034966902263e-05,7.85442496620917e-07,SE,mol/molCa,GeoReM,NIST612
Al2O3,0.09382135141072923,0.0010254057224519783,SE,mol/molCa,GeoReM,NIST612
As,0.0002245443236663392,1.767606466194706e-05,SE,mol/molCa,GeoReM,NIST612
Au,1.1412132600965093e-05,3.8155275844918265e-07,SE,mol/molCa,GeoReM,NIST612
B,0.001495096279932748,3.834619150625889e-05,SE,mol/molCa,GeoReM,NIST612
Ba,0.00013485825190722773,1.678426626406083e-06,SE,mol/molCa,GeoReM,NIST612
Be,0.0019608402914890015,4.089069873255636e-05,SE,mol/molCa,GeoReM,NIST612
Bi,6.809925120701752e-05,2.6621647790591508e-06,SE,mol/molCa,GeoReM,NIST612
CaO,1.0,7.080503983578805e-19,SE,mol/molCa,GeoReM,NIST612
Cd,0.00011779813557825653,2.406310244316034e-06,SE,mol/molCa,GeoReM,NIST612
Ce,0.00012914702367857985,1.3226264509321725e-06,SE,mol/molCa,GeoReM,NIST612
Cl,0.0018874535039525638,0.0003934157424712212,SE,mol/molCa,GeoReM,NIST612
Co,0.00028386329384638134,4.2573331938957995e-06,SE,mol/molCa,GeoReM,NIST612
Cr,0.0003298918007085825,7.078683208572845e-06,SE,mol/molCa,GeoReM,NIST612
Cs,0.00015140004106855884,3.3202953459331446e-06,SE,mol/molCa,GeoReM,NIST612
Cu,0.00028031380695040734,5.801144246874344e-06,SE,mol/molCa,GeoReM,NIST612
Dy,0.00010294752165481575,1.1258192264221834e-06,SE,mol/molCa,GeoReM,NIST612
Er,0.00010706191539805346,1.3727317055078464e-06,SE,mol/molCa,GeoReM,NIST612
Eu,0.00011039519974766246,1.3513122939718872e-06,SE,mol/molCa,GeoReM,NIST612
F,0.0019843295270717694,0.0011263416204657687,SE,mol/molCa,GeoReM,NIST612
Fe,0.00043035493649514595,8.806015226712339e-06,SE,mol/molCa,GeoReM,NIST612
Ga,0.0002493969907570618,5.281859615327093e-06,SE,mol/molCa,GeoReM,NIST612
Gd,0.00011177870810009218,1.4571236564450587e-06,SE,mol/molCa,GeoReM,NIST612
Ge,0.00023419211814681816,1.2617465208675757e-05,SE,mol/molCa,GeoReM,NIST612
H2O,0.00549312126411906,,SE,mol/molCa,GeoReM,NIST612
Hf,9.689315174778523e-05,1.668941331609408e-06,SE,mol/molCa,GeoReM,NIST612
Ho,0.00010943070082081742,1.2570429477245846e-06,SE,mol/molCa,GeoReM,NIST612
In,0.0001596542676015868,4.450338619852248e-06,SE,mol/molCa,GeoReM,NIST612
Ir,1.1032187317353989e-08,,SE,mol/molCa,GeoReM,NIST612
K,0.0007508809394601328,1.5105412992326068e-05,SE,mol/molCa,GeoReM,NIST612
La,0.00012213045269365616,1.3199191641877742e-06,SE,mol/molCa,GeoReM,NIST612
Li,0.002729260041720189,4.652596500865262e-05,SE,mol/molCa,GeoReM,NIST612
Lu,9.96521072665179e-05,1.3084413597661138e-06,SE,mol/molCa,GeoReM,NIST612
Mg,0.0013184212537102888,5.076547956558361e-05,SE,mol/molCa,GeoReM,NIST612
Mn,0.0003319545615168561,4.187962829941351e-06,SE,mol/molCa,GeoReM,NIST612
Mo,0.00018370153965275915,3.840660136229686e-06,SE,mol/molCa,GeoReM,NIST612
Na2O,1.0416392374299934,0.012465053609563093,SE,mol/molCa,GeoReM,NIST612
Nb,0.0001973081256365708,5.49993423114963e-06,SE,mol/molCa,GeoReM,NIST612
Nd,0.0001159801183368522,1.268341821225768e-06,SE,mol/molCa,GeoReM,NIST612
Ni,0.00031151815761112445,1.5668625713204743e-06,SE,mol/molCa,GeoReM,NIST612
P,0.0007089782007595983,5.364611475153732e-05,SE,mol/molCa,GeoReM,NIST612
Pb,8.772043890529184e-05,4.419339025856883e-07,SE,mol/molCa,GeoReM,NIST612
Pd,4.649507500801485e-06,2.268013461278224e-07,SE,mol/molCa,GeoReM,NIST612
Pr,0.00012674929318611734,1.7907276837525737e-06,SE,mol/molCa,GeoReM,NIST612
Pt,6.0632620039680735e-06,1.2595879474212346e-07,SE,mol/molCa,GeoReM,NIST612
Rb,0.00017312828669408366,1.348006298635819e-06,SE,mol/molCa,GeoReM,NIST612
Re,1.6778704805481455e-05,7.909018851891234e-07,SE,mol/molCa,GeoReM,NIST612
Rh,4.167193944644244e-06,5.002709300251053e-08,SE,mol/molCa,GeoReM,NIST612
S,0.005540526215788046,0.0005254071269117035,SE,mol/molCa,GeoReM,NIST612
Sb,0.00013429682444594132,3.6006249786151463e-06,SE,mol/molCa,GeoReM,NIST612
Sc,0.00041824139146424066,1.348991720780218e-05,SE,mol/molCa,GeoReM,NIST612
Se,9.72795096762109e-05,5.8003866624899566e-06,SE,mol/molCa,GeoReM,NIST612
SiO2,5.6547728872306955,0.03412077915698349,SE,mol/molCa,GeoReM,NIST612
Sm,0.00011815441148526449,1.3758652423471342e-06,SE,mol/molCa,GeoReM,NIST612
Sn,0.0001532289790315924,2.713662634611672e-06,SE,mol/molCa,GeoReM,NIST612
Sr,0.0004216515702834432,1.8892653095873836e-06,SE,mol/molCa,GeoReM,NIST612
Ta,9.792085702778617e-05,2.5592256066807578e-06,SE,mol/molCa,GeoReM,NIST612
Tb,0.00011148992001765199,1.7314100852486123e-06,SE,mol/molCa,GeoReM,NIST612
Th,7.674648598620642e-05,3.393256146779258e-07,SE,mol/molCa,GeoReM,NIST612
Ti,0.0004331690066295388,1.1700840912664786e-05,SE,mol/molCa,GeoReM,NIST612
Tl,3.435435266182e-05,6.063409097198532e-07,SE,mol/molCa,GeoReM,NIST612
Tm,0.00010265287605753979,9.606698937268656e-07,SE,mol/molCa,GeoReM,NIST612
U,7.400319961628387e-05,3.2741176466756756e-07,SE,mol/molCa,GeoReM,NIST612
V,0.00035892268252667804,5.868961119858887e-06,SE,mol/molCa,GeoReM,NIST612
W,9.740572730397641e-05,1.497982744802474e-06,SE,mol/molCa,GeoReM,NIST612
Y,0.00020300621954800138,3.884774811005267e-06,SE,mol/molCa,GeoReM,NIST612
Yb,0.00010675309347039788,1.3316214243317842e-06,SE,mol/molCa,GeoReM,NIST612
Zn,0.00028169566005551875,6.364439833308392e-06,SE,mol/molCa,GeoReM,NIST612
Zr,0.0001957812093529861,3.2721878196402914e-06,SE,mol/molCa,GeoReM,NIST612
Ag,1.8348339482267955e-06,9.05337703151303e-08,SE,mol/molCa,GeoReM,NIST614
Al2O3,0.09428352555560968,0.001429579761974417,SE,mol/molCa,GeoReM,NIST614
As,4.65442015442832e-06,7.391620075245083e-07,SE,mol/molCa,GeoReM,NIST614
Au,1.148390701983909e-06,8.601129580681535e-08,SE,mol/molCa,GeoReM,NIST614
B,6.494733111078118e-05,4.261988795332988e-06,SE,mol/molCa,GeoReM,NIST614
Ba,1.0980824582776813e-05,1.835592080306429e-07,SE,mol/molCa,GeoReM,NIST614
Be,3.9373673053099145e-05,1.4018473554136187e-06,SE,mol/molCa,GeoReM,NIST614
Bi,1.3101213560025558e-06,5.0730189726163684e-08,SE,mol/molCa,GeoReM,NIST614
CaO,1.0,1.416100796715761e-18,SE,mol/molCa,GeoReM,NIST614
Cd,2.3475785026271766e-06,1.0881955147934304e-07,SE,mol/molCa,GeoReM,NIST614
Ce,2.734284641944933e-06,4.888720473576303e-08,SE,mol/molCa,GeoReM,NIST614
Cl,0.0013557764605856444,0.0005697725911695009,SE,mol/molCa,GeoReM,NIST614
Co,6.316957806722289e-06,3.7114411985424235e-07,SE,mol/molCa,GeoReM,NIST614
CO2,4.2830630246849875e-05,,SE,mol/molCa,GeoReM,NIST614
Cr,1.0784924253934428e-05,5.625290099805935e-07,SE,mol/molCa,GeoReM,NIST614
Cs,2.354323823642226e-06,6.4734872726826e-08,SE,mol/molCa,GeoReM,NIST614
Cu,1.0159521574657622e-05,2.7880653145321976e-07,SE,mol/molCa,GeoReM,NIST614
Dy,2.1633479198448607e-06,3.746512167670136e-08,SE,mol/molCa,GeoReM,NIST614
Er,2.0848899314357783e-06,3.027815832143517e-08,SE,mol/molCa,GeoReM,NIST614
Eu,2.3877613428567446e-06,3.255798514668669e-08,SE,mol/molCa,GeoReM,NIST614
F,0.00015378553834806213,,SE,mol/molCa,GeoReM,NIST614
Fe,0.0001586406432570342,2.5867422020894496e-05,SE,mol/molCa,GeoReM,NIST614
Ga,8.853931108177532e-06,3.195010862915823e-07,SE,mol/molCa,GeoReM,NIST614
Gd,2.2865188815112685e-06,3.7621038554862904e-08,SE,mol/molCa,GeoReM,NIST614
Ge,6.111051947210602e-06,3.2203803192576635e-07,SE,mol/molCa,GeoReM,NIST614
H2O,0.004969966858012483,,SE,mol/molCa,GeoReM,NIST614
Hf,1.8771398063399257e-06,3.3723514502586326e-08,SE,mol/molCa,GeoReM,NIST614
Ho,2.140041642683871e-06,2.8546077873950666e-08,SE,mol/molCa,GeoReM,NIST614
In,3.2423360258419935e-06,1.0832811851858473e-07,SE,mol/molCa,GeoReM,NIST614
Ir,4.9031943632684395e-09,,SE,mol/molCa,GeoReM,NIST614
K,0.0003615799066421186,6.886740331349422e-06,SE,mol/molCa,GeoReM,NIST614
La,2.442609053873123e-06,3.074093867923265e-08,SE,mol/molCa,GeoReM,NIST614
Li,0.00011473754901759003,3.2690566489834692e-06,SE,mol/molCa,GeoReM,NIST614
Lu,1.971495743759219e-06,2.995962442536589e-08,SE,mol/molCa,GeoReM,NIST614
Mg,0.0006553329172854081,1.961709255762746e-05,SE,mol/molCa,GeoReM,NIST614
Mn,1.2180244892866553e-05,3.236592105103089e-07,SE,mol/molCa,GeoReM,NIST614
Mo,3.929444698454741e-06,8.23859984718246e-08,SE,mol/molCa,GeoReM,NIST614
Na2O,1.0416392374299934,0.014670099229695312,SE,mol/molCa,GeoReM,NIST614
Nb,4.179483175437902e-06,8.550832005937382e-08,SE,mol/molCa,GeoReM,NIST614
Nd,2.4568182813890944e-06,3.143857081228004e-08,SE,mol/molCa,GeoReM,NIST614
Ni,8.83170034464528e-06,4.165750885747825e-07,SE,mol/molCa,GeoReM,NIST614
P,0.0001734410190699446,3.0309512659017662e-05,SE,mol/molCa,GeoReM,NIST614
Pb,5.2764173777619144e-06,6.481811032384997e-08,SE,mol/molCa,GeoReM,NIST614
Pd,9.077609882517186e-06,2.3895692741301076e-07,SE,mol/molCa,GeoReM,NIST614
Pr,2.5684289489957285e-06,3.376560071787449e-08,SE,mol/molCa,GeoReM,NIST614
Pt,5.700915669069584e-06,1.5576605085871199e-07,SE,mol/molCa,GeoReM,NIST614
Rb,4.714161946606418e-06,4.280042734744103e-08,SE,mol/molCa,GeoReM,NIST614
Re,4.302232001405502e-07,1.096849197389948e-08,SE,mol/molCa,GeoReM,NIST614
Rh,7.052174367859489e-06,4.2487645564717815e-07,SE,mol/molCa,GeoReM,NIST614
S,0.004276639598923929,0.0004962341595174447,SE,mol/molCa,GeoReM,NIST614
Sb,3.057478135800969e-06,1.2906557081755514e-07,SE,mol/molCa,GeoReM,NIST614
Sc,7.756857886805467e-06,,SE,mol/molCa,GeoReM,NIST614
Se,2.387227231318059e-06,2.44453192102987e-07,SE,mol/molCa,GeoReM,NIST614
SiO2,5.6547728872306955,0.060399912654552905,SE,mol/molCa,GeoReM,NIST614
Sm,2.3630882297052894e-06,2.9029339912264278e-08,SE,mol/molCa,GeoReM,NIST614
Sn,6.6690332842765605e-06,3.09136077870721e-07,SE,mol/molCa,GeoReM,NIST614
Sr,0.0002463219632523175,2.1299253211920037e-06,SE,mol/molCa,GeoReM,NIST614
Ta,2.1042567148524262e-06,3.897485224300442e-08,SE,mol/molCa,GeoReM,NIST614
Tb,2.1912513535384264e-06,3.5616290220472504e-08,SE,mol/molCa,GeoReM,NIST614
Th,1.5190889525716434e-06,1.4433514161958764e-08,SE,mol/molCa,GeoReM,NIST614
Ti,3.553954804392353e-05,1.2921582282207677e-06,SE,mol/molCa,GeoReM,NIST614
Tl,6.294455219246214e-07,2.41383314892361e-08,SE,mol/molCa,GeoReM,NIST614
Tm,2.041899599840194e-06,3.341809720016873e-08,SE,mol/molCa,GeoReM,NIST614
U,1.6293374340342863e-06,1.411663270778326e-08,SE,mol/molCa,GeoReM,NIST614
V,9.343090447215073e-06,2.0508344591651388e-07,SE,mol/molCa,GeoReM,NIST614
W,2.066026742289605e-06,9.452946364006759e-08,SE,mol/molCa,GeoReM,NIST614
Y,4.18733455464546e-06,9.369082149458149e-08,SE,mol/molCa,GeoReM,NIST614
Yb,2.1159988170025292e-06,3.4359610640403104e-08,SE,mol/molCa,GeoReM,NIST614
Zn,2.0100534310866938e-05,1.407383485450721e-06,SE,mol/molCa,GeoReM,NIST614
Zr,4.380539987634096e-06,8.28058890435928e-08,SE,mol/molCa,GeoReM,NIST614
