Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference,M,g/g,g/g_err,mol/g,mol/g_err
Fe,NIST614,18.8,6.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,55.845,1.88e-05,6e-06,3.3664607395469606e-07,1.0744023636852001e-07
Co,NIST614,0.79,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.9332,7.900000000000001e-07,9e-08,1.3405007703637339e-08,1.5271527763637473e-09
Ni,NIST614,1.1,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.6934,1.1e-06,1.0000000000000001e-07,1.8741459857496755e-08,1.7037690779542507e-09
Cu,NIST614,1.37,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,63.546,1.37e-06,7e-08,2.1559185471941586e-08,1.1015642211940957e-09
Zn,NIST614,2.79,0.38,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,65.409,2.79e-06,3.8e-07,4.265468054854836e-08,5.809598067544222e-09
Ga,NIST614,1.31,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,69.723,1.31e-06,9e-08,1.8788635027178978e-08,1.2908222537756551e-09
Ge,NIST614,0.9420000000000001,0.096,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,72.64,9.42e-07,9.6e-08,1.2968061674008811e-08,1.3215859030837005e-09
As,NIST614,0.74,0.23,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,74.9216,7.4e-07,2.3000000000000002e-07,9.87699141502584e-09,3.0698757100755992e-09
Se,NIST614,0.4,0.08,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,78.96,4.0000000000000003e-07,8e-08,5.0658561296859175e-09,1.0131712259371835e-09
Rb,NIST614,0.855,0.005,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,85.4678,8.55e-07,5e-09,1.000376750074297e-08,5.850156433183024e-11
Sr,NIST614,45.8,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,87.62,4.5799999999999995e-05,1.0000000000000001e-07,5.227117096553297e-07,1.1412919424788862e-09
Y,NIST614,0.79,0.032,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,88.90585,7.900000000000001e-07,3.2e-08,8.88580447743315e-09,3.599313206048871e-10
Zr,NIST614,0.848,0.027999999999999997,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,91.224,8.48e-07,2.7999999999999996e-08,9.295799351047969e-09,3.0693677102516873e-10
Nb,NIST614,0.8240000000000001,0.03,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,92.90638,8.240000000000001e-07,3e-08,8.869143324710316e-09,3.2290570356955033e-10
Mo,NIST614,0.8,0.03,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,95.94,8.000000000000001e-07,3e-08,8.338544923910779e-09,3.1269543464665413e-10
Rh,NIST614,1.54,0.18,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,102.9055,1.54e-06,1.8e-07,1.4965186506066245e-08,1.7491776435661845e-09
Pd,NIST614,2.05,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,106.42,2.05e-06,1.0000000000000001e-07,1.9263296372862243e-08,9.396729937981584e-10
Ag,NIST614,0.42,0.04,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,107.8682,4.2e-07,4e-08,3.893640572476411e-09,3.708229116644201e-10
Cd,NIST614,0.56,0.05,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,112.411,5.6e-07,5.0000000000000004e-08,4.981718870929002e-09,4.4479632776151804e-10
In,NIST614,0.79,0.05,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,114.818,7.900000000000001e-07,5.0000000000000004e-08,6.880454284171472e-09,4.3547179013743493e-10
Sn,NIST614,1.68,0.15,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,118.71,1.68e-06,1.5e-07,1.4152135456153652e-08,1.2635835228708617e-09
Sb,NIST614,0.79,0.064,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,121.76,7.900000000000001e-07,6.4e-08,6.4881734559789754e-09,5.256241787122208e-10
Cs,NIST614,0.664,0.034,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,132.90545,6.64e-07,3.4e-08,4.996032894061154e-09,2.558209614428904e-10
Ba,NIST614,3.2,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,137.327,3.2000000000000003e-06,9e-08,2.3302045482680028e-08,6.553700292003758e-10
La,NIST614,0.72,0.013000000000000001,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,138.9055,7.2e-07,1.3e-08,5.183380067743898e-09,9.358880677870928e-11
Ce,NIST614,0.813,0.025,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.116,8.13e-07,2.5000000000000002e-08,5.8023352079705384e-09,1.7842359188101288e-10
Pr,NIST614,0.768,0.015,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.90765,7.68e-07,1.5e-08,5.4503783151589e-09,1.0645270146794727e-10
Nd,NIST614,0.752,0.013999999999999999,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,144.24,7.52e-07,1.3999999999999998e-08,5.213533000554631e-09,9.70604547975596e-11
Sm,NIST614,0.754,0.013000000000000001,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,150.36,7.54e-07,1.3e-08,5.014631550944399e-09,8.645916467145518e-11
Eu,NIST614,0.77,0.016,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,151.964,7.7e-07,1.6e-08,5.066989550156617e-09,1.052880945487089e-10
Gd,NIST614,0.763,0.021,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,157.25,7.63e-07,2.1000000000000003e-08,4.85214626391097e-09,1.3354531001589827e-10
Tb,NIST614,0.7390000000000001,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,158.92534,7.390000000000001e-07,2e-08,4.649982186604101e-09,1.258452553884736e-10
Dy,NIST614,0.746,0.022000000000000002,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,162.5,7.46e-07,2.2000000000000002e-08,4.590769230769231e-09,1.353846153846154e-10
Ho,NIST614,0.7490000000000001,0.015,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,164.93032,7.490000000000002e-07,1.5e-08,4.541311749107139e-09,9.094749831322706e-11
Er,NIST614,0.74,0.017,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,167.259,7.4e-07,1.7e-08,4.424276122660067e-09,1.0163877579083937e-10
Tm,NIST614,0.732,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,168.93421,7.319999999999999e-07,2e-08,4.333047758651133e-09,1.1838928302325502e-10
Yb,NIST614,0.777,0.021,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,173.04,7.77e-07,2.1000000000000003e-08,4.490291262135923e-09,1.2135922330097089e-10
Lu,NIST614,0.732,0.018000000000000002,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,174.967,7.319999999999999e-07,1.8000000000000002e-08,4.18364605897112e-09,1.0287654243371608e-10
Hf,NIST614,0.711,0.022000000000000002,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,178.49,7.11e-07,2.2000000000000002e-08,3.9834164378956796e-09,1.2325620482940221e-10
Ta,NIST614,0.8079999999999999,0.026000000000000002,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,180.9479,8.079999999999999e-07,2.6e-08,4.4653737346495865e-09,1.436877686892194e-10
W,NIST614,0.8059999999999999,0.071,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,183.84,8.06e-07,7.099999999999999e-08,4.384247171453438e-09,3.862053959965186e-10
Re,NIST614,0.17,0.008,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,186.207,1.7000000000000001e-07,8e-09,9.129624557615987e-10,4.296293909466347e-11
Ir,NIST614,0.002,,,ug/g,GeoReM 5211,Jochum et al 2011,192.217,2e-09,,1.0404906954119563e-11,
Pt,NIST614,2.36,0.12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,195.078,2.36e-06,1.2e-07,1.2097725012559078e-08,6.151385599606311e-10
Au,NIST614,0.48,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,196.96655,4.8e-07,7e-08,2.436962012077685e-09,3.553902934279958e-10
Tl,NIST614,0.273,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,204.3833,2.73e-07,2e-08,1.3357255705334047e-09,9.785535315263038e-11
Pb,NIST614,2.32,0.04,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,207.2,2.32e-06,4e-08,1.1196911196911196e-08,1.9305019305019306e-10
Bi,NIST614,0.581,0.043,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,208.98038,5.809999999999999e-07,4.2999999999999995e-08,2.7801652959000264e-09,2.057609427258195e-10
Th,NIST614,0.748,0.006,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,232.0381,7.48e-07,6e-09,3.223608536701516e-09,2.5857822486910557e-11
U,NIST614,0.823,0.002,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,238.02891,8.23e-07,2e-09,3.45756320104142e-09,8.402340707269551e-12
