Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference,M,g/g,g/g_err,mol/g,mol/g_err
Pd,NIST610,1.21,0.44,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,106.42,1.21e-06,4.4e-07,1.1370043224957716e-08,4.134561172711897e-09
Ag,NIST610,251.0,9.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,107.8682,0.000251,9e-06,2.3269137706942357e-06,8.343515512449452e-08
Cd,NIST610,270.0,16.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,112.411,0.00027,1.6e-05,2.4019001699121972e-06,1.4233482488368576e-07
In,NIST610,434.0,19.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,114.818,0.000434,1.9e-05,3.7798951383929347e-06,1.6547928025222527e-07
Sn,NIST610,430.0,29.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,118.71,0.00043,2.9e-05,3.622272765563137e-06,2.442928144217e-07
Sb,NIST610,396.0,19.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,121.76,0.000396,1.9e-05,3.2522996057818655e-06,1.5604467805519054e-07
Te,NIST610,302.0,,,ug/g,GeoReM 5211,Jochum et al 2011,127.6,0.000302,,2.3667711598746086e-06,
Cs,NIST610,366.0,9.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,132.90545,0.000366,9e-06,2.7538374084734672e-06,6.771731332311805e-08
Ba,NIST610,452.0,9.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,137.327,0.000452,9e-06,3.291413924428554e-06,6.553700292003757e-08
La,NIST610,440.0,10.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,138.9055,0.00044,1e-05,3.16762115251016e-06,7.199138982977637e-08
Ce,NIST610,453.0,8.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.116,0.000453,8e-06,3.233035484883953e-06,5.709554940192411e-08
Pr,NIST610,448.0,7.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.90765,0.000448,7e-06,3.1793873505093587e-06,4.967792735170873e-08
Nd,NIST610,430.0,8.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,144.24,0.00043,8e-06,2.9811425402107595e-06,5.546311702717692e-08
Sm,NIST610,453.0,11.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,150.36,0.000453,1.1e-05,3.0127693535514763e-06,7.315775472200053e-08
Eu,NIST610,447.0,12.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,151.964,0.000447,1.2e-05,2.9414861414545553e-06,7.896607091153168e-08
Gd,NIST610,449.0,12.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,157.25,0.000449,1.2e-05,2.8553259141494435e-06,7.631160572337044e-08
Tb,NIST610,437.0,9.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,158.92534,0.000437,9e-06,2.749718830238148e-06,5.663036492481312e-08
Dy,NIST610,437.0,11.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,162.5,0.000437,1.1e-05,2.689230769230769e-06,6.769230769230769e-08
Ho,NIST610,449.0,12.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,164.93032,0.000449,1.2e-05,2.722361782842597e-06,7.275799865058166e-08
Er,NIST610,455.0,14.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,167.259,0.000455,1.4e-05,2.7203319402842302e-06,8.370252123951477e-08
Tm,NIST610,435.0,10.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,168.93421,0.000435,1e-05,2.574966905755797e-06,5.919464151162752e-08
Yb,NIST610,450.0,9.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,173.04,0.00045,9e-06,2.6005547850208043e-06,5.201109570041609e-08
