statistic,sample,rep,Mg24,Mg25,Al27,Ca44,Mn55,Sr88,Ba138
mean,412_14,1,0.00542127830953255,0.005477420490716681,1.886696677321755e-05,0.9813547618709307,7.15165899960258e-05,0.0013886365119951923,1.74062169260252e-06
mean,412_14,2,0.005469370118861287,0.0055120449051639705,3.379314636562394e-05,0.9920336972004998,8.46713789447709e-05,0.0013815281191462293,
mean,412_15,0,0.006392376340617206,0.006584713648727307,3.358076512233631e-05,0.9921145672056942,4.309664053430124e-05,0.0013864541006148707,1.1817076052424185e-06
mean,412_15,1,0.006628667063833747,0.006741846360477243,9.590134412609018e-06,0.9836561850961372,2.4465577568404673e-05,0.001408893207449103,1.1549968790221929e-06
mean,412_15,2,0.006289199961690613,0.0064129848637215145,4.438821145946296e-05,0.9803909120741997,4.053013029089785e-05,0.0013824224524173058,1.1721793435297398e-06
mean,412_16,0,0.005954463723881284,0.00604864663677856,7.190491083364923e-05,0.987392167108498,3.428895925766232e-05,0.0015308075782377666,1.3285768608911257e-06
mean,412_16,1,0.0060575057357830945,0.006163954389675315,2.6788766520664126e-05,0.9895782495100165,3.965067997245021e-05,0.001517502628860968,1.2411429767746507e-06
mean,412_16,2,0.0057193050458887685,0.005725882744311685,3.1078324168576175e-05,0.9936195157847884,4.163972336602685e-05,0.001529255800855941,1.3829618555953921e-06
mean,412_17,0,0.007571465092279173,0.007563200913000549,4.197330427786983e-05,0.9902801386105882,7.313714150383801e-05,0.0013020100408609458,1.3335657532107085e-06
mean,412_17,1,0.007542878002245082,0.007589693976128541,3.8670331659628554e-05,0.9888821278752868,5.279901481780369e-05,0.0012904667151173899,1.0988025698956218e-06
mean,412_17,2,,,,0.973934034883325,,,
mean,412_17,3,0.007583736469871917,0.00771149624537739,4.484283528818123e-05,0.990158109040243,5.0463897248828364e-05,0.0012864464631848842,1.1961140495978292e-06
mean,412_18,0,0.007020859756327881,0.007090790638469211,1.1625292473821578e-05,0.97329932446001,4.1590646208493115e-05,0.0014822933761716168,1.0013630468557674e-06
mean,412_18,1,0.007055648324726853,0.0071355412864689905,1.8876505104000286e-05,0.9647633581218091,3.520410575030277e-05,0.001474475244999147,1.3138072458367702e-06
mean,412_18,2,0.006795583501776087,0.006893099755659466,1.9206096219847393e-05,0.9914132981712156,5.382292756879901e-05,0.0014707718226996858,1.179492801161039e-06
mean,412_19,0,0.005728026033604482,0.005892321616815113,2.009900651592257e-05,0.9953931467494236,4.0566755452579885e-05,0.00132087116936757,1.4684481185992987e-06
mean,412_19,1,0.005701455867025711,0.005926806240813323,2.3406471538102712e-05,0.9796485053393076,6.220728372643638e-05,0.0013191790757742352,1.4867113565645248e-06
mean,412_19,2,0.005648834712095477,0.005736677075467213,1.7527795307831365e-05,0.9797059498382826,6.0719075773893134e-05,0.0013105922622209923,1.3803014055322567e-06
mean,412_20,0,0.005607691061499841,0.005683057690947951,1.614922888691418e-05,0.9891137321588953,7.107795130234278e-05,0.0014299848501871592,7.090763202755199e-07
mean,412_20,1,0.005461034108560487,0.005534843449670316,1.1766953529845813e-05,0.9755829492044159,9.541040847298307e-05,0.001435129399031272,8.733108765350851e-07
mean,412_20,2,0.005501342581963043,0.0055849720559840174,3.4728922013066085e-05,0.9873013166998854,8.156873376833597e-05,0.0014118818108137436,7.635509377117832e-07
mean,414_1,0,0.008582205372256676,0.008777085329615984,3.338829965120065e-06,0.9870711158529346,4.728223881901252e-05,0.0014232662972895338,1.5713789796547471e-06
mean,414_1,1,0.008868308914607848,0.009006508668015813,,0.9921419650428234,,0.0014704132246808439,
mean,414_2,0,0.005443102996729653,0.00544426963342613,9.395174402580638e-06,0.9880758011606141,6.818233940562305e-05,0.0013592683297470425,9.051737765647209e-07
mean,414_2,1,0.005423854653422195,0.005493951157582537,1.0724446673893978e-05,0.988971559802882,4.129331444939712e-05,0.0013475390710270935,1.1001633008474687e-06
mean,414_3,0,0.0038647328026418844,0.0038854428668352956,6.401424736518034e-05,0.9908039397384822,4.387896538871777e-05,0.0013423631833277669,1.4146546115255672e-06
mean,414_3,1,0.007711776269025939,0.007642418502863079,5.880731694532824e-05,0.9964394244532376,3.646513507330702e-05,0.001331021625264309,1.4797576008793792e-06
mean,414_3,2,0.0036794920034653065,0.003682251094772544,3.243325500254274e-05,0.9918947923662732,5.100439410669611e-05,0.0013439275595021926,1.5127706091974293e-06
mean,414_4,0,0.006549148542520206,0.006618759267847082,4.1949089307906754e-05,0.9896935586653999,4.536486576477723e-05,0.0014170370576321954,1.6014218661872952e-06
mean,414_4,1,0.00541442732495312,0.0055364571916240385,1.5650055947791983e-05,0.9962234263759701,2.8872787442937133e-05,0.0013976574395268661,1.4300168686304323e-06
mean,414_4,2,0.005427026692529909,0.0054783324032552805,9.358409884564333e-06,0.9981135650522082,4.326858944540736e-05,0.0013909949325286721,1.5268100416893627e-06
mean,414_5,0,0.0056821820958388594,0.0057730195092598,4.7885425540982734e-05,0.9931198202211701,8.000564301718425e-05,0.0014037874999203585,9.832192590121704e-07
mean,414_5,1,0.005773753945278322,0.005953328271667593,3.7683379965413596e-05,0.9916245689617981,5.772137545283807e-05,0.0013989290304017364,1.0240205960266121e-06
mean,414_5,2,0.006031261763390173,0.006129204988325583,2.6785574244776827e-05,0.9869295164791716,6.252883008097169e-05,0.0013977039564143873,1.0952464201236731e-06
mean,414_6,0,0.005136552292383913,0.005192515420594372,9.902468060472479e-05,0.9874759924684529,8.270612096573049e-05,0.0013034217509112116,1.924287594158311e-06
mean,414_6,1,0.005905605447892082,0.005862123452391298,4.336491377710378e-05,0.9825089524678159,5.053704386301764e-05,0.001267639552030144,1.9100876807178608e-06
mean,414_6,2,0.0057164649584437385,0.0057705192365833345,9.773005849774314e-05,0.9950190459776235,5.6445023574998974e-05,0.001269264672013255,2.039420419448038e-06
mean,414_7,0,0.004590118685891561,0.004697236328253626,5.987673350445907e-06,0.9717787630410243,2.8512869313453454e-05,0.0012647538333404134,9.447208768022055e-07
mean,414_7,1,0.005019877040069325,0.005083660325484075,2.5308272632212188e-05,0.9875734424729117,7.432169089566869e-05,0.001279453563147754,1.1160584170414994e-06
mean,414_8,0,0.005776659097738936,0.005848404064296815,1.664834824471031e-05,0.9814391819562545,7.237562566965293e-05,0.0013826832839164908,1.10315579551422e-06
mean,414_8,1,0.005530209845878206,0.005630360477952274,3.7696630050652804e-05,0.9818270960724916,5.040732483312181e-05,0.001369133015016998,9.883124544069373e-07
mean,414_8,2,0.005411294925809353,0.005452589312590402,2.823223870547921e-05,0.9844358773469187,0.0001448272094602396,0.0013606021129462464,1.237715226936263e-06
mean,414_9,0,0.0046302836234172655,0.004759934584467039,3.1840399309333334e-05,0.9887888002544798,8.066448575393206e-05,0.0013655089827350792,1.082324757736668e-06
mean,414_9,1,0.004381691544043592,0.004384225126180226,7.42504795587932e-05,0.9970276808594858,4.870039739390524e-05,0.001345830950190103,1.3997671993725639e-06
mean,414_9,2,0.004695402251413136,0.004685751833981008,3.682000956919271e-05,0.990483346148059,5.468626942711429e-05,0.0013762431052795235,1.153967129603217e-06
mean,414_9,3,0.0046861457158822156,0.004771860614937257,2.575167638579755e-05,0.9790361906861823,3.5866894695962694e-05,0.0013603111638626616,1.3219504075490595e-06
mean,414_10,0,0.006378691946614492,0.006497553694710234,5.9732991908489823e-05,0.9874054186667638,6.34813729007826e-05,0.0013746231886755712,1.2878916629731534e-06
mean,414_10,1,0.006189545548113551,0.006311354773493442,4.990982083838073e-05,0.9874787598995963,4.507877428659877e-05,0.0013053783525022917,1.2665510946329457e-06
mean,414_10,2,0.006844337235977404,0.006825016272089024,4.7427813029581015e-05,0.9786059613516331,5.4148430920646785e-05,0.001410031060206642,1.358265411789008e-06
mean,414_12,0,,,,1.0043296837083053,,,
mean,414_12,1,0.007935238609597125,0.00824368772383541,9.658895539220414e-05,0.9949297274712853,4.7534209263834684e-05,0.0013173339155699616,
mean,414_12,2,,,,0.9879873360549777,,,
mean,414_12,3,,,,0.9965178149245604,,,
mean,414_13,0,0.002577612633941664,0.0025649538839151707,4.4680203596135853e-05,0.9928436229067287,6.1398267674687e-05,0.0013646963894029867,1.604263964465082e-06
mean,414_13,1,0.0025529412350213275,0.0026193968958187056,2.9798397907903907e-05,0.9718046356594636,4.5656381020199046e-05,0.001365928710809484,1.4868055851164231e-06
mean,414_13,2,0.0025311353118349506,0.002570498693402841,5.167021011818402e-05,0.9891221281339765,4.6398484877325735e-05,0.0013901085255639146,1.5474387412110974e-06
mean,414_13,3,,,,0.9897660595066491,,,
mean,424_1,0,0.0071620001099792245,0.007305117289379391,9.877057175386529e-05,0.9940600048729225,6.850498928871579e-05,0.0013422121873779014,
mean,424_1,1,0.0069472375806877,0.007290160956394077,,0.9915375452952,,0.0013971752132540202,
mean,424_1,2,0.006160069311353062,0.006258668824808931,6.784772918929274e-05,0.9923857936085099,3.8767354464395746e-05,0.0014598950928344586,1.99237450877941e-06
mean,424_2,0,0.005789722097612625,0.0058510870945466965,8.678356872368986e-05,0.9832302728970883,0.00011893248498351326,0.0015001579175843297,1.163451820858823e-06
mean,424_2,1,0.0038845540568280823,0.003883978519550347,0.000127392669916057,0.9971407334388547,5.898561367415849e-05,0.001397797814987045,
mean,424_2,2,0.0059583728518837345,0.006062714687846264,7.246175049836332e-05,0.997856662482507,0.00010530889188223792,0.0014649407419369497,1.0100116652697812e-06
mean,424_3,0,0.003469598782627512,0.0035677213417500218,,0.9861363165676061,,0.0012183227898837413,
mean,424_3,1,0.002730494791277836,0.002849752137102618,6.803873077308479e-05,0.9976286015162386,7.494146931022974e-05,0.0011714984474897158,2.051844315190421e-06
mean,424_3,2,0.0025986030541154826,0.002553551695850317,9.212319962427487e-05,1.0000756014560106,0.00012300123961607505,0.001202457537978992,2.26128647895196e-06
mean,424_4,0,0.004775837457203438,0.004899463709466825,7.057526527936364e-05,0.9927121892478414,0.00010825248648091506,0.001217428908926906,1.367553935786102e-06
mean,424_4,1,0.007674502354911519,0.007999451399311016,7.020247232393339e-05,0.9931869809914727,3.8796806996737826e-05,0.0011864028157016952,1.3896198523606514e-06
mean,424_4,2,0.007273514803329011,0.007580280348624654,0.00011407337528292929,0.9908483947083547,5.847319218455138e-05,0.0011372619468855778,
mean,424_5,0,0.010037705072583234,0.0102822621892307,6.24858171564671e-05,0.980802188610286,0.0001517880713117729,0.0013808391317017442,
mean,424_5,1,0.011611896271261182,0.011813182466487297,9.641944412776472e-05,0.9905503506446681,0.00013307616616468828,0.001389712641306406,1.5598251551681807e-06
mean,424_5,2,0.010014657883405933,0.010220140339684639,3.2403925425101596e-05,0.9956092822245413,7.826242188971208e-05,0.0013905818419051843,
mean,424_6,0,0.005007575481112037,0.005143433321894018,6.441781628263166e-05,0.9878038076280139,9.2871122043726e-05,0.00141933490858885,1.522827269619256e-06
mean,424_6,1,0.005170280684932864,0.0052567234319989085,1.566281856425752e-05,0.9853684118477146,4.106422669249124e-05,0.0014208635372124163,1.8096218726693294e-06
mean,424_6,2,0.005264993511871291,0.005338664766204167,5.795688038472415e-05,0.9967787140255743,8.377547605988219e-05,0.0014169267131820954,1.2562229627629279e-06
mean,424_7,0,0.004524030533170366,0.00460215334032936,2.6841725067174967e-05,0.9815680133035806,9.648987278952666e-05,0.0013844609287003476,1.151056723543845e-06
mean,424_7,1,0.004114287819677061,0.004260633632707589,4.730589153715563e-05,0.9979671851271056,0.0001101939423524233,0.0012998876759749518,1.1868281711212526e-06
mean,424_7,2,0.004567069161905753,0.004683179848124329,2.0860467430989735e-05,0.9877886293456271,8.258199552051275e-05,0.0013816605463779575,1.195205788401628e-06
mean,424_8,0,0.0055191029616422724,0.0056540261677330865,4.3487726610681236e-05,0.9878307054992744,0.00021928272870766713,0.001260277653107703,1.2147906360901833e-06
mean,424_8,1,0.005449563818652798,0.0055814776888019795,5.5393095291391534e-05,0.9882642593491102,6.149329333630912e-05,0.0012778031010244788,1.9059956187676042e-06
mean,424_8,2,0.0049237009919193735,0.004993015220530537,6.167286964946407e-05,0.9896029017287559,5.3387493053713264e-05,0.0012260891277726933,1.6731496991276865e-06
mean,424_9,0,,,,0.9891749504811638,,,
mean,424_9,1,0.005300509464383755,0.005352758474625001,0.00011822294895308767,0.9994947478578619,0.00013643926249329977,0.0012669380719513798,2.375989563175798e-06
mean,424_9,2,0.005909714550634126,0.005985106676316962,4.1254870016153035e-05,0.995040368547258,6.399203262629515e-05,0.001399708117644337,2.1364205842787964e-06
mean,424_10,0,0.007147855466237566,0.007316399887517121,2.673028134993246e-05,0.9876957269898984,0.00011993713745549985,0.0013058821522686174,1.5732622348063888e-06
mean,424_10,1,0.00715833539368268,0.007355485385017581,7.371119956122957e-05,0.9841542204894225,0.00011289194375858966,0.001276983979276211,1.7153583917187768e-06
mean,424_10,2,0.006878385799354004,0.007022589077857683,5.4984776784568255e-05,0.9882376863120905,0.00016700751542727448,0.0012738388007590472,1.6349320348612019e-06
mean,424_11,0,0.004566098559946992,0.004634536607037368,,0.9833462694460733,,0.0012914261159074898,
mean,424_11,1,0.0051331555931111725,0.005271342179673577,,0.9937582606590795,,0.001283695791012301,
mean,424_11,2,,,,1.001360613371435,,,
mean,424_11,3,,,,1.0015690463832354,,,
mean,424_12,0,0.00512088432251167,0.0053187567046216805,9.389858813425737e-05,0.9903409339957886,2.64878866177908e-05,0.0013028778464554633,1.3942138940240074e-06
mean,424_12,1,,,,0.9890183740696428,,,
mean,424_12,2,0.006534908116104551,0.006828213779843505,4.717009622588171e-05,0.9942504497924023,3.07205755242859e-05,0.0012832921234886073,1.3542572948760118e-06
mean,424_13,0,0.003242507589463757,0.0033369858459997436,4.417835886836575e-05,0.998787982133746,9.049608439750879e-05,0.0013437226800906796,1.5646151079643522e-06
mean,424_13,1,0.002919791101878195,0.00298066228657712,4.5168868186407204e-05,1.0051152606783904,5.7270629360420386e-05,0.0012542496799487087,1.4705155582922353e-06
mean,424_13,2,0.0027473131153831587,0.0027336783888669246,7.095939867229298e-05,0.9962010558738246,7.738467046652978e-05,0.0012561799715802432,1.5493142120100352e-06
mean,424_14,0,0.004886944120197093,0.004977942686929769,6.83188853486108e-05,0.9945032814210895,4.524909751069231e-05,0.0012984611991777263,1.7995601661861482e-06
mean,424_14,1,,,,1.0093202653101339,,,
mean,424_14,2,0.00535354987093532,0.0054802704056263595,2.527591522387301e-05,0.9898734346326727,6.807409717009094e-05,0.0013711900277767427,2.0964269381215925e-06
mean,424_15,0,0.007288408725700596,0.007442591929483474,4.584693417767254e-05,1.0031126113649544,0.00011981615263720589,0.0013093805922467403,2.272073061918494e-06
mean,424_15,1,,,,0.9905135325910589,,,
mean,424_15,2,0.007843955849027886,0.007834374047036904,9.053666400817886e-05,1.0113498967641135,5.996889092674651e-05,0.001249361959663524,1.8963455203386329e-06
mean,424_16,0,0.006856256527124045,0.006959939366900759,3.79342749763816e-05,1.0013825397714322,5.364722777073298e-05,0.001423568962793821,9.467830822313353e-07
mean,424_16,1,0.010384815754473553,0.010457760277518808,3.8029553115186734e-05,1.002347760410136,4.8230168074774886e-05,0.0013403095355554004,8.243240523104297e-07
mean,424_16,2,0.008758942414519084,0.009049059235206245,5.0803750658801355e-05,1.00105429752108,2.982717214583806e-05,0.0013215092857669232,8.862704605568334e-07
mean,424_17,0,0.005033787637149179,0.005109789432442661,4.999695850421139e-05,0.9866330652141215,0.00010458393652224722,0.0014597637894966382,1.9145240841593783e-06
mean,424_17,1,0.004800871048980434,0.004892892758484816,2.9797167004356277e-05,0.9943490114882659,8.66235095429708e-05,0.0014632236353502126,1.861213146235484e-06
mean,424_17,2,0.005232000744580101,0.005348449817739724,3.231984015789506e-05,0.9986118424734477,7.95232338152614e-05,0.001427909526006913,1.6726796396520979e-06
mean,424_18,0,0.003065044165071565,0.0031436212927233973,1.4978035589353375e-05,0.9817395233454554,9.938519624163981e-05,0.001358821759572243,1.6740753267005717e-06
mean,424_18,1,0.0031403513570386716,0.0031293391517152776,2.2478760789966853e-05,0.9969302130785169,6.643306484463374e-05,0.0013748774256506884,1.5805557888336584e-06
mean,424_18,2,0.0029802595740516372,0.002979784639823373,3.7344371967309994e-05,0.9932356206852069,5.7695643737946e-05,0.0013745253380881182,1.577273789831606e-06
mean,424_19,0,0.005666982182284258,0.005693553015247342,,1.0027961160940724,,0.0013781266455151482,
mean,424_19,1,0.004090939999446297,0.004183571812160511,2.056186310180425e-05,0.9934555985023427,3.9823320201361765e-05,0.001357161527192988,1.7680791757662823e-06
mean,424_19,2,0.00497757577082692,0.005051075492457979,3.5825379974067296e-05,1.0007415985994714,3.992716613341753e-05,0.0014389318420480264,1.9525553016457264e-06
mean,424_20,0,0.00645861294543852,0.006579554460980678,5.969700779604838e-05,0.9931345981342007,9.137675177501042e-05,0.0013381460506698053,2.539252243916542e-06
mean,424_20,1,0.007045690178884665,0.007213974671479153,5.559392979362166e-05,0.9901057652664016,4.393722638909876e-05,0.0013401681071695023,
mean,424_20,2,0.007379037844488216,0.0074232483556590225,5.795333293866501e-05,0.9954061965098031,0.00012743535940740403,0.0013696785982668792,3.488711883568718e-06
mean,424_20,3,0.006908738747299531,0.007161962086209672,3.1214406918954285e-05,0.9920101811940537,9.044360871444577e-05,0.0013496720486582147,2.3494839920319692e-06
