C:\Agilent\ICPMH\1\DATA\141215_Antony_Zircon.b\0126.d,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 15/12/2014 7:43:48 PM using Batch 141215_Antony_Zircon.b,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Li7,Mg24,Al27,Si29,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
0.542,44,2,12,263.17,86.01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.073,77,5,3,274.19,90.01,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1.604,49,2,2,235.14,90.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.135,37,2,7,220.12,94.01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.666,50,0,1,240.15,114.01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3.197,49,0,8,248.16,86.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.728,54,2,3,253.16,88.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4.259,46,5,7,257.17,97.01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.79,58,1,4,224.13,75,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
5.321,55,2,3,257.17,78.01,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
5.852,49,2,8,284.2,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6.383,60,0,6,253.16,99.01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.914,54,8,4,282.2,88.01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
7.446,56,0,4,298.22,79.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.977,49,2,5,258.17,89.01,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
8.508,51,0,3,246.15,81.01,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
9.039,33,2,7,237.14,93.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.57,41,1,9,229.13,98.01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10.101,34,8,1,235.14,85.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
10.632,38,3,11,289.21,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.163,41,2,7,264.18,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.694,54,5,7,254.16,103.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
12.225,53,1,6,220.12,96.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
12.756,41,4,0,291.21,89.01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.287,35,0,3,214.12,92.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
13.818,58,1,7,237.14,96.01,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0
14.35,65,2,8,277.19,80.01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
14.881,48,5,4,294.22,102.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
15.412,51,3,16,247.15,89.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.943,50,6,4,231.13,85.01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.474,65,6,2,293.22,89.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
17.005,57,3,4,261.17,89.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.536,58,5,0,261.17,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18.067,56,2,5,257.17,97.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
18.598,56,2,6,237.14,103.01,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19.129,41,5,10,253.16,93.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.66,46,2,6,256.17,87.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.191,40,1,8,286.21,77,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20.722,40,7,1,236.14,92.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
21.254,55,7,3,239.14,74,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0
21.785,51,2,3,249.16,99.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.316,53,4,1,263.17,78.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
22.847,42,2,8,247.15,88.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
23.378,77,2,4,236.14,88.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
