C:\Agilent\ICPMH\1\DATA\141215_Antony_Zircon.b\0117.d,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 15/12/2014 7:23:34 PM using Batch 141215_Antony_Zircon.b,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Li7,Mg24,Al27,Si29,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
0.541,45,2,14,295.22,66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.072,59,4,5,261.17,66,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.603,69,3,5,224.13,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.134,45,3,7,326.27,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.665,50,2,3,274.19,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.196,37,2,4,269.18,84.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.728,59,0,9,277.19,69,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1
4.259,56,7,6,238.14,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.79,39,3,13,273.19,60,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5.321,53,2,10,276.19,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.852,46,2,6,267.18,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6.383,24,1,6,264.18,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.914,71,5,4,292.22,79.01,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.445,51,8,3,268.18,80.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.976,44,2,9,265.18,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.507,60,6,0,222.12,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.038,55,2,3,263.17,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
9.569,45,0,3,273.19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1,59,4,5,267.18,80.01,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10.632,55,2,3,272.19,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.163,59,3,8,256.17,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11.694,52,8,3,274.19,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.225,53,2,9,280.2,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.756,62,1,4,252.16,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13.287,48,0,3,256.17,74,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13.818,44,0,4,284.2,83.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14.349,47,3,10,261.17,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14.88,54,2,7,276.19,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
