C:\Agilent\ICPMH\1\DATA\141215_Antony_Zircon.b\NIST610z-04.d,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 15/12/2014 8:50:15 PM using Batch 141215_Antony_Zircon.b,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Li7,Mg24,Al27,Si29,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
0.541,37,2,6,232.14,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.072,44,2,4,229.13,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.603,46,3,2,211.11,94.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.134,64,0,10,213.11,106.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.665,43,0,4,202.1,88.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.196,51,0,1,250.16,81.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.727,60,3,3,252.16,78.01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.258,57,1,7,222.12,83.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.789,56,0,5,242.15,87.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.32,37,2,4,250.16,88.01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.851,56,4,2,210.11,81.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
6.383,52,6,2,246.15,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6.914,47,1,4,250.16,90.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.445,57,2,6,244.15,87.01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7.976,61,7,2,270.18,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.507,47,2,0,253.16,91.01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.038,42,7,2,290.21,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
9.569,37,2,3,232.14,89.01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10.1,46,0,4,263.17,92.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.631,49,2,13,202.1,88.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.162,44,2,5,226.13,87.01,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11.693,49,0,4,282.2,80.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
12.224,44,1,2,211.11,79.01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.755,38,0,6,250.16,91.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.287,50,4,9,241.15,83.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.818,57,10,0,266.18,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.349,56,3,5,267.18,83.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
