C:\Agilent\ICPMH\1\DATA\141215_Antony_Zircon.b\Temora-6.d,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,Counts,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 15/12/2014 8:25:31 PM using Batch 141215_Antony_Zircon.b,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Li7,Mg24,Al27,Si29,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
0.541,48,0,4,272.19,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.072,52,3,6,267.18,78.01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.603,55,3,7,227.13,80.01,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.134,46,1,4,274.19,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.665,38,3,9,296.22,80.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
3.196,46,3,6,227.13,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.727,38,2,6,231.13,85.01,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
4.258,59,1,10,277.19,47,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.789,37,1,5,245.15,74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5.321,39,2,1,264.18,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
5.852,44,0,6,246.15,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.383,45,4,8,253.16,65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
6.914,38,2,5,248.16,52,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7.445,35,0,2,248.16,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.976,50,6,2,248.16,67,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
8.507,62,3,9,256.17,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
9.038,44,2,8,225.13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9.569,43,3,2,225.13,89.01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
10.1,48,1,8,266.18,75,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10.631,58,2,4,278.2,93.01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.162,51,2,0,269.18,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.693,45,5,7,272.19,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
12.225,54,5,6,289.21,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.756,50,6,7,276.19,77,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
