# GeoRem Preferred Values Downloaded on Jun 22. 2017
Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference
Al2O3,NIST612,2.03,0.04,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
SiO2,NIST612,72.1,0.6,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
CaO,NIST612,11.9,0.1,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
Li,NIST612,40.2,1.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Be,NIST612,37.5,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
B,NIST612,34.3,1.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
F,NIST612,80,89,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Mg,NIST612,68,5.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
P,NIST612,46.6,6.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
S,NIST612,377,70,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cl,NIST612,142,58,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
K,NIST612,62.3,2.4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sc,NIST612,39.9,2.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ti,NIST612,44,2.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
V,NIST612,38.8,1.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cr,NIST612,36.4,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Mn,NIST612,38.7,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Fe,NIST612,51,2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Co,NIST612,35.5,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ni,NIST612,38.8,0.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cu,NIST612,37.8,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Zn,NIST612,39.1,1.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ga,NIST612,36.9,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ge,NIST612,36.1,3.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
As,NIST612,35.7,5.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Se,NIST612,16.3,1.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Rb,NIST612,31.4,0.4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sr,NIST612,78.4,0.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Y,NIST612,38.3,1.4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Zr,NIST612,37.9,1.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Nb,NIST612,38.9,2.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Mo,NIST612,37.4,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Rh,NIST612,0.91,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Pd,NIST612,1.05,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ag,NIST612,22,0.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cd,NIST612,28.1,1.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
In,NIST612,38.9,2.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sn,NIST612,38.6,1.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sb,NIST612,34.7,1.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cs,NIST612,42.7,1.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ba,NIST612,39.3,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
La,NIST612,36,0.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ce,NIST612,38.4,0.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Pr,NIST612,37.9,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Nd,NIST612,35.5,0.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sm,NIST612,37.7,0.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Eu,NIST612,35.6,0.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Gd,NIST612,37.3,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Tb,NIST612,37.6,1.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Dy,NIST612,35.5,0.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ho,NIST612,38.3,0.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Er,NIST612,38,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Tm,NIST612,36.8,0.6,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Yb,NIST612,39.2,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Lu,NIST612,37,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Hf,NIST612,36.7,1.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ta,NIST612,37.6,1.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
W,NIST612,38,1.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Re,NIST612,6.63,0.61,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ir,NIST612,0.0045,,,ug/g,GeoReM 5211,Jochum et al 2011
Pt,NIST612,2.51,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Au,NIST612,4.77,0.31,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Tl,NIST612,14.9,0.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Pb,NIST612,38.57,0.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Bi,NIST612,30.2,2.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Th,NIST612,37.79,0.08,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
U,NIST612,37.38,0.08,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
CO2,NIST614,0.0004,,,%m/m,GeoReM 5211,Jochum et al 2011
H2O,NIST614,0.019,,,%m/m,GeoReM 5211,Jochum et al 2011
Na2O,NIST614,13.7,0.3,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
Al2O3,NIST614,2.04,0.05,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
SiO2,NIST614,72.1,0.9,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
CaO,NIST614,11.9,0.2,95%CL,%m/m,GeoReM 5211,Jochum et al 2011
Li,NIST614,1.69,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Be,NIST614,0.753,0.051,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
B,NIST614,1.49,0.19,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
F,NIST614,6.2,,,ug/g,GeoReM 5211,Jochum et al 2011
Mg,NIST614,33.8,1.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
P,NIST614,11.4,3.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
S,NIST614,291,66,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cl,NIST614,102,84,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
K,NIST614,30,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sc,NIST614,0.74,,,ug/g,GeoReM 5211,Jochum et al 2011
