Date: "11:43:01 29/03/2019"

Cycle,Timestamp,C(13),Mode,Na(23),Mode,Mg(24),Mode,Mg(25),Mode,Al(27),Mode,Si(29),Mode,Ca(43),Mode,Ca(44),Mode,Mn(55),Mode,Zn(66),Mode,Sr(86),Mode,Sr(88),Mode,Ba(137),Mode,Ba(138),Mode,Th(232),Mode,U(238),Mode,Th(248),Mode
24,254.97499,38040.59,1,171660.96,1,00.00E00,1,00.00E00,1,2111.52,1,12575.99,1,2901.09,1,11808.14,1,817.29,1,74.63,1,1990.96,1,606.84,1,252.10,1,543.86,1,00.00E00,1,00.00E00,1,00.00E00,1

25,256.07499,43179.22,1,159695.81,1,200.00,1,00.00E00,1,3639.41,1,13841.46,1,2304.04,1,12134.50,1,1308.89,1,00.00E00,1,1345.48,1,1051.30,1,190.48,1,684.22,1,00.00E00,1,00.00E00,1,00.00E00,1

26,257.17499,40131.55,1,168507.33,1,400.00,1,192.31,1,3577.87,1,12743.53,1,2627.79,1,13286.06,1,1050.47,1,00.00E00,1,1427.30,1,747.87,1,179.27,1,736.85,1,00.00E00,1,00.00E00,1,00.00E00,1

27,258.27499,37462.26,1,176693.56,1,577.36,1,00.00E00,1,2515.90,1,12309.24,1,3058.77,1,13742.45,1,1400.64,1,00.00E00,1,2409.16,1,1591.91,1,84.03,1,456.14,1,00.00E00,1,00.00E00,1,00.00E00,1

28,259.37499,38863.62,1,176242.54,1,188.68,1,00.00E00,1,1907.57,1,12572.74,1,3481.34,1,13859.20,1,1509.20,1,74.63,1,1363.66,1,940.18,1,168.07,1,894.75,1,00.00E00,1,00.00E00,1,00.00E00,1

29,260.47499,41644.24,1,174172.70,1,00.00E00,1,217.39,1,3365.12,1,12995.64,1,3895.50,1,14708.32,1,1300.48,1,00.00E00,1,1690.95,1,621.80,1,84.03,1,964.92,1,00.00E00,1,00.00E00,1,00.00E00,1

30,261.57499,39619.93,1,166079.56,1,400.00,1,217.39,1,3377.43,1,17615.32,1,3895.50,1,10712.33,1,1509.20,1,00.00E00,1,1345.48,1,1303.44,1,263.31,1,614.04,1,00.00E00,1,00.00E00,1,00.00E00,1

31,262.67499,37662.45,1,167898.13,1,00.00E00,1,00.00E00,1,3389.74,1,15438.80,1,2627.79,1,12959.69,1,1300.48,1,82.64,1,1809.13,1,444.45,1,84.03,1,368.42,1,00.00E00,1,00.00E00,1,00.00E00,1

32,263.77499,39019.33,1,168092.24,1,377.36,1,00.00E00,1,3124.24,1,14283.89,1,2171.60,1,13439.96,1,1050.47,1,00.00E00,1,963.65,1,925.22,1,179.27,1,929.84,1,00.00E00,1,00.00E00,1,00.00E00,1

33,264.87499,40020.33,1,162753.20,1,788.69,1,192.31,1,2997.65,1,15583.57,1,2478.53,1,11407.49,1,1208.73,1,82.64,1,1718.22,1,1273.52,1,190.48,1,947.38,1,00.00E00,1,00.00E00,1,00.00E00,1

34,265.97499,35149.02,1,181353.39,1,200.00,1,192.31,1,2944.91,1,15850.34,1,3332.07,1,10213.53,1,1633.83,1,00.00E00,1,1245.47,1,1273.52,1,526.61,1,1052.65,1,00.00E00,1,00.00E00,1,00.00E00,1

35,267.07499,34370.55,1,171914.82,1,388.68,1,217.39,1,2540.52,1,15416.03,1,3340.48,1,11617.10,1,925.09,1,82.64,1,1081.83,1,829.07,1,168.07,1,964.92,1,00.00E00,1,00.00E00,1,00.00E00,1

36,268.17499,39731.15,1,162914.43,1,788.69,1,00.00E00,1,2744.47,1,14207.44,1,4351.72,1,14265.18,1,975.55,1,00.00E00,1,1745.49,1,1384.64,1,274.51,1,1333.36,1,00.00E00,1,00.00E00,1,00.00E00,1

