Date: "11:43:01 29/03/2019"

Cycle,Timestamp,C(13),Mode,Na(23),Mode,Mg(24),Mode,Mg(25),Mode,Al(27),Mode,Si(29),Mode,Ca(43),Mode,Ca(44),Mode,Mn(55),Mode,Zn(66),Mode,Sr(86),Mode,Sr(88),Mode,Ba(137),Mode,Ba(138),Mode,Th(232),Mode,U(238),Mode,Th(248),Mode

1222,1572.77499,39619.93,1,219608.71,1,24335.82,1,3110.49,1,9672.43,1,15983.73,1,33505.95,1,487898.45,1,2759.27,1,82.64,1,11501.68,1,76334.61,1,84.03,1,1122.82,1,00.00E00,1,00.00E00,1,00.00E00,1

1223,1573.87499,43090.23,1,213548.15,1,22995.39,1,2291.04,1,8332.46,1,14775.13,1,34065.60,1,443913.02,1,1592.54,1,74.63,1,10692.36,1,87918.57,1,190.48,1,1035.10,1,00.00E00,1,00.00E00,1,00.00E00,1

1224,1574.97499,41065.85,1,227736.76,1,19669.06,1,2433.19,1,6767.46,1,15259.87,1,27203.00,1,475866.58,1,1725.57,1,74.63,1,10237.69,1,80391.82,1,285.72,1,1070.19,1,00.00E00,1,00.00E00,1,00.00E00,1

1225,1576.07499,36950.67,1,196403.04,1,16814.91,1,2700.76,1,9737.49,1,11486.23,1,25223.55,1,397355.90,1,1392.23,1,74.63,1,11538.05,1,74401.43,1,84.03,1,859.66,1,00.00E00,1,00.00E00,1,00.00E00,1

1226,1577.17499,41466.27,1,206026.82,1,10850.55,1,2817.83,1,8925.06,1,15804.80,1,26649.76,1,311583.55,1,1400.64,1,00.00E00,1,6927.88,1,55776.66,1,179.27,1,578.95,1,00.00E00,1,00.00E00,1,00.00E00,1

1227,1578.27499,40776.66,1,232274.01,1,25381.76,1,2959.98,1,12932.86,1,13441.32,1,39723.62,1,621978.02,1,2201.13,1,74.63,1,13511.41,1,110027.46,1,95.24,1,1228.09,1,00.00E00,1,00.00E00,1,00.00E00,1

1228,1579.37499,49542.26,1,214806.83,1,21447.35,1,2575.34,1,9218.73,1,14039.90,1,31143.28,1,434351.02,1,1642.24,1,00.00E00,1,9655.73,1,73628.61,1,00.00E00,1,1228.09,1,00.00E00,1,00.00E00,1,00.00E00,1

1229,1580.47499,40665.44,1,216238.96,1,18158.90,1,3252.64,1,7119.14,1,15739.73,1,31242.16,1,395300.88,1,2617.82,1,00.00E00,1,8610.03,1,56076.23,1,190.48,1,1052.65,1,41.84,1,00.00E00,1,00.00E00,1

1230,1581.57499,36149.92,1,208295.62,1,16928.17,1,2023.46,1,7862.95,1,13662.53,1,33564.86,1,462936.60,1,1784.44,1,74.63,1,9701.20,1,72282.10,1,95.24,1,964.92,1,52.36,1,00.00E00,1,42.92,1

1231,1582.67499,42155.89,1,224820.88,1,17294.36,1,3545.31,1,9231.04,1,13395.77,1,26001.86,1,448374.29,1,2284.47,1,00.00E00,1,10574.15,1,73797.73,1,274.51,1,684.22,1,00.00E00,1,54.35,1,00.00E00,1

1232,1583.77499,41510.76,1,193274.32,1,15527.59,1,1806.06,1,5775.74,1,15118.35,1,25520.15,1,317396.28,1,1750.80,1,239.92,1,6773.31,1,53564.19,1,00.00E00,1,1000.01,1,00.00E00,1,00.00E00,1,00.00E00,1

1233,1584.87499,37617.96,1,226387.95,1,21281.22,1,2525.16,1,8205.85,1,14082.19,1,29262.50,1,511086.42,1,1859.37,1,74.63,1,14393.54,1,94095.22,1,347.34,1,807.03,1,00.00E00,1,00.00E00,1,00.00E00,1

1234,1585.97499,44736.51,1,215219.42,1,16614.83,1,1613.75,1,7915.70,1,14409.14,1,29258.29,1,449849.86,1,1917.48,1,00.00E00,1,23679.85,1,77522.83,1,179.27,1,1035.10,1,00.00E00,1,00.00E00,1,00.00E00,1

1235,1587.07499,40087.06,1,221665.98,1,23905.37,1,3394.80,1,8168.92,1,15461.57,1,36735.65,1,542639.75,1,2284.47,1,00.00E00,1,14930.10,1,96417.06,1,190.48,1,842.11,1,00.00E00,1,00.00E00,1,00.00E00,1

1236,1588.17499,38863.62,1,231155.35,1,27148.98,1,3854.70,1,11583.98,1,14970.33,1,120569.03,1,586169.61,1,1983.99,1,165.29,1,12456.52,1,102997.80,1,95.24,1,754.39,1,52.36,1,54.35,1,00.00E00,1

1237,1589.27499,34237.10,1,215365.92,1,15282.21,1,2508.44,1,11682.46,1,14695.43,1,29493.91,1,494032.59,1,1992.41,1,149.25,1,10846.95,1,74803.90,1,274.51,1,877.20,1,00.00E00,1,00.00E00,1,00.00E00,1

1238,1590.37499,41599.74,1,228388.75,1,24226.32,1,2868.00,1,12364.81,1,16990.66,1,34204.47,1,577951.29,1,1233.96,1,82.64,1,14875.54,1,101204.70,1,84.03,1,1526.35,1,52.36,1,00.00E00,1,00.00E00,1

1239,1591.47499,46805.58,1,226926.27,1,22436.58,1,2742.57,1,12340.19,1,18545.83,1,30057.72,1,484141.63,1,1642.24,1,00.00E00,1,10774.20,1,91749.95,1,95.24,1,1140.37,1,00.00E00,1,00.00E00,1,00.00E00,1

1240,1592.57499,38440.98,1,231478.38,1,26926.19,1,4983.59,1,11441.54,1,13727.60,1,40089.77,1,608563.92,1,2267.65,1,74.63,1,14921.01,1,103668.36,1,84.03,1,1701.79,1,00.00E00,1,00.00E00,1,00.00E00,1

1241,1593.67499,48296.27,1,238352.40,1,17105.60,1,2533.53,1,14056.66,1,17924.40,1,34164.49,1,443884.36,2,1483.97,1,00.00E00,1,12092.77,1,82894.87,1,84.03,1,719.30,1,52.36,1,00.00E00,1,00.00E00,1

1242,1594.77499,47428.55,1,231134.41,1,31563.59,1,4749.45,1,14681.01,1,14039.90,1,42408.79,1,642098.24,1,1359.35,1,00.00E00,1,12783.89,1,117834.19,1,285.72,1,1140.37,1,00.00E00,1,00.00E00,1,00.00E00,1

1243,1595.87499,47028.07,1,218669.82,1,21402.04,1,3854.70,1,11837.22,1,13784.53,1,29790.54,1,543761.16,1,1667.47,1,157.27,1,23361.47,1,154140.90,1,179.27,1,947.38,1,00.00E00,1,00.00E00,1,55.25,1

1244,1596.97499,45248.21,1,220233.66,1,17573.73,1,17244.58,1,12099.26,1,13952.07,1,35027.14,1,558627.61,1,2067.33,1,74.63,1,9937.62,1,85847.77,1,358.55,1,947.38,1,00.00E00,1,00.00E00,1,00.00E00,1

1245,1598.07499,49186.26,1,214325.48,1,16150.48,1,4874.88,1,11620.91,1,13765.01,1,30257.58,1,451727.95,1,1283.66,1,82.64,1,11037.91,1,89115.70,1,274.51,1,1017.56,1,00.00E00,1,00.00E00,1,00.00E00,1

1246,1599.17499,40999.11,1,201130.95,1,13462.68,1,1831.15,1,9431.51,1,15572.18,1,138418.22,1,346788.54,1,1759.21,1,00.00E00,1,7937.16,1,57805.23,1,285.72,1,1421.08,1,00.00E00,1,00.00E00,1,00.00E00,1

1247,1600.27499,40554.21,1,221214.45,1,19540.70,1,794.32,1,10117.33,1,15393.25,1,50690.59,1,657236.23,1,1517.61,1,00.00E00,1,13365.90,1,82308.17,1,95.24,1,298.25,1,00.00E00,1,00.00E00,1,00.00E00,1

1248,1601.37499,46271.62,1,220888.51,1,23316.34,1,2625.51,1,14162.18,1,12164.48,1,27013.68,1,438725.38,1,1075.70,1,223.88,1,9492.05,1,98302.06,1,285.72,1,1070.19,1,00.00E00,1,00.00E00,1,00.00E00,1

1249,1602.47499,38463.22,1,210534.66,1,15440.76,1,1011.72,1,13451.66,1,17283.47,1,24666.12,1,375005.64,1,1750.80,1,74.63,1,9582.98,1,63775.97,1,84.03,1,578.95,1,00.00E00,1,00.00E00,1,00.00E00,1

1250,1603.57499,43023.50,1,210836.60,1,14772.58,1,2558.61,1,17630.53,1,17397.34,1,20711.77,1,378398.62,1,2167.49,1,165.29,1,10401.37,1,67958.17,1,190.48,1,982.47,1,52.36,1,00.00E00,1,00.00E00,1

1251,1604.67499,39130.55,1,204971.67,1,17683.22,1,1881.32,1,12417.57,1,13007.03,1,25387.62,1,428022.32,1,1725.57,1,74.63,1,38082.05,1,73335.33,1,00.00E00,1,964.92,1,00.00E00,1,00.00E00,1,00.00E00,1

1252,1605.77499,55149.71,1,229543.22,1,24003.54,1,1638.83,1,12969.79,1,17615.32,1,23645.95,1,484343.02,1,1759.21,1,82.64,1,10892.42,1,80524.57,1,84.03,1,1193.00,1,00.00E00,1,00.00E00,1,00.00E00,1

1253,1606.87499,39998.09,1,205402.10,1,19091.42,1,2868.00,1,14276.50,1,15294.03,1,21862.28,1,402781.97,1,1200.32,1,74.63,1,11747.21,1,76405.26,1,274.51,1,719.30,1,00.00E00,1,00.00E00,1,00.00E00,1

1254,1607.97499,43757.64,1,227647.04,1,16637.48,1,2215.78,1,10166.57,1,14462.82,1,29443.42,1,453206.33,1,2067.33,1,82.64,1,11019.72,1,80053.53,1,00.00E00,1,859.66,1,00.00E00,1,54.35,1,00.00E00,1

1255,1609.07499,48496.52,1,208361.39,1,16671.45,1,2383.02,1,13149.17,1,12297.86,1,24781.81,1,366930.08,1,1483.97,1,00.00E00,1,11638.08,1,75902.16,1,179.27,1,1333.36,1,00.00E00,1,00.00E00,1,00.00E00,1

1256,1610.17499,40754.42,1,193253.40,1,13085.19,1,1663.91,1,8332.46,1,14352.21,1,22552.18,1,370566.02,1,1675.88,1,00.00E00,1,29265.42,1,60886.79,1,179.27,1,1070.19,1,52.36,1,00.00E00,1,00.00E00,1

1257,1611.27499,48474.27,1,206558.88,1,15693.69,1,2023.46,1,14786.53,1,13129.02,1,25867.23,1,418968.15,1,1900.66,1,00.00E00,1,10183.13,1,72205.04,1,84.03,1,1210.54,1,00.00E00,1,00.00E00,1,00.00E00,1

1258,1612.37499,47695.54,1,189067.22,1,10673.14,1,1229.12,1,12556.50,1,16338.35,1,24176.01,1,325788.02,1,1317.30,1,00.00E00,1,24216.54,1,53748.20,1,95.24,1,1035.10,1,00.00E00,1,00.00E00,1,00.00E00,1

1259,1613.47499,39953.60,1,205067.32,1,12273.61,1,2650.59,1,12793.92,1,15938.18,1,17657.94,1,299533.00,1,1767.62,1,74.63,1,7118.83,1,48547.01,1,179.27,1,877.20,1,52.36,1,00.00E00,1,00.00E00,1

1260,1614.57499,37417.77,1,205171.94,1,18060.75,1,4197.55,1,25511.08,1,15972.35,1,27005.26,1,373366.83,1,1917.48,1,82.64,1,8982.84,1,61565.19,1,84.03,1,1421.08,1,00.00E00,1,00.00E00,1,00.00E00,1

1261,1615.67499,41332.80,1,194965.65,1,21858.90,1,3470.05,1,23797.63,1,17950.43,1,22459.63,1,334334.02,1,2267.65,1,74.63,1,8973.75,1,56320.17,1,179.27,1,1526.35,1,00.00E00,1,00.00E00,1,00.00E00,1

1262,1616.77499,38440.98,1,194096.07,1,15625.74,1,2675.68,1,24307.78,1,14207.44,1,19292.09,1,302769.82,1,2201.13,1,149.25,1,6900.60,1,58616.25,1,00.00E00,1,771.94,1,00.00E00,1,00.00E00,1,00.00E00,1

1263,1617.87499,39464.21,1,212702.08,1,19993.75,1,2985.06,1,25505.80,1,14882.49,1,30190.26,1,450732.55,1,1842.55,1,231.90,1,10601.43,1,73264.69,1,168.07,1,666.67,1,00.00E00,1,00.00E00,1,00.00E00,1

1264,1618.97499,45426.19,1,201023.35,1,19397.23,1,3227.56,1,30241.92,1,16548.19,1,30884.51,1,349360.20,1,2692.75,1,74.63,1,9637.54,1,69028.41,1,190.48,1,1245.63,1,41.84,1,00.00E00,1,00.00E00,1

1265,1620.07499,44002.35,1,214098.26,1,21315.20,1,1806.06,1,29997.36,1,15359.09,1,27394.43,1,448913.54,1,1742.39,1,74.63,1,9773.94,1,67654.23,1,179.27,1,842.11,1,00.00E00,1,00.00E00,1,00.00E00,1

1266,1621.17499,36016.47,1,210134.08,1,15595.54,1,2190.70,1,22991.94,1,17638.10,1,24790.23,1,471136.46,1,1842.55,1,00.00E00,1,10774.20,1,64961.67,1,179.27,1,877.20,1,00.00E00,1,00.00E00,1,00.00E00,1

1267,1622.27499,42934.51,1,209069.86,1,21356.73,1,1613.75,1,27155.99,1,16247.25,1,25015.30,1,389878.51,1,2517.66,1,239.92,1,9710.29,1,60762.67,1,95.24,1,1105.28,1,52.36,1,54.35,1,00.00E00,1

1268,1623.37499,42823.28,1,206777.09,1,18615.72,1,1588.66,1,23118.60,1,16082.96,1,24260.15,1,407080.49,1,1592.54,1,165.29,1,8246.32,1,60925.31,1,168.07,1,1000.01,1,00.00E00,1,42.55,1,00.00E00,1

1269,1624.47499,42400.60,1,205094.22,1,17317.02,1,1831.15,1,17839.84,1,14065.93,1,26641.34,1,355298.93,1,1917.48,1,74.63,1,6882.42,1,54488.53,1,190.48,1,877.20,1,00.00E00,1,00.00E00,1,00.00E00,1

1270,1625.57499,36416.83,1,195927.88,1,18449.60,1,2433.19,1,15808.38,1,15297.28,1,23063.30,1,292189.00,1,2284.47,1,82.64,1,8264.50,1,52156.32,1,190.48,1,684.22,1,00.00E00,1,00.00E00,1,00.00E00,1

1271,1626.67499,38151.81,1,210427.04,1,22047.68,1,3470.05,1,37487.95,1,14916.65,1,25627.43,1,443041.21,1,1208.73,1,74.63,1,9792.13,1,66273.68,1,263.31,1,842.11,1,00.00E00,1,00.00E00,1,00.00E00,1

1272,1627.77499,44425.05,1,211473.36,1,21639.91,1,1446.51,1,30778.55,1,18157.03,1,26325.81,1,371139.02,1,1742.39,1,00.00E00,1,9837.59,1,61464.61,1,00.00E00,1,964.92,1,00.00E00,1,00.00E00,1,00.00E00,1

1273,1628.87499,46738.84,1,204896.95,1,22602.71,1,3227.56,1,30829.58,1,17215.15,1,29897.83,1,438159.45,1,7113.79,1,157.27,1,10619.61,1,69516.45,1,190.48,1,2000.05,1,00.00E00,1,00.00E00,1,00.00E00,1

1274,1629.97499,40242.78,1,197708.98,1,11805.54,1,1638.83,1,18166.99,1,17013.43,1,18114.32,1,268431.89,1,1767.62,1,82.64,1,6209.58,1,39459.94,1,168.07,1,1280.72,1,00.00E00,1,00.00E00,1,00.00E00,1

1275,1631.07499,39352.99,1,192189.63,1,8363.15,1,819.41,1,15440.79,1,13960.20,1,16911.35,1,218805.28,1,1308.89,1,00.00E00,1,5436.74,1,42043.81,1,84.03,1,1000.01,1,00.00E00,1,00.00E00,1,00.00E00,1

1276,1632.17499,40754.42,1,191272.31,1,13726.92,1,1973.29,1,21656.80,1,18602.77,1,20019.80,1,238174.49,1,975.55,1,74.63,1,9173.80,1,38328.48,1,00.00E00,1,1210.54,1,00.00E00,1,00.00E00,1,00.00E00,1

1277,1633.27499,43223.71,1,189637.90,1,9506.81,1,409.70,1,17356.15,1,16162.67,1,16356.14,1,238625.49,1,1808.91,1,165.29,1,6318.69,1,37800.19,1,95.24,1,771.94,1,00.00E00,1,00.00E00,1,00.00E00,1

1278,1634.37499,43846.62,1,197912.20,1,9661.56,1,2240.87,1,17426.50,1,19059.90,1,14806.23,1,263753.21,1,2192.72,1,74.63,1,7564.36,1,42028.83,1,168.07,1,929.84,1,00.00E00,1,00.00E00,1,00.00E00,1

1279,1635.47499,45581.93,1,189637.90,1,8506.58,1,1689.00,1,14983.51,1,14238.35,1,15153.22,1,218714.59,1,1983.99,1,00.00E00,1,5673.14,1,38405.48,1,95.24,1,1263.18,1,00.00E00,1,42.55,1,00.00E00,1

1280,1636.57499,36705.99,1,187459.80,1,7895.13,1,1663.91,1,14174.49,1,17070.37,1,12259.63,1,164994.88,1,1917.48,1,74.63,1,4336.60,1,25818.29,1,95.24,1,842.11,1,00.00E00,1,00.00E00,1,00.00E00,1

1281,1637.67499,40109.31,1,168480.45,1,2498.19,1,00.00E00,1,6269.84,1,11909.12,1,6946.17,1,44213.14,1,1925.89,1,00.00E00,1,2600.09,1,8366.27,1,00.00E00,1,894.75,1,00.00E00,1,00.00E00,1,00.00E00,1

1282,1638.77499,40709.93,1,170057.24,1,1154.73,1,00.00E00,1,2528.21,1,14314.80,1,3340.48,1,15663.59,1,1300.48,1,74.63,1,2854.65,1,1288.48,1,00.00E00,1,1649.16,1,00.00E00,1,00.00E00,1,00.00E00,1

1283,1639.87499,39775.64,1,165948.17,1,577.36,1,00.00E00,1,3198.09,1,15438.80,1,1889.89,1,14511.96,1,683.49,1,82.64,1,1945.50,1,1880.39,1,369.75,1,859.66,1,00.00E00,1,00.00E00,1,00.00E00,1

1284,1640.97499,37506.75,1,175588.43,1,766.05,1,00.00E00,1,3463.58,1,14908.51,1,2470.12,1,13957.38,1,975.55,1,00.00E00,1,1745.49,1,1591.91,1,95.24,1,1000.01,1,00.00E00,1,00.00E00,1,00.00E00,1

1285,1642.07499,40598.70,1,164532.80,1,388.68,1,00.00E00,1,2123.83,1,15728.34,1,3332.07,1,14787.92,1,1475.56,1,00.00E00,1,1818.22,1,1228.65,1,274.51,1,578.95,1,00.00E00,1,00.00E00,1,00.00E00,1

1286,1643.17499,43957.86,1,162735.28,1,377.36,1,00.00E00,1,3083.81,1,14505.11,1,3481.34,1,14358.06,1,1575.72,1,82.64,1,2363.71,1,1673.11,1,00.00E00,1,771.94,1,00.00E00,1,00.00E00,1,00.00E00,1

1287,1644.27499,41621.99,1,154811.66,1,00.00E00,1,00.00E00,1,2871.06,1,11752.97,1,3033.54,1,17165.55,1,1942.71,1,00.00E00,1,1745.49,1,1354.72,1,263.31,1,578.95,1,00.00E00,1,00.00E00,1,00.00E00,1

1288,1645.37499,48607.77,1,169531.64,1,00.00E00,1,409.70,1,3426.66,1,12175.87,1,2461.71,1,12479.43,1,625.39,1,00.00E00,1,1827.32,1,2066.29,1,274.51,1,824.57,1,00.00E00,1,00.00E00,1,00.00E00,1

1289,1646.47499,35349.20,1,172359.81,1,566.04,1,00.00E00,1,2503.60,1,14303.41,1,1740.63,1,11943.46,1,2184.31,1,00.00E00,1,2418.26,1,1769.27,1,95.24,1,1122.82,1,00.00E00,1,00.00E00,1,00.00E00,1

1290,1647.57499,42645.31,1,167324.78,1,600.00,1,00.00E00,1,2213.49,1,14737.72,1,3639.02,1,12885.40,1,1650.65,1,231.90,1,2900.11,1,732.91,1,00.00E00,1,1052.65,1,00.00E00,1,00.00E00,1,00.00E00,1

1291,1648.67499,43579.66,1,164774.66,1,188.68,1,00.00E00,1,3071.50,1,14226.96,1,3191.22,1,14838.34,1,1567.31,1,00.00E00,1,1945.50,1,2036.38,1,00.00E00,1,701.76,1,00.00E00,1,42.55,1,00.00E00,1

1292,1649.77499,46182.63,1,168710.40,1,00.00E00,1,00.00E00,1,3504.02,1,15396.51,1,1915.12,1,11598.53,1,975.55,1,82.64,1,2754.64,1,1450.88,1,274.51,1,543.86,1,00.00E00,1,00.00E00,1,00.00E00,1

1293,1650.87499,41577.50,1,168686.51,1,566.04,1,00.00E00,1,2565.13,1,11661.89,1,3174.40,1,11099.71,1,1400.64,1,82.64,1,1827.32,1,1865.43,1,84.03,1,631.58,1,00.00E00,1,00.00E00,1,00.00E00,1

1294,1651.97499,43290.45,1,178252.75,1,388.68,1,00.00E00,1,3059.19,1,13151.79,1,2884.28,1,12245.94,1,1175.86,1,00.00E00,1,1736.40,1,1006.42,1,84.03,1,877.20,1,00.00E00,1,00.00E00,1,00.00E00,1

1295,1653.07499,37284.31,1,172733.14,1,188.68,1,00.00E00,1,2769.08,1,14749.10,1,5188.49,1,11444.63,1,1116.99,1,00.00E00,1,2427.35,1,1495.75,1,84.03,1,877.20,1,00.00E00,1,42.55,1,00.00E00,1

1296,1654.17499,45070.23,1,176603.96,1,200.00,1,00.00E00,1,8590.95,1,14527.88,1,2453.30,1,11150.12,1,883.80,1,74.63,1,2527.35,1,1384.64,1,190.48,1,596.50,1,00.00E00,1,00.00E00,1,00.00E00,1

1297,1655.27499,40398.49,1,317381.79,1,124146.37,1,22590.09,1,593506.56,1,60348.66,1,15496.01,1,218445.19,1,48944.01,1,00.00E00,1,17431.13,1,76505.89,1,834.74,1,3894.93,1,408.34,1,00.00E00,1,00.00E00,1

1298,1656.37499,44113.59,1,307254.35,1,580363.32,1,27292.07,1,227690.61,1,30639.56,1,52265.07,1,1287334.25,1,15769.21,1,314.54,1,19995.99,1,253869.30,1,190.48,1,4859.95,1,219.72,1,54.35,1,00.00E00,1

1299,1657.47499,44692.02,1,308641.89,1,136102.77,1,431837.02,1,319964.05,1,20756.69,1,62330.15,1,930542.34,1,13906.13,1,74.63,1,15530.34,1,134680.83,1,1098.05,1,2035.14,1,00.00E00,1,00.00E00,1,00.00E00,1

1300,1658.57499,39553.19,1,296347.55,1,124646.06,1,17520.62,1,60919.11,1,19201.43,1,82392.20,1,1229902.05,1,8263.10,1,00.00E00,1,21924.28,1,169648.92,1,263.31,1,1982.51,1,00.00E00,1,00.00E00,1,00.00E00,1

1301,1659.67499,44425.05,1,293076.10,1,104005.12,1,15412.72,1,43742.64,1,19627.66,1,73482.43,1,1024789.44,1,6187.03,1,157.27,1,20468.96,1,171091.04,1,179.27,1,1228.09,1,00.00E00,1,00.00E00,1,42.92,1

1302,1660.77499,44803.26,1,298837.27,1,105348.31,1,11899.79,1,53235.69,1,15762.50,1,73415.03,1,1337301.23,1,9989.80,1,00.00E00,1,47000.77,1,191687.74,1,84.03,1,1070.19,1,00.00E00,1,00.00E00,1,00.00E00,1

1303,1661.87499,40754.42,1,292764.55,1,125497.82,1,10670.34,1,30650.11,1,18049.67,1,73082.27,1,1266825.41,1,6728.40,1,165.29,1,24362.08,1,196721.02,1,84.03,1,1052.65,1,52.36,1,00.00E00,1,00.00E00,1

1304,1662.97499,45937.90,1,281059.13,1,85908.72,1,12652.53,1,38468.15,1,18625.54,1,63679.80,1,1085114.02,1,4301.46,1,00.00E00,1,20614.49,1,168597.41,1,263.31,1,235085.75,1,00.00E00,1,42.55,1,00.00E00,1

1305,1664.07499,46516.35,1,305720.03,1,109056.50,1,10971.43,1,33308.74,1,18812.62,1,78044.48,1,1105107.02,1,4268.58,1,74.63,1,22579.20,1,179493.71,1,00.00E00,1,842.11,1,52.36,1,00.00E00,1,00.00E00,1

1306,1665.17499,43179.22,1,286686.76,1,84074.58,1,12368.16,1,26515.61,1,17939.05,1,66802.47,1,1190402.35,1,5576.85,1,157.27,1,22906.66,1,177815.18,1,95.24,1,807.03,1,41.84,1,42.55,1,00.00E00,1

1307,1666.27499,42089.15,1,308150.40,1,116031.11,1,11807.79,1,26322.09,1,16250.51,1,71443.79,1,1027193.05,1,3935.21,1,00.00E00,1,24662.27,1,176540.23,1,464.99,1,789.48,1,41.84,1,00.00E00,1,00.00E00,1

1308,1667.37499,43223.71,1,263306.94,1,68115.48,1,11322.70,1,18636.62,1,14970.33,1,54445.86,1,796044.19,1,5636.49,1,231.90,1,18040.50,1,121327.69,1,84.03,1,298.25,1,94.20,1,00.00E00,1,00.00E00,1

1309,1668.47499,43179.22,1,262663.35,1,75139.56,1,8788.61,1,19127.36,1,17002.04,1,48042.75,1,859655.39,1,4618.77,1,82.64,1,22761.12,1,164398.08,1,95.24,1,684.22,1,00.00E00,1,00.00E00,1,42.92,1

1310,1669.57499,45047.98,1,280987.25,1,75695.34,1,10452.89,1,20066.65,1,15350.96,1,64970.53,1,1049289.64,1,3785.35,1,165.29,1,20259.76,1,176055.16,1,95.24,1,894.75,1,52.36,1,00.00E00,1,00.00E00,1

1311,1670.67499,40198.29,1,256880.52,1,56289.27,1,9282.03,1,14758.39,1,15904.02,1,49364.54,1,800277.26,1,4026.96,1,74.63,1,17349.28,1,124448.52,1,84.03,1,1228.09,1,00.00E00,1,00.00E00,1,00.00E00,1

1312,1671.77499,43268.21,1,274411.23,1,70391.17,1,11975.07,1,17058.90,1,17699.91,1,65804.37,1,1110592.40,1,2884.66,1,74.63,1,23079.49,1,180605.61,1,179.27,1,877.20,1,00.00E00,1,00.00E00,1,00.00E00,1

1313,1672.87499,48385.27,1,240826.50,1,41130.91,1,6840.06,1,15305.37,1,15572.18,1,45893.88,1,699277.51,1,1800.50,1,00.00E00,1,14066.15,1,96453.48,1,369.75,1,929.84,1,52.36,1,00.00E00,1,00.00E00,1

1314,1673.97499,41599.74,1,259697.00,1,61447.92,1,9282.03,1,15551.59,1,17626.71,1,49995.99,1,877970.75,1,8543.74,1,00.00E00,1,20432.57,1,150082.53,1,95.24,1,1122.82,1,52.36,1,00.00E00,1,00.00E00,1

1315,1675.07499,43579.66,1,238086.15,1,92084.92,1,5468.61,1,13741.85,1,15705.57,1,44170.23,1,709170.96,1,3301.36,1,00.00E00,1,17212.85,1,129874.12,1,84.03,1,789.48,1,00.00E00,1,00.00E00,1,00.00E00,1

1316,1676.17499,45492.94,1,262082.64,1,62290.75,1,6672.81,1,14125.25,1,14150.51,1,48832.03,1,755749.73,1,2943.54,1,82.64,1,16712.64,1,132395.32,1,168.07,1,1228.09,1,00.00E00,1,00.00E00,1,00.00E00,1

1317,1677.27499,34904.35,1,233557.21,1,46763.61,1,6505.55,1,12695.44,1,16204.96,1,41771.15,1,609215.80,1,2626.23,1,00.00E00,1,15484.86,1,105667.25,1,00.00E00,1,964.92,1,00.00E00,1,00.00E00,1,00.00E00,1

1318,1678.37499,47940.28,1,238654.55,1,49502.80,1,5928.54,1,13275.80,1,15682.80,1,55180.54,1,876286.63,1,1742.39,1,82.64,1,20960.12,1,142473.14,1,358.55,1,824.57,1,104.71,1,00.00E00,1,00.00E00,1

1319,1679.47499,43779.88,1,243001.56,1,48735.81,1,5803.10,1,11984.95,1,19216.07,1,43164.28,1,693789.11,1,2792.91,1,74.63,1,15302.97,1,100221.42,1,84.03,1,1368.44,1,00.00E00,1,00.00E00,1,00.00E00,1

1320,1680.57499,45114.72,1,229833.34,1,40643.61,1,4557.12,1,10027.65,1,14017.13,1,42351.97,1,620999.90,1,2217.95,1,74.63,1,15439.39,1,114086.00,1,00.00E00,1,508.78,1,00.00E00,1,00.00E00,1,00.00E00,1

1321,1681.67499,41844.45,1,238418.21,1,40163.87,1,4406.60,1,7789.10,1,14973.58,1,44810.01,1,662603.59,1,1392.23,1,00.00E00,1,13565.97,1,97036.10,1,84.03,1,666.67,1,00.00E00,1,00.00E00,1,00.00E00,1

1322,1682.77499,41132.59,1,221070.92,1,37372.45,1,3687.46,1,9737.49,1,13773.14,1,36695.67,1,635202.58,1,2100.97,1,74.63,1,12520.17,1,95440.33,1,84.03,1,894.75,1,41.84,1,00.00E00,1,00.00E00,1

1323,1683.87499,47829.04,1,231415.57,1,42177.30,1,5778.02,1,14248.36,1,16395.28,1,46649.44,1,661020.28,1,2417.51,1,157.27,1,13047.62,1,117399.14,1,285.72,1,771.94,1,00.00E00,1,00.00E00,1,00.00E00,1

1324,1684.97499,43846.62,1,227401.80,1,36397.95,1,3470.05,1,9864.10,1,16792.20,1,48451.07,1,588896.86,1,2984.82,1,82.64,1,11910.89,1,104426.77,1,168.07,1,947.38,1,00.00E00,1,00.00E00,1,00.00E00,1

1325,1686.07499,42267.12,1,251113.49,1,47976.38,1,5811.47,1,14019.73,1,14783.26,1,59698.37,1,857749.77,1,4828.28,1,00.00E00,1,17140.09,1,140069.24,1,168.07,1,1245.63,1,00.00E00,1,00.00E00,1,00.00E00,1

1326,1687.17499,39375.24,1,254558.04,1,43548.60,1,10302.35,1,13337.35,1,17325.76,1,44601.66,1,709478.82,1,4369.51,1,00.00E00,1,15093.80,1,122073.58,1,95.24,1,1263.18,1,00.00E00,1,54.35,1,00.00E00,1

1327,1688.27499,47250.56,1,246035.49,1,36783.21,1,4314.62,1,8304.32,1,15316.80,1,45738.14,1,706394.93,1,3693.60,1,74.63,1,15157.46,1,96779.06,1,84.03,1,859.66,1,00.00E00,1,00.00E00,1,00.00E00,1

