,Test User,Test User,Test User,Test User,Test User,Test User,Test User,Test User,Test User,Test User,Test User,Test User,Test User,Test User,LAtools,LAtools,LAtools,LAtools,LAtools,LAtools,LAtools,LAtools,LAtools,LAtools,LAtools,LAtools,LAtools,LAtools
,Residual Summary,Residual Summary,Residual Summary,Residual Summary,Residual Summary,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Kolmogorov-Smirnov,Kolmogorov-Smirnov,Residual Summary,Residual Summary,Residual Summary,Residual Summary,Residual Summary,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Residual Regression,Kolmogorov-Smirnov,Kolmogorov-Smirnov
,N,Median,LQ,IQR,UQ,Slope,Slope t,Slope p,Intercept,Intercept t,Intercept p,R2,KS,p,N,Median,LQ,IQR,UQ,Slope,Slope t,Slope p,Intercept,Intercept t,Intercept p,R2,KS,p
Mg/Ca,149,0.2784826389999999,0.09479748499999996,0.4990734640000003,0.5938709490000003,0.027358476539839395,1.200408368195659,0.2319116588072786,0.2606189109154249,1.8787306169758469,0.06226131442461107,0.009707428824594633,0.1677852348993289,0.026476455184426647,140,0.01625057518985784,-0.3282598006254549,0.5570503270800133,0.22879052645455844,-0.0751462804617105,-1.6747582686961542,0.09624639103896256,0.4087515063686764,1.5198499666880847,0.1308365408479638,0.019919881670350192,0.05714285714285716,0.9723619262537029
Sr/Ca,149,-0.005628565000000085,-0.01963226699999976,0.026653240999999772,0.007020974000000013,-0.12196042908046113,-3.390933396986018,0.0008947895106702207,0.16462142807462501,3.280857895314694,0.001292569559732826,0.0725460141994756,0.12751677852348997,0.1644211644927077,140,-0.012361965394218188,-0.04688640504106356,0.05041595630968165,0.003529551268618092,-0.08329206046314167,-1.1866890858585082,0.2373891762035021,0.0879236389001661,0.8962815717462451,0.3716632157130655,0.010101490970300997,0.17857142857142858,0.01995329520711152
Ba/Ca,149,-0.07296603700000004,-0.10651162600000008,0.18970430900000013,0.08319268300000005,0.37568332483303246,2.071455696522289,0.04006409281345679,-0.4651345155991133,-1.500989748752227,0.13550309875284117,0.028362101676882467,0.09395973154362414,0.5064699382109814,123,-0.061287666225349424,-0.2432605080643816,0.2895958036431149,0.04633529557873328,-0.32093789744418033,-7.034369795158329,1.2939715477150317e-10,0.3928673527710699,5.232681994913859,7.11754692036114e-07,0.2902491429322678,0.1707317073170732,0.04900506063091183
Al/Ca,149,0.03360771439,0.007642554880000003,0.10741577779,0.11505833267,0.4110126508125499,4.5497379613568665,1.1162187903441171e-05,0.05545013894042804,3.4084411207972187,0.0008432586693833924,0.12343530863526386,0.24832214765100674,0.00015384673760682188,133,-0.005636097742168639,-0.043066005979953206,0.049493628944105944,0.0064276229641527394,-0.8969626501350456,-61.791933013983524,9.10544414028933e-99,0.03335118656093158,13.909677579756075,1.4161344655859972e-27,0.9668290858583511,0.24812030075187963,0.00042429465504111545
Mn/Ca,149,0.010718717310000014,-0.0004431198000000025,0.038431429299999986,0.037988309499999984,-0.06497226820721572,-3.1429023320116563,0.0020237935994231143,0.02895883147963129,5.342507203643401,3.418448491842693e-07,0.06296514140603249,0.22818791946308725,0.0006716891565372322,133,-0.012925534010473347,-0.0335686808221963,0.030146403706830027,-0.0034222771153662734,-0.5630564581302232,-11.819588011453162,2.1682951468131438e-22,0.027133033564566537,5.749607653819875,5.986481602376333e-08,0.5160742061715218,0.2932330827067669,1.4806961046076818e-05
