statistic,sample,rep,Li7,Mg24,Al27,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
H15_mean,150,0,0.00013990549707268427,3.101623572478269e-05,0.0002944636837293743,0.005252159465969342,0.00021905111061859087,6.299740975449321e-05,0.0037025031848849387,1.7645062146635231e-06,9.411330533416921e-06,1.6130285491796563e-06,1.1861217961859386e-05,1.0872216105121989e-05,9.403316538321261e-07,4.379886385774561e-05,1.4461213987176493e-05,0.00017815741330675682,6.494866876187162e-05,0.00030694700036115714,6.493199736214019e-05,0.0005573175255565192,0.00010643906149691707,0.010382045356348743,0.00011102015968323212,0.0001190425094205444,0.00037549888769678017
H15_mean,151,0,9.337276025249687e-05,3.426051414358706e-06,0.00018385051563846226,0.005714484216139242,4.6363795918423586e-05,2.5573125789534426e-05,0.004203069728468613,-2.6427329622657465e-09,2.511380782171902e-06,1.591088558466151e-07,3.232052605253207e-06,7.451945552413287e-06,1.7597621943746693e-07,4.761706829095606e-05,1.7225701592885844e-05,0.00021038807333919736,7.807604176564392e-05,0.00036461375126220383,7.172157844663085e-05,0.000615870519585496,0.0001132624230692707,0.010751630265079646,0.00010486047041470913,0.00013186494842603924,0.0003372775365890076
H15_mean,152,0,0.00018071486591892167,0.0002268184558770527,0.0003366976837565283,0.0033078935396423487,0.0002202457734925655,3.208843020787066e-05,0.002607484093304295,7.292703032533949e-07,2.9057628368693016e-05,6.19432512470123e-07,4.090442174707402e-06,5.919028642856095e-06,7.023783253448684e-07,2.8680143513904787e-05,9.943366774634638e-06,0.00012375421706214247,4.554562495218661e-05,0.0002221491404413008,4.797535830111092e-05,0.00043708597409670383,8.403650256762885e-05,0.012132134090562253,0.000134825243271127,0.0002456060337601162,0.00041274126924370475
H15_mean,153,0,0.000208623178787216,2.7134294584464673e-07,6.844032043893716e-05,0.008364109533861764,2.4914679846950934e-05,1.2952555923222386e-05,0.005140009229214586,5.565553941352542e-08,1.6233574702241426e-06,1.0599999864413792e-07,1.5220223555559478e-06,4.372470949625852e-06,1.5367844572898494e-07,3.523509226840967e-05,1.5030414240757381e-05,0.00022283773660172296,9.128426740904284e-05,0.00046883521862266106,0.00010501127884027586,0.0009605476443813457,0.00018347039684849477,0.011792634431980833,0.0001479050244385821,5.6537617686971305e-05,0.0004669826529149678
H15_mean,154,0,0.0002534958347416402,1.6998384090099236e-05,9.212979826394182e-05,0.00651092128485792,1.1316097128769012e-06,1.6880177701054203e-05,0.004059333163963019,1.3398829580652808e-07,1.7538511303876266e-06,1.4876034606775658e-07,1.3166739170545917e-06,3.2244911272058518e-06,1.2551022944104786e-07,2.6618810778404865e-05,1.1825502235654186e-05,0.00017353183615578626,7.227086269917604e-05,0.00037618817649645895,8.233354122712625e-05,0.0007484704441704671,0.00014726451529792646,0.012170404288575186,0.00014946420530128005,5.454421024301124e-05,0.0004748604991656364
H15_mean,155,0,0.0002544161329336773,3.3355480826072136e-06,3.88068647481652e-05,0.00799734762905919,-1.4357819008745298e-06,1.2830186601584605e-05,0.0050304335864491435,6.840739383086216e-09,2.0416806622147947e-06,5.4933252364758666e-08,7.851479023546733e-07,3.95579102725861e-06,2.0783692015129328e-07,3.4857511593995535e-05,1.5372109116320933e-05,0.00022547900653212792,9.004759288747653e-05,0.0004644181124368861,0.00010213411227577178,0.000913583670696836,0.0001734630433242792,0.011889928144014782,0.00021933119691548348,8.413841536948487e-05,0.0006922020810195114
H15_mean,157,0,0.00021174364429596792,1.4208815447699723e-05,9.671635733494436e-05,0.007272542048765616,-0.00018615874714982773,2.0725186965759476e-05,0.004441814443586363,1.82651430712666e-07,1.747520906537148e-06,1.2421862175741806e-07,1.1350542019586225e-06,3.728626366199898e-06,1.002964166734157e-07,3.0101918017759357e-05,1.334952390004343e-05,0.00019666184120768765,7.86395234349852e-05,0.0004074264752355475,8.876698790335427e-05,0.0007956142456397811,0.0001561034069560565,0.011857606641066793,0.00011908816815515906,5.1496985582948326e-05,0.0003780626203296692
H15_se,117,0,1.2181709117828107e-05,1.641278182969096e-05,4.470997293834072e-05,0.00023824339406788535,0.0001612340008893289,3.1094320599080665e-06,0.00011240823482840019,1.6883530515134343e-08,2.553340737773242e-07,2.389815391519468e-08,1.0240343525905441e-07,3.124241556362479e-07,2.7813180488830036e-08,1.0530248726483003e-06,4.2618240881236465e-07,8.793323498378816e-06,3.68037295171499e-06,1.15593366330672e-05,3.7391783898586707e-06,3.9543799707198477e-05,5.341723891472638e-06,0.0001583542925920108,3.1566665697552387e-06,6.227460931715948e-07,1.2026615812056994e-05
H15_se,119,0,1.2181623581996557e-05,1.6052834822331705e-06,5.778700068601682e-06,0.00017601474377594873,0.00012444091308625734,2.19683391666922e-06,6.483819873167622e-05,1.825919176625021e-08,1.6121150825860262e-07,2.5015363108008678e-08,2.547577313904478e-07,2.1969336414409198e-07,2.433140872561345e-08,8.63183344052838e-07,3.2513551680291e-07,4.055862199096505e-06,1.5591996503939834e-06,6.957549854343792e-06,1.8322832818398512e-06,1.7207939691287486e-05,2.71752345271403e-06,0.00011396961931219492,1.8550245223946393e-06,5.263580757023175e-07,5.594447639376449e-06
H15_se,120,0,2.6882511991209626e-05,3.3598962469034038e-06,5.360504567651376e-05,0.0003377322698770942,0.00021700142818855807,1.8793653267814953e-05,0.0001566324158617091,5.3689677505453934e-08,1.0625519368843426e-06,7.620391038151405e-08,1.1760670631686427e-06,1.2733659567717452e-06,1.728894506553878e-07,2.3630011660708093e-06,9.417572759207655e-07,1.4539221578845388e-05,4.774626137275725e-06,1.1786905353083102e-05,4.447970738334055e-06,3.656797843328509e-05,9.106278598565486e-06,0.00023457798950172714,3.0173485649352187e-06,1.4670801282367434e-06,9.352057365445772e-06
H15_se,121,0,7.81583231819114e-06,4.9402715840621665e-06,1.5796150432833046e-05,9.317918200149852e-05,0.00018149994810304402,3.8329877670808025e-06,5.111588520859791e-05,1.1430772810996155e-07,4.797273364936908e-07,9.497992176623236e-08,5.890367235704116e-07,5.882700706514041e-07,6.034830890972151e-08,1.3279143036078382e-06,4.55829584744502e-07,4.340205812020558e-06,1.529864504421758e-06,4.800648659528335e-06,1.1883087601502714e-06,8.8506102836195e-06,2.0059056131701745e-06,0.00010451596114352131,9.8964303589246e-07,8.195325970420932e-07,3.6339288837391687e-06
H15_se,126,0,,,,,,,,,,,,,,,,,,,,,,,,,
H15_se,Temora-5,0,2.4214628711437632e-06,7.896440892111137e-07,1.318794386134486e-06,1.8630491284449482e-05,0.00010360178844704859,2.1356256378754052e-06,3.552198358800357e-05,4.43961580933991e-09,1.3625279705520598e-07,1.843821312267037e-08,1.3782578264959368e-07,1.64591867074469e-07,4.8476958587068806e-08,3.7684476735129957e-07,1.5377887985722196e-07,1.5756316842285009e-06,7.022841454268175e-07,3.2942169318748883e-06,6.538825181612769e-07,6.143730580119159e-06,1.4519562692648192e-06,8.858932772529131e-05,5.998386222859347e-07,8.132937596918102e-07,1.840027784489512e-06
H15_se,127,0,5.522600137212041e-06,1.1683156507247232e-06,3.3039188891756967e-06,7.702431619641614e-05,0.00011397533071285285,2.5295653343658057e-06,8.816391652020613e-05,2.212068489073286e-09,1.128454052659235e-07,1.2210923980997372e-08,1.2609331933187498e-07,2.523775449751969e-07,2.176772106336425e-08,9.513169883863858e-07,3.587694249612463e-07,5.027140358773328e-06,1.6539155744347461e-06,7.809934482996671e-06,1.7404495211379426e-06,1.7275314144838055e-05,2.1185411218274717e-06,8.792757408952901e-05,9.569147025270509e-07,1.5654465562835004e-06,5.965098847683119e-06
H15_se,128,0,4.425777735808724e-06,7.98194606849175e-07,3.3060955614093053e-06,0.00011924412653345766,9.77710862976249e-05,1.813739636321689e-06,0.00011457642540807495,3.789877193306497e-09,5.473686385922144e-07,8.126287569393527e-09,8.243079014179783e-08,1.9752736826549973e-07,2.0464511265141742e-08,7.465985567188728e-07,4.2331607627915174e-07,5.129664386101371e-06,2.0756944831220167e-06,1.1130233790020007e-05,2.183700509459966e-06,2.0897499141732165e-05,3.6778843482954162e-06,0.00014741874090075594,6.320710285595178e-07,1.6385042694621467e-06,3.7155211752272163e-06
H15_se,131,0,5.01311234537665e-06,1.072834468303604e-06,3.5687285611052777e-06,7.011489369285714e-05,0.00010038673176741139,1.713045672516252e-06,4.061126442008152e-05,3.0342939133617094e-11,9.55584822054868e-08,6.993921793262002e-09,9.1332486357442e-08,1.6410709354275817e-07,1.724778645111588e-08,5.190084520837559e-07,1.788909764522857e-07,2.1340845164587236e-06,9.286772412360644e-07,4.455711269567003e-06,1.2710159159930993e-06,1.0826247197310679e-05,1.9400717398492703e-06,0.0001200804105593987,1.24891689151054e-06,1.2769205798489523e-06,1.5324101316452571e-06
H15_se,134,0,5.460162378969683e-06,9.505197705609788e-07,3.392038247349572e-06,8.422645683419175e-05,0.00011942503315835473,1.982954784427734e-06,8.559585113818131e-05,5.003058829089503e-08,2.489116739142498e-07,5.0004746164938936e-08,2.1800118015573427e-07,2.3745595854470745e-07,3.4632599139618463e-08,7.252636087883348e-07,2.4929342082394897e-07,3.1321745739026955e-06,1.5237225444918853e-06,7.1639054912655345e-06,1.6215805078668558e-06,1.4714752860124987e-05,2.4805173051920382e-06,0.00010214901692483922,2.3744355641056423e-06,2.6842149058455077e-06,1.0004480735097324e-05
H15_se,135,0,4.4950787814846294e-06,1.1286180164834887e-06,4.124829260770793e-06,0.0002970225001169302,0.00013039026439222315,2.4025200390588525e-06,0.0002700514269836781,1.8013253605330118e-11,1.3040288683846798e-07,9.932981829783205e-09,1.1383666870218766e-07,4.203711977280647e-07,3.114629461218842e-08,2.2539891246693655e-06,1.0339152790410396e-06,1.229854788231547e-05,5.026149284539582e-06,2.205455067691653e-05,4.263122317367473e-06,3.714256208446236e-05,6.0619322711606874e-06,7.213723167378762e-05,9.471508952405494e-07,2.285956350810382e-06,2.5453517509675775e-06
