statistic,sample,rep,11B,24Mg,25Mg,27Al,55Mn,57Fe,63Cu,66Zn,88Sr
mean,1308H1-12a,0,7.147765328164512e-05,0.0019191722427851874,0.001884246305782905,5.327914108390213e-05,5.079334628004886e-06,0.0005931491048305566,8.80571343264948e-06,4.803531792449535e-06,0.0013189469291560237
mean,1308H1-12b,0,6.738591753650335e-05,0.0017382009651299697,0.0017091112967050326,6.640835914398581e-05,1.859548506563323e-06,0.0006220100686264332,7.793413174064787e-06,5.080631602302063e-06,0.0013280053080762058
mean,1308H1-12c,0,8.542338118082152e-05,0.002021658653366279,0.001988119375297938,0.00010612687037192864,4.884317967619279e-06,0.0006266954705083456,9.228702089486912e-06,1.2954098769418686e-05,0.0013894851483353262
mean,1308H1-12d,0,5.9039731502419654e-05,0.0025449486065309244,0.002521440666760079,9.312864992246304e-05,8.510054533764045e-06,0.0006359535897077221,1.573661951387149e-05,2.315051662569529e-05,0.0014005888842514717
mean,1308H1-12e,0,,,,,,,,,
mean,1308H1-12e,1,3.548125393862441e-05,0.0029739188968226993,0.0028804182959620357,3.23495631638331e-05,1.5120942584809295e-05,0.0005996464343019138,5.588595620819188e-05,9.4617604185139e-05,0.0014175150150575278
mean,1308H1-13a,0,3.473469911554849e-05,0.002750834383605148,0.0026871052922205823,9.70895086547984e-05,3.278076395193469e-05,0.0006516584768457857,1.1963735346127924e-05,5.3690236600656455e-05,0.0013643318985477402
mean,1308H1-13b,0,3.565675857725148e-05,0.002520339829804978,0.002525412216547387,0.00014535693096169648,1.5742608955370487e-05,0.0006317006690210855,1.1815244347953625e-05,5.142556396409364e-05,0.0013861108537718697
mean,1308H1-13c,0,3.7917948585495095e-05,0.0019560490614527254,0.0019366981116832871,2.9394970624004788e-05,8.769478963036057e-06,0.000644390679002169,2.215106753134469e-05,1.5013966279327276e-05,0.0014324794142277868
mean,1308H1-13d,0,3.378221252990816e-05,0.0024531204590582216,0.0023566180649668487,5.866349214285988e-05,1.533073681788788e-05,0.0006015804785587127,7.661578323069995e-05,6.864891381820979e-05,0.0013317175958261417
mean,1308H1-13e,0,3.4417954582907395e-05,0.002309367082255857,0.00224274323395285,5.0926047694802426e-05,1.0516072377455446e-05,0.0005925745391200923,9.280691573488045e-05,5.668018579602685e-05,0.001349735229644102
mean,1308H1-14a,0,4.2648592343163074e-05,0.0017743964636426626,0.0017240545761264127,6.864191693011259e-05,1.988059448508162e-06,0.000608816639675143,2.130720796410484e-05,1.972100456378467e-05,0.0015151504056421037
mean,1308H1-14b,0,4.26958953324975e-05,0.0016408440310599654,0.0015981188937211686,0.00012191661923202208,3.5977040239802943e-06,0.0006127119810353605,1.7204159213446358e-05,1.9759535383199804e-05,0.001407269956248763
mean,1308H1-14c,0,,,,,,,,,
mean,1308H1-14d,0,,,,,,,,,
mean,1308H1-15a,0,,,,,,,,,
mean,1308H1-15b,0,7.097726831009668e-05,0.001814710130120806,0.001769864771684644,7.259316407819108e-05,3.423969172163673e-06,0.0005924902764014438,7.009933764069331e-06,2.713075790432035e-05,0.0014363076485282252
mean,1308H1-15c,0,7.863089895942545e-05,0.0017053046490630962,0.0016214386638436868,5.600204164610452e-05,7.6102232003010845e-06,0.0006002628348920093,9.87451323017424e-06,3.645613903583696e-05,0.0014574224940174327
mean,1308H1-15d,0,,,,,,,,,
mean,1308H1-15d,1,9.643262545727796e-05,0.001345473664282897,0.001285052381802709,2.9562219040324587e-05,3.2501722097326756e-06,0.0006050572083629869,9.578054341211254e-06,3.168818668153043e-05,0.0014007378175943804
mean,1308H1-15e,0,8.670545525577013e-05,0.0016069610687710278,0.001551995829542102,5.665166567337941e-05,6.856495517085221e-06,0.0006017119744802169,7.193659065434858e-06,3.0465009313885445e-05,0.0013980524360198985
mean,1308H1-16a,0,4.718920196495605e-05,0.002867266954715001,0.0028051771690554583,0.0002376333125364996,8.125721340662164e-06,0.0006761785902004828,8.084780628735135e-06,7.998982299046939e-06,0.0013224047577252542
mean,1308H1-16b,0,5.054642555561699e-05,0.0029004615530136358,0.0028563534757409066,0.0001046690853359577,7.5155696128558006e-06,0.0006243555172189713,8.944276697427882e-06,8.36224738358296e-06,0.0013262369414023239
mean,1308H1-16c,0,3.733895837940729e-05,0.0029893765701038398,0.0030382606477646354,0.00013068802808357882,3.2762714586135214e-05,0.0007121108944307173,1.7279992360829654e-05,0.00013622284393604163,0.0014085021320309828
mean,1308H1-16d,0,4.745142205815923e-05,0.002304729116608752,0.0023076575901943893,2.873834853601187e-05,8.977356124567802e-06,0.0005907478090851608,1.5563957474628347e-05,3.111066191887285e-05,0.0013159903859954714
mean,1308H1-16e,0,4.2300753735106344e-05,0.002793162294481099,0.0027148163079060246,0.0001983696028451415,3.817418842336308e-06,0.0006528903757841859,8.48862152709544e-06,1.8787012032680084e-05,0.0014071611870439932
mean,1308H1-17a,0,9.24944346624046e-05,0.0014693394732500757,0.0014064165663944727,3.16459608132323e-05,1.3825444370460112e-05,0.0005768285387953557,1.3134483418926286e-05,8.337759490158142e-06,0.0014629900712215516
mean,1308H1-17b,0,0.00010251051324643962,0.0013940187673820497,0.001328426839678801,2.3826836874062824e-05,7.778422932103314e-06,0.0005782802867316629,1.0279536446778692e-05,9.791101768540975e-06,0.0014401653560271713
mean,1308H1-17c,0,0.00012575544167660115,0.0010092025661050759,0.0009388307106703879,2.1148760579764224e-05,2.997275586248808e-07,0.0005839431956037154,5.808480937415767e-06,1.0389814629065796e-05,0.00143253460662591
mean,1308H1-17d,0,3.880430036767813e-05,0.0028939151635918895,0.002794619372409985,0.00021479302083950025,5.03374862196604e-06,0.0006117702281002057,9.905790509925476e-06,8.958868030630888e-05,0.0013597404950256185
mean,1308H1-17e,0,,,,,,,,,
mean,1308H1-18a,0,3.887040873135334e-05,0.0028265864314983543,0.0027278453694258944,0.00020673640880657738,1.2660464898969799e-05,0.000628128114323163,1.6718615625848915e-05,3.694054166301367e-05,0.0014200351942464397
mean,1308H1-18b,0,4.148272118730296e-05,0.0025951211260185248,0.002551660094934016,0.0002740769455470505,9.529234269232771e-06,0.0006394656727918789,1.6238197636961578e-05,2.7870225516125735e-05,0.0014525019896028727
mean,1308H1-18c,0,3.599830933870143e-05,0.0020021062863802364,0.0018689289027052438,0.00022674215367490626,1.943430334537456e-05,0.0006385276053364406,9.843101692352757e-06,0.00014336573115007119,0.0013703050427332102
mean,1308H1-18d,0,3.840723356022079e-05,0.0020991112953045853,0.002027340130428538,7.833039539481875e-05,1.1976787972352515e-05,0.0005781485042852316,9.561840258936559e-06,7.487726516842546e-05,0.0013692227556614837
mean,1308H1-18e,0,5.209896639414068e-05,0.0018539752318803037,0.0017690312748521251,9.987437382897449e-05,2.2992799800806827e-05,0.0005894192188360027,9.662788886382148e-06,2.325766689671142e-05,0.0013948928180120318
mean,1308H1-19a,0,6.688217182725876e-05,0.002659787957060452,0.002567320091934533,0.0001800084672089105,1.6212742032294384e-05,0.0006370043867931586,5.4551341201884034e-05,1.9603359231796584e-05,0.0015198339053754805
mean,1308H1-19b,0,6.192926283433826e-05,0.00314568750674951,0.003045185912183218,0.00010546337030929898,1.3780450777412942e-05,0.0006045418490718726,4.6144879104854515e-05,2.861104473398524e-05,0.0015452058817425193
mean,1308H1-19c,0,5.3035698858180164e-05,0.002737081884582856,0.0027141002689897798,5.851836654361282e-05,6.729946087528566e-06,0.0006073424029664621,4.4296217934992085e-05,2.02474220255458e-05,0.0014809288644049062
mean,1308H1-19d,0,5.570835785453851e-05,0.002707006442877998,0.002618909379270374,4.486573568785223e-05,-1.4236797247860184e-06,0.000572727534222448,4.1369887876617134e-05,1.9200099963310178e-05,0.0014548810348258702
mean,1308H1-19e,0,7.238788840472908e-05,0.002611881180521178,0.002534943790982468,8.47041405439046e-05,-1.4272235190969083e-06,0.0006641494331515231,9.677574644773059e-05,3.638187666599463e-05,0.0014953666367193282
mean,1308H1-20a,0,8.214967957392925e-05,0.0020836041721400736,0.001964201855175473,0.000101061145052691,1.146362776435192e-05,0.000581082261848163,4.3484812597696446e-05,5.7383012146258055e-05,0.0013655138070613477
mean,1308H1-20b,0,,,,,,,,,
mean,1308H1-20b,1,7.452089814379217e-05,0.002140165435158405,0.00210486629131134,1.6032633759604964e-05,1.4667921463271163e-05,0.0005324759630503582,4.865605463095117e-05,7.485175672272085e-05,0.0013841140443620603
mean,1308H1-20c,0,7.405376481886742e-05,0.0023485027212181648,0.002276246463506993,2.03338331662184e-05,1.3462696105724997e-05,0.0005754442550325455,5.5574089783072694e-05,3.560227900686637e-05,0.0012717815568643119
mean,1308H1-20d,0,,,,,,,,,
mean,1308H1-20d,1,8.224592070062243e-05,0.0021276526772506005,0.002038829603537358,3.076070493916417e-05,1.3406734296968164e-05,0.0005664312683627592,3.982477775198675e-05,3.416576294497254e-05,0.0013653080516201621
mean,NCC_2,0,,,,,,,,,
mean,NCC_3,0,,,,,,,,,
mean,NIST612_4,0,,,,,,,,,
mean,NIST612_4,1,,,,,,,,,
mean,NIST612_5,0,,,,,,,,,
mean,1308H1-21a,0,3.2391124655404504e-05,0.0030873868459038254,0.0030909080270160013,0.0003909453809480195,1.299829049220685e-05,0.0006556573356138369,1.7560310734745292e-05,4.434884456897627e-05,0.0014725305373041238
mean,1308H1-21b,0,3.211661828693597e-05,0.0028385321093151884,0.002795746812869882,0.00017276677390131695,8.261468956447986e-06,0.0005898865819183788,1.2798835918829265e-05,4.512411974228552e-05,0.0014835043883929813
mean,1308H1-21c,0,,,,,,,,,
mean,1308H1-21d,0,2.8519060166698635e-05,0.0025720339364947624,0.002502510723234351,0.0004435772172888613,2.580003594797057e-05,0.0006016036817708452,1.0563479685067958e-05,3.3834797443123316e-05,0.0014068040196165842
mean,1308H1-21e,0,4.4044705674190523e-05,0.0025475112130387205,0.0025313466767304758,0.00019820715010038703,1.1248583580794237e-05,0.0006277569422144138,1.4462112207441311e-05,7.722637452889322e-05,0.0013524078866066337
mean,1308H1-22a,0,3.614420457019075e-05,0.0016116158492923075,0.0015430429397958888,8.014259387427114e-05,1.2328978769124582e-06,0.0005856419880926679,8.80690878589038e-06,7.637098360945072e-06,0.0013675427046478828
mean,1308H1-22b,0,3.7705767097882664e-05,0.0013444842666407695,0.0012843162934865352,0.00023075952956880057,3.409409683745346e-06,0.0006338580522942673,7.667767001756348e-06,6.708730252768982e-06,0.0013022872376583553
mean,1308H1-22c,0,3.718474836361008e-05,0.0016483325782865256,0.0015710932645281955,0.0003238247543501379,9.545077477472623e-06,0.0006290754177522217,1.0023990863131939e-05,8.695002766840395e-06,0.0013639239353823872
mean,1308H1-22d,0,3.116432612027918e-05,0.0016459871910609511,0.0015696888103151985,0.00020995705219881364,1.2713629621133715e-05,0.0006183277334013493,9.945464680437369e-06,2.3609260828448677e-05,0.0014086070804558031
mean,1308H1-22e,0,3.1417801329282376e-05,0.001610964424187317,0.0015571188968225148,0.00011192629469035773,8.288598976441111e-06,0.000590007129048786,9.52923354015361e-06,2.128619887313492e-05,0.0013439639026296736
mean,1308H1-23a,0,5.742413061805235e-05,0.0017121032253641021,0.0016386741094874856,4.905604312548253e-05,2.641120149896147e-06,0.000563339362152573,4.9504471451184875e-06,2.1772299743930735e-06,0.0013455174753421101
mean,1308H1-23b,0,5.1886515705076236e-05,0.0020012268200721873,0.0019144608175745575,6.214165929268685e-05,6.815457487185679e-06,0.0005552043225749483,6.257346261055934e-06,2.720187565821697e-06,0.0013535760650936876
mean,1308H1-23c,0,5.581522025756174e-05,0.0018903477712514322,0.0018324516661874393,0.00011759793270771947,3.354928124067078e-06,0.0005900032895860244,6.185510181986403e-06,2.6360976495329496e-06,0.0013791626266338806
mean,1308H1-23d,0,5.4430223020528097e-05,0.001904359647261987,0.0018537728133411423,0.00015486642790181075,3.667478242065084e-06,0.0006326774715446434,6.268157997326801e-06,2.8842989496976095e-06,0.0013398131495258622
mean,1308H1-23e,0,5.1581302507303495e-05,0.002384757352279403,0.0023846040799859842,8.795721515180114e-05,7.196773112407847e-06,0.0005712282961127265,1.4720154965130964e-05,8.788643426571696e-06,0.0012977133011997444
mean,1308H1-24a,0,5.0592518582037446e-05,0.0020286053838752304,0.001965677613270412,5.4674691823178774e-05,5.1005268132018576e-06,0.0005671229283846962,5.213774922863982e-06,2.2163312816887387e-06,0.0013874569776995888
mean,1308H1-24b,0,4.3236702028987545e-05,0.0026259569958383988,0.0025917582172812897,0.00010834887544014097,2.8376803584106467e-06,0.0005892118033425095,1.4656225784438885e-05,5.877064552014006e-05,0.0013685094644942915
mean,1308H1-24c,0,4.616421690240325e-05,0.0025779385074934835,0.0025195685549228458,0.0002048538732486577,7.747934549641157e-06,0.0006272533086158869,1.7338800293125303e-05,6.92848055349031e-05,0.0013217119230753186
mean,1308H1-24d,0,5.503514793168881e-05,0.0029084993618325875,0.002838926381939947,9.97498962252646e-05,3.0219191109706222e-05,0.0005700843032334683,2.986676300938706e-05,6.830899595122191e-05,0.0012800303576571818
mean,1308H1-25a,0,3.7215328150813145e-05,0.0021275561972515533,0.002025646734748264,0.0002095573870203923,5.826218483514829e-06,0.0006285221275526652,3.921372326556344e-06,3.270472244844989e-06,0.0013909540249459975
mean,1308H1-25b,0,3.715832309541329e-05,0.0016022103766212812,0.0016023408391633868,0.00012580393420975913,1.0990746449365805e-05,0.0006142535176434776,7.035743806905028e-06,3.7709405888621292e-06,0.0013998122715603665
mean,1308H1-25c,0,4.169399096389353e-05,0.0019304992725208594,0.0018744901931091083,0.0001035443022913416,1.242156396919921e-05,0.0005532617656194113,7.520255191065138e-06,5.915566887497683e-06,0.0013796600145248167
mean,1308H1-25d,0,5.318413094953603e-05,0.002319445317090088,0.0022432986044439453,4.774353437326098e-05,2.3500257894246965e-05,0.0005507791487560767,1.0148051787408114e-05,1.3539122364267765e-05,0.0012849420091627665
mean,1308H1-26a,0,5.5636259893115364e-05,0.002269238737228755,0.002195678982309739,7.039106167733291e-06,5.120572207079033e-06,0.0007202061361497427,1.1329488606549991e-05,2.4892092459800607e-05,0.0015668207739102514
mean,1308H1-26b,0,4.313135567196692e-05,0.002330905734157404,0.0022636244772122407,2.7885893928775507e-05,1.5499232681303233e-05,0.0005515218740610671,2.4846876512745728e-05,2.188112834968992e-05,0.001445500882127288
mean,1308H1-26c,0,,,,,,,,,
mean,1308H1-26c,1,4.321785522393325e-05,0.0018607811283848086,0.0017913401270459295,5.937532624117599e-06,1.2683609180001304e-05,0.0005314596101371854,2.0160757808196003e-05,2.0522599512384724e-05,0.0013918708413600553
mean,1308H1-26d,0,3.930556377268811e-05,0.0028000903486516426,0.0027199771384844975,2.3043989646018207e-05,1.0994980291144344e-05,0.0005616651473100611,2.673151315829228e-05,2.037875636009555e-05,0.0013693941755566427
mean,1308H1-27a,0,3.6798771419179114e-05,0.0017328275522655058,0.0016436252646760204,3.896988773660319e-05,8.09627466014631e-06,0.0005378600181498978,1.814651071309236e-05,3.893721341387775e-05,0.001331520552047333
mean,1308H1-27b,0,3.9617742296598846e-05,0.0031499825625761614,0.0030321559162634687,0.00022163979787933962,1.1596318046734784e-05,0.0006373063972957087,2.334481759645629e-05,0.0001139264433048655,0.0013946865064160818
mean,1308H1-27c,0,3.832399880527214e-05,0.002333804235180451,0.0022436698377958555,0.00018991125029469764,1.3716454796451717e-05,0.000625090498370933,1.4280422844257669e-05,5.180988576025992e-05,0.0013544475605067406
mean,1308H1-27d,0,3.9097987506188436e-05,0.003147670782944266,0.003024266870289002,1.3010238248596357e-05,1.9455661182226776e-05,0.000522283746922053,2.2735559079314834e-05,2.433353461392017e-05,0.001291177071453683
mean,1308H1-27e,0,3.610399312339851e-05,0.0016810016839690963,0.00165997065204464,1.5976450948572457e-05,1.0780290006710348e-05,0.0005950656929638604,2.50535445942696e-05,6.607775527430521e-05,0.0013996311617009256
mean,1308H1-28a,0,3.78211879789824e-05,0.002550318530886971,0.002501153296829969,0.0001990108262701235,1.5961433050710354e-05,0.0006062953671915592,2.1603895205985915e-05,1.820830875691333e-05,0.0014799763772055695
mean,1308H1-28b,0,4.416095789686923e-05,0.002554432830277882,0.0024928596976723505,0.00012472191979899646,1.1371525664473855e-05,0.0006998198932601946,1.901610730309138e-05,1.2673470427735575e-05,0.0014733728014290294
mean,1308H1-28c,0,3.937313980364257e-05,0.0026880842333376993,0.0025995606297010286,0.00011192645256730699,1.536764281314085e-05,0.0005993178478508215,1.589519679523616e-05,1.4306941035540781e-05,0.0014166783648691967
mean,1308H1-28d,0,3.242583500195619e-05,0.002737128987515219,0.002659497077532622,0.00014488051918731885,1.563194023397714e-05,0.0005905213807123353,1.1724520783021987e-05,3.2943205213793014e-05,0.0014421906670874596
